word	root	singular	plural	source
اءت	ءتي	اءت		quran-word-index-fallback
اءتمن	ءمن	اءتمن		quran-word-index-fallback
اءتنا	ءتي	اءتنا		quran-word-index-fallback
اءتوا	ءتي	اءتوا		quran-word-index-fallback
اءتونا	ءتي	اءتونا		quran-word-index-fallback
اءتيا	ءتي	اءتيا		quran-word-index-fallback
اءذن	ءذن	اءذن		quran-word-index-fallback
اءفكا	ءفك	اءفكا		quran-word-index-fallback
اءلاه	ءله	اءلاه		quran-word-index-fallback
اءلقا	لقي	اءلقا		quran-word-index-fallback
اءمة	ءمم	اءمة		quran-word-index-fallback
اءنبءكم	نبء	اءنبءكم		quran-word-index-fallback
اءنزل	نزل	اءنزل		quran-word-index-fallback
ابا	ءبي	ابا		quran-word-index-fallback
ابا	ءبو	ابا		quran-word-index-fallback
ابابيل	ءبل	ابابيل		quran-word-index-fallback
اباكم	ءبو	اباكم		quran-word-index-fallback
ابالله	ءله	ابالله		quran-word-index-fallback
ابانا	ءبو	ابانا		quran-word-index-fallback
اباه	ءبو	اباه		quran-word-index-fallback
اباهم	ءبو	اباهم		quran-word-index-fallback
ابتدعوها	بدع	ابتدعوها		quran-word-index-fallback
ابتغا	بغي	ابتغا		quran-word-index-fallback
ابتغاء	بغي	ابتغاء		quran-word-index-fallback
ابتغوا	بغي	ابتغوا		quran-word-index-fallback
ابتغيت	بغي	ابتغيت		quran-word-index-fallback
ابتلا	بلو	ابتلا		quran-word-index-fallback
ابتلاه	بلو	ابتلاه		quran-word-index-fallback
ابحر	بحر	ابحر		quran-word-index-fallback
ابدا	ءبد	ابدا		quran-word-index-fallback
ابدله	بدل	ابدله		quran-word-index-fallback
ابرء	برء	ابرء		quran-word-index-fallback
ابرح	برح	ابرح		quran-word-index-fallback
ابرموا	برم	ابرموا		quran-word-index-fallback
ابسلوا	بسل	ابسلوا		quran-word-index-fallback
ابشر	بشر	ابشر		quran-word-index-fallback
ابشرا	بشر	ابشرا		quran-word-index-fallback
ابشرتمونا	بشر	ابشرتمونا		quran-word-index-fallback
ابصار	بصر	ابصار		quran-word-index-fallback
ابصاركم	بصر	ابصاركم		quran-word-index-fallback
ابصارنا	بصر	ابصارنا		quran-word-index-fallback
ابصارها	بصر	ابصارها		quran-word-index-fallback
ابصارهم	بصر	ابصارهم		quran-word-index-fallback
ابصارهن	بصر	ابصارهن		quran-word-index-fallback
ابصر	بصر	ابصر		quran-word-index-fallback
ابصرنا	بصر	ابصرنا		quran-word-index-fallback
ابعث	بعث	ابعث		quran-word-index-fallback
ابغا	بغي	ابغا		quran-word-index-fallback
ابغيكم	بغي	ابغيكم		quran-word-index-fallback
ابق	ءبق	ابق		quran-word-index-fallback
ابقا	بقي	ابقا		quran-word-index-fallback
ابكارا	بكر	ابكارا		quran-word-index-fallback
ابكم	بكم	ابكم		quran-word-index-fallback
ابلعا	بلع	ابلعا		quran-word-index-fallback
ابلغ	بلغ	ابلغ		quran-word-index-fallback
ابلغتكم	بلغ	ابلغتكم		quran-word-index-fallback
ابلغكم	بلغ	ابلغكم		quran-word-index-fallback
ابلغه	بلغ	ابلغه		quran-word-index-fallback
ابلغوا	بلغ	ابلغوا		quran-word-index-fallback
ابن	بني	ابن		quran-word-index-fallback
ابنا	بني	ابنا		quran-word-index-fallback
ابناء	بني	ابناء		quran-word-index-fallback
ابناءا	بني	ابناءا		quran-word-index-fallback
ابناءكم	بني	ابناءكم		quran-word-index-fallback
ابناءنا	بني	ابناءنا		quran-word-index-fallback
ابناءهم	بني	ابناءهم		quran-word-index-fallback
ابناءهن	بني	ابناءهن		quran-word-index-fallback
ابنت	بني	ابنت		quran-word-index-fallback
ابنتا	بني	ابنتا		quran-word-index-fallback
ابنك	بني	ابنك		quran-word-index-fallback
ابنه	بني	ابنه		quran-word-index-fallback
ابنوا	بني	ابنوا		quran-word-index-fallback
ابواب	بوب	ابواب		quran-word-index-fallback
ابوابا	بوب	ابوابا		quran-word-index-fallback
ابوابها	بوب	ابوابها		quran-word-index-fallback
ابواه	ءبو	ابواه		quran-word-index-fallback
ابوك	ءبو	ابوك		quran-word-index-fallback
ابوهم	ءبو	ابوهم		quran-word-index-fallback
ابوهما	ءبو	ابوهما		quran-word-index-fallback
ابويك	ءبو	ابويك		quran-word-index-fallback
ابويكم	ءبو	ابويكم		quran-word-index-fallback
ابويه	ءبو	ابويه		quran-word-index-fallback
ابيضت	بيض	ابيضت		quran-word-index-fallback
ابيكم	ءبو	ابيكم		quran-word-index-fallback
ابينا	ءبو	ابينا		quran-word-index-fallback
ابيهم	ءبو	ابيهم		quran-word-index-fallback
اتا	ءتي	اتا		quran-word-index-fallback
اتاتون	ءتي	اتاتون		quran-word-index-fallback
اتاخذونه	ءخذ	اتاخذونه		quran-word-index-fallback
اتاك	ءتي	اتاك		quran-word-index-fallback
اتاكم	ءتي	اتاكم		quran-word-index-fallback
اتامرون	ءمر	اتامرون		quran-word-index-fallback
اتانا	ءتي	اتانا		quran-word-index-fallback
اتاها	ءتي	اتاها		quran-word-index-fallback
اتاهم	ءتي	اتاهم		quran-word-index-fallback
اتباع	تبع	اتباع		quran-word-index-fallback
اتبع	تبع	اتبع		quran-word-index-fallback
اتبعت	تبع	اتبعت		quran-word-index-fallback
اتبعتم	تبع	اتبعتم		quran-word-index-fallback
اتبعتنا	تبع	اتبعتنا		quran-word-index-fallback
اتبعك	تبع	اتبعك		quran-word-index-fallback
اتبعكما	تبع	اتبعكما		quran-word-index-fallback
اتبعن	تبع	اتبعن		quran-word-index-fallback
اتبعنا	تبع	اتبعنا		quran-word-index-fallback
اتبعه	تبع	اتبعه		quran-word-index-fallback
اتبعوا	تبع	اتبعوا		quran-word-index-fallback
اتبعوك	تبع	اتبعوك		quran-word-index-fallback
اتبعون	تبع	اتبعون		quran-word-index-fallback
اتبعوه	تبع	اتبعوه		quran-word-index-fallback
اتبعوهم	تبع	اتبعوهم		quran-word-index-fallback
اتبنون	بني	اتبنون		quran-word-index-fallback
اتت	ءتي	اتت		quran-word-index-fallback
اتتخذ	ءخذ	اتتخذ		quran-word-index-fallback
اتتخذنا	ءخذ	اتتخذنا		quran-word-index-fallback
اتتركون	ترك	اتتركون		quran-word-index-fallback
اتتك	ءتي	اتتك		quran-word-index-fallback
اتتكم	ءتي	اتتكم		quran-word-index-fallback
اتتهم	ءتي	اتتهم		quran-word-index-fallback
اتجادلوننا	جدل	اتجادلوننا		quran-word-index-fallback
اتجعل	جعل	اتجعل		quran-word-index-fallback
اتحاجونا	حجج	اتحاجونا		quran-word-index-fallback
اتحاجوننا	حجج	اتحاجوننا		quran-word-index-fallback
اتحدثونهم	حدث	اتحدثونهم		quran-word-index-fallback
اتخذ	ءخذ	اتخذ		quran-word-index-fallback
اتخذا	ءخذ	اتخذا		quran-word-index-fallback
اتخذت	ءخذ	اتخذت		quran-word-index-fallback
اتخذتم	ءخذ	اتخذتم		quran-word-index-fallback
اتخذناهم	ءخذ	اتخذناهم		quran-word-index-fallback
اتخذها	ءخذ	اتخذها		quran-word-index-fallback
اتخذوا	ءخذ	اتخذوا		quran-word-index-fallback
اتخذونا	ءخذ	اتخذونا		quran-word-index-fallback
اتخذوه	ءخذ	اتخذوه		quran-word-index-fallback
اتخذوها	ءخذ	اتخذوها		quran-word-index-fallback
اتخذوهم	ءخذ	اتخذوهم		quran-word-index-fallback
اتخشونهم	خشي	اتخشونهم		quran-word-index-fallback
اتدعون	دعو	اتدعون		quran-word-index-fallback
اتذر	وذر	اتذر		quran-word-index-fallback
اتراب	ترب	اتراب		quran-word-index-fallback
اترابا	ترب	اترابا		quran-word-index-fallback
اترفتم	ترف	اترفتم		quran-word-index-fallback
اترفوا	ترف	اترفوا		quran-word-index-fallback
اتريد	رود	اتريد		quran-word-index-fallback
اتريدون	رود	اتريدون		quran-word-index-fallback
اتستبدلون	بدل	اتستبدلون		quran-word-index-fallback
اتسق	وسق	اتسق		quran-word-index-fallback
اتصبرون	صبر	اتصبرون		quran-word-index-fallback
اتعبدون	عبد	اتعبدون		quran-word-index-fallback
اتعجبين	عجب	اتعجبين		quran-word-index-fallback
اتعداننا	وعد	اتعداننا		quran-word-index-fallback
اتعلمون	علم	اتعلمون		quran-word-index-fallback
اتق	وقي	اتق		quran-word-index-fallback
اتقا	وقي	اتقا		quran-word-index-fallback
اتقاكم	وقي	اتقاكم		quran-word-index-fallback
اتقتلون	قتل	اتقتلون		quran-word-index-fallback
اتقن	تقن	اتقن		quran-word-index-fallback
اتقوا	وقي	اتقوا		quran-word-index-fallback
اتقولون	قول	اتقولون		quran-word-index-fallback
اتقيتن	وقي	اتقيتن		quran-word-index-fallback
اتل	تلو	اتل		quran-word-index-fallback
اتلوا	تلو	اتلوا		quran-word-index-fallback
اتمدونن	مدد	اتمدونن		quran-word-index-fallback
اتمم	تمم	اتمم		quran-word-index-fallback
اتممت	تمم	اتممت		quran-word-index-fallback
اتمها	تمم	اتمها		quran-word-index-fallback
اتموا	تمم	اتموا		quran-word-index-fallback
اتنبون	نبء	اتنبون		quran-word-index-fallback
اتنهانا	نهي	اتنهانا		quran-word-index-fallback
اتهتدا	هدي	اتهتدا		quran-word-index-fallback
اتهلكنا	هلك	اتهلكنا		quran-word-index-fallback
اتوا	ءتي	اتوا		quran-word-index-fallback
اتواصوا	وصي	اتواصوا		quran-word-index-fallback
اتوب	توب	اتوب		quran-word-index-fallback
اتوك	ءتي	اتوك		quran-word-index-fallback
اتوكءا	وكء	اتوكءا		quran-word-index-fallback
اتوه	ءتي	اتوه		quran-word-index-fallback
اتيا	ءتي	اتيا		quran-word-index-fallback
اتيت	ءتي	اتيت		quran-word-index-fallback
اتين	ءتي	اتين		quran-word-index-fallback
اتينا	ءتي	اتينا		quran-word-index-fallback
اتيناهم	ءتي	اتيناهم		quran-word-index-fallback
اثاثا	ءثث	اثاثا		quran-word-index-fallback
اثارة	ءثر	اثارة		quran-word-index-fallback
اثاقلتم	ثقل	اثاقلتم		quran-word-index-fallback
اثاما	ءثم	اثاما		quran-word-index-fallback
اثخنتموهم	ثخن	اثخنتموهم		quran-word-index-fallback
اثر	ءثر	اثر		quran-word-index-fallback
اثرا	ءثر	اثرا		quran-word-index-fallback
اثقالكم	ثقل	اثقالكم		quran-word-index-fallback
اثقالها	ثقل	اثقالها		quran-word-index-fallback
اثقالهم	ثقل	اثقالهم		quran-word-index-fallback
اثقلت	ثقل	اثقلت		quran-word-index-fallback
اثم	ءثم	اثم		quran-word-index-fallback
اثما	ءثم	اثما		quran-word-index-fallback
اثمر	ثمر	اثمر		quran-word-index-fallback
اثمه	ءثم	اثمه		quran-word-index-fallback
اثنا	ثني	اثنا		quran-word-index-fallback
اثنان	ثني	اثنان		quran-word-index-fallback
اثنتا	ثني	اثنتا		quran-word-index-fallback
اثنتين	ثني	اثنتين		quran-word-index-fallback
اثنين	ثني	اثنين		quran-word-index-fallback
اثيم	ءثم	اثيم		quran-word-index-fallback
اثيما	ءثم	اثيما		quran-word-index-fallback
اجءتنا	جيء	اجءتنا		quran-word-index-fallback
اجاج	ءجج	اجاج		quran-word-index-fallback
اجاجا	ءجج	اجاجا		quran-word-index-fallback
اجبتم	جوب	اجبتم		quran-word-index-fallback
اجتباكم	جبي	اجتباكم		quran-word-index-fallback
اجتباه	جبي	اجتباه		quran-word-index-fallback
اجتبيتها	جبي	اجتبيتها		quran-word-index-fallback
اجتثت	جثث	اجتثت		quran-word-index-fallback
اجترحوا	جرح	اجترحوا		quran-word-index-fallback
اجتمعت	جمع	اجتمعت		quran-word-index-fallback
اجتمعوا	جمع	اجتمعوا		quran-word-index-fallback
اجتنبوا	جنب	اجتنبوا		quran-word-index-fallback
اجد	وجد	اجد		quran-word-index-fallback
اجر	ءجر	اجر		quran-word-index-fallback
اجرا	ءجر	اجرا		quran-word-index-fallback
اجراما	جرم	اجراما		quran-word-index-fallback
اجرمنا	جرم	اجرمنا		quran-word-index-fallback
اجرموا	جرم	اجرموا		quran-word-index-fallback
اجره	ءجر	اجره		quran-word-index-fallback
اجرها	ءجر	اجرها		quran-word-index-fallback
اجرهم	ءجر	اجرهم		quran-word-index-fallback
اجزعنا	جزع	اجزعنا		quran-word-index-fallback
اجسامهم	جسم	اجسامهم		quran-word-index-fallback
اجعل	جعل	اجعل		quran-word-index-fallback
اجعلتم	جعل	اجعلتم		quran-word-index-fallback
اجعلنا	جعل	اجعلنا		quran-word-index-fallback
اجعلوا	جعل	اجعلوا		quran-word-index-fallback
اجل	ءجل	اجل		quran-word-index-fallback
اجلا	ءجل	اجلا		quran-word-index-fallback
اجلت	ءجل	اجلت		quran-word-index-fallback
اجلنا	ءجل	اجلنا		quran-word-index-fallback
اجله	ءجل	اجله		quran-word-index-fallback
اجلها	ءجل	اجلها		quran-word-index-fallback
اجلهم	ءجل	اجلهم		quran-word-index-fallback
اجلهن	ءجل	اجلهن		quran-word-index-fallback
اجمعوا	جمع	اجمعوا		quran-word-index-fallback
اجمعون	جمع	اجمعون		quran-word-index-fallback
اجمعين	جمع	اجمعين		quran-word-index-fallback
اجنة	جنن	اجنة		quran-word-index-fallback
اجنحة	جنح	اجنحة		quran-word-index-fallback
اجهروا	جهر	اجهروا		quran-word-index-fallback
اجوركم	ءجر	اجوركم		quran-word-index-fallback
اجورهم	ءجر	اجورهم		quran-word-index-fallback
اجورهن	ءجر	اجورهن		quran-word-index-fallback
اجيب	جوب	اجيب		quran-word-index-fallback
اجيبت	جوب	اجيبت		quran-word-index-fallback
اجيبوا	جوب	اجيبوا		quran-word-index-fallback
احا	حيي	احا		quran-word-index-fallback
احاديث	حدث	احاديث		quran-word-index-fallback
احاط	حوط	احاط		quran-word-index-fallback
احب	حبب	احب		quran-word-index-fallback
احبارهم	حبر	احبارهم		quran-word-index-fallback
احببت	حبب	احببت		quran-word-index-fallback
احتمل	حمل	احتمل		quran-word-index-fallback
احتملوا	حمل	احتملوا		quran-word-index-fallback
احد	ءحد	احد		quran-word-index-fallback
احدا	ءحد	احدا		quran-word-index-fallback
احداهما	ءحد	احداهما		quran-word-index-fallback
احداهن	ءحد	احداهن		quran-word-index-fallback
احدث	حدث	احدث		quran-word-index-fallback
احدكم	ءحد	احدكم		quran-word-index-fallback
احدكما	ءحد	احدكما		quran-word-index-fallback
احدنا	ءحد	احدنا		quran-word-index-fallback
احدهم	ءحد	احدهم		quran-word-index-fallback
احدهما	ءحد	احدهما		quran-word-index-fallback
احرص	حرص	احرص		quran-word-index-fallback
احس	حسس	احس		quran-word-index-fallback
احسانا	حسن	احسانا		quran-word-index-fallback
احسب	حسب	احسب		quran-word-index-fallback
احسن	حسن	احسن		quran-word-index-fallback
احسنتم	حسن	احسنتم		quran-word-index-fallback
احسنه	حسن	احسنه		quran-word-index-fallback
احسنوا	حسن	احسنوا		quran-word-index-fallback
احسوا	حسس	احسوا		quran-word-index-fallback
احشروا	حشر	احشروا		quran-word-index-fallback
احصا	حصي	احصا		quran-word-index-fallback
احصاه	حصي	احصاه		quran-word-index-fallback
احصاها	حصي	احصاها		quran-word-index-fallback
احصاهم	حصي	احصاهم		quran-word-index-fallback
احصرتم	حصر	احصرتم		quran-word-index-fallback
احصروا	حصر	احصروا		quran-word-index-fallback
احصن	حصن	احصن		quran-word-index-fallback
احصنت	حصن	احصنت		quran-word-index-fallback
احصيناه	حصي	احصيناه		quran-word-index-fallback
احضرت	حضر	احضرت		quran-word-index-fallback
احطت	حوط	احطت		quran-word-index-fallback
احطنا	حوط	احطنا		quran-word-index-fallback
احق	حقق	احق		quran-word-index-fallback
احقابا	حقب	احقابا		quran-word-index-fallback
احكم	حكم	احكم		quran-word-index-fallback
احكمت	حكم	احكمت		quran-word-index-fallback
احل	حلل	احل		quran-word-index-fallback
احلام	حلم	احلام		quran-word-index-fallback
احلامهم	حلم	احلامهم		quran-word-index-fallback
احلت	حلل	احلت		quran-word-index-fallback
احللنا	حلل	احللنا		quran-word-index-fallback
احلنا	حلل	احلنا		quran-word-index-fallback
احمل	حمل	احمل		quran-word-index-fallback
احملكم	حمل	احملكم		quran-word-index-fallback
احوا	حوي	احوا		quran-word-index-fallback
احيا	حيي	احيا		quran-word-index-fallback
احياء	حيي	احياء		quran-word-index-fallback
احياكم	حيي	احياكم		quran-word-index-fallback
احياها	حيي	احياها		quran-word-index-fallback
احياهم	حيي	احياهم		quran-word-index-fallback
احيط	حوط	احيط		quran-word-index-fallback
احييناها	حيي	احييناها		quran-word-index-fallback
اخ	ءخو	اخ		quran-word-index-fallback
اخا	ءخو	اخا		quran-word-index-fallback
اخاف	خوف	اخاف		quran-word-index-fallback
اخالفكم	خلف	اخالفكم		quran-word-index-fallback
اخانا	ءخو	اخانا		quran-word-index-fallback
اخاه	ءخو	اخاه		quran-word-index-fallback
اخاهم	ءخو	اخاهم		quran-word-index-fallback
اخباركم	خبر	اخباركم		quran-word-index-fallback
اخبارها	خبر	اخبارها		quran-word-index-fallback
اخت	ءخو	اخت		quran-word-index-fallback
اخترتك	خير	اخترتك		quran-word-index-fallback
اخترناهم	خير	اخترناهم		quran-word-index-fallback
اختصموا	خصم	اختصموا		quran-word-index-fallback
اختك	ءخو	اختك		quran-word-index-fallback
اختلاف	خلف	اختلاف		quran-word-index-fallback
اختلافا	خلف	اختلافا		quran-word-index-fallback
اختلاق	خلق	اختلاق		quran-word-index-fallback
اختلط	خلط	اختلط		quran-word-index-fallback
اختلف	خلف	اختلف		quran-word-index-fallback
اختلفتم	خلف	اختلفتم		quran-word-index-fallback
اختلفوا	خلف	اختلفوا		quran-word-index-fallback
اختها	ءخو	اختها		quran-word-index-fallback
اخدان	خدن	اخدان		quran-word-index-fallback
اخذ	ءخذ	اخذ		quran-word-index-fallback
اخذا	ءخذ	اخذا		quran-word-index-fallback
اخذة	ءخذ	اخذة		quran-word-index-fallback
اخذت	ءخذ	اخذت		quran-word-index-fallback
اخذتم	ءخذ	اخذتم		quran-word-index-fallback
اخذته	ءخذ	اخذته		quran-word-index-fallback
اخذتها	ءخذ	اخذتها		quran-word-index-fallback
اخذتهم	ءخذ	اخذتهم		quran-word-index-fallback
اخذنا	ءخذ	اخذنا		quran-word-index-fallback
اخذناهم	ءخذ	اخذناهم		quran-word-index-fallback
اخذه	ءخذ	اخذه		quran-word-index-fallback
اخذوا	ءخذ	اخذوا		quran-word-index-fallback
اخر	ءخر	اخر		quran-word-index-fallback
اخرا	ءخر	اخرا		quran-word-index-fallback
اخراج	خرج	اخراج		quran-word-index-fallback
اخراجا	خرج	اخراجا		quran-word-index-fallback
اخراجكم	خرج	اخراجكم		quran-word-index-fallback
اخراجهم	خرج	اخراجهم		quran-word-index-fallback
اخراكم	ءخر	اخراكم		quran-word-index-fallback
اخراهم	ءخر	اخراهم		quran-word-index-fallback
اخرتن	ءخر	اخرتن		quran-word-index-fallback
اخرتنا	ءخر	اخرتنا		quran-word-index-fallback
اخرج	خرج	اخرج		quran-word-index-fallback
اخرجت	خرج	اخرجت		quran-word-index-fallback
اخرجتك	خرج	اخرجتك		quran-word-index-fallback
اخرجتم	خرج	اخرجتم		quran-word-index-fallback
اخرجك	خرج	اخرجك		quran-word-index-fallback
اخرجكم	خرج	اخرجكم		quran-word-index-fallback
اخرجنا	خرج	اخرجنا		quran-word-index-fallback
اخرجه	خرج	اخرجه		quran-word-index-fallback
اخرجوا	خرج	اخرجوا		quran-word-index-fallback
اخرجوكم	خرج	اخرجوكم		quran-word-index-fallback
اخرجوهم	خرج	اخرجوهم		quran-word-index-fallback
اخرقتها	خرق	اخرقتها		quran-word-index-fallback
اخرنا	ءخر	اخرنا		quran-word-index-fallback
اخزا	خزي	اخزا		quran-word-index-fallback
اخزيته	خزي	اخزيته		quran-word-index-fallback
اخسوا	خسء	اخسوا		quran-word-index-fallback
اخطاتم	خطء	اخطاتم		quran-word-index-fallback
اخطانا	خطء	اخطانا		quran-word-index-fallback
اخفا	خفي	اخفا		quran-word-index-fallback
اخفيتم	خفي	اخفيتم		quran-word-index-fallback
اخفيها	خفي	اخفيها		quran-word-index-fallback
اخلد	خلد	اخلد		quran-word-index-fallback
اخلده	خلد	اخلده		quran-word-index-fallback
اخلصناهم	خلص	اخلصناهم		quran-word-index-fallback
اخلفنا	خلف	اخلفنا		quran-word-index-fallback
اخلفوا	خلف	اخلفوا		quran-word-index-fallback
اخلق	خلق	اخلق		quran-word-index-fallback
اخنه	خون	اخنه		quran-word-index-fallback
اخواتكم	ءخو	اخواتكم		quran-word-index-fallback
اخواتهن	ءخو	اخواتهن		quran-word-index-fallback
اخوالكم	خول	اخوالكم		quran-word-index-fallback
اخوان	ءخو	اخوان		quran-word-index-fallback
اخوانا	ءخو	اخوانا		quran-word-index-fallback
اخوانكم	ءخو	اخوانكم		quran-word-index-fallback
اخوانهم	ءخو	اخوانهم		quran-word-index-fallback
اخوانهن	ءخو	اخوانهن		quran-word-index-fallback
اخوة	ءخو	اخوة		quran-word-index-fallback
اخوتا	ءخو	اخوتا		quran-word-index-fallback
