word	root	source
ابوهم	ءبو	quranic-corpus-new
ابوهما	ءبو	quranic-corpus-new
ابويك	ءبو	quranic-corpus-new
ابويكم	ءبو	quranic-corpus-new
ابويه	ءبو	quranic-corpus-new
ابيضت	بيض	quranic-corpus-new
ابيكم	ءبو	quranic-corpus-new
ابينا	ءبو	quranic-corpus-new
ابيهم	ءبو	quranic-corpus-new
اتا	ءتي	quranic-corpus-new
اتاتون	ءتي	quranic-corpus-new
اتاخذونه	ءخذ	quranic-corpus-new
اتاك	ءتي	quranic-corpus-new
اتاكم	ءتي	quranic-corpus-new
اتامرون	ءمر	quranic-corpus-new
اتانا	ءتي	quranic-corpus-new
اتاها	ءتي	quranic-corpus-new
اتاهم	ءتي	quranic-corpus-new
اتباع	تبع	quranic-corpus-new
اتبع	تبع	quranic-corpus-new
اتبعت	تبع	quranic-corpus-new
اتبعتم	تبع	quranic-corpus-new
اتبعتنا	تبع	quranic-corpus-new
اتبعك	تبع	quranic-corpus-new
اتبعكما	تبع	quranic-corpus-new
اتبعن	تبع	quranic-corpus-new
اتبعنا	تبع	quranic-corpus-new
اتبعه	تبع	quranic-corpus-new
اتبعوا	تبع	quranic-corpus-new
اتبعوك	تبع	quranic-corpus-new
اتبعون	تبع	quranic-corpus-new
اتبعوه	تبع	quranic-corpus-new
اتبعوهم	تبع	quranic-corpus-new
اتبنون	بني	quranic-corpus-new
اتت	ءتي	quranic-corpus-new
اتتخذ	ءخذ	quranic-corpus-new
اتتخذنا	ءخذ	quranic-corpus-new
اتتركون	ترك	quranic-corpus-new
اتتك	ءتي	quranic-corpus-new
اتتكم	ءتي	quranic-corpus-new
اتتهم	ءتي	quranic-corpus-new
اتجادلوننا	جدل	quranic-corpus-new
اتجعل	جعل	quranic-corpus-new
اتحاجونا	حجج	quranic-corpus-new
اتحاجوننا	حجج	quranic-corpus-new
اتحدثونهم	حدث	quranic-corpus-new
اتخذ	ءخذ	quranic-corpus-new
اتخذا	ءخذ	quranic-corpus-new
اتخذت	ءخذ	quranic-corpus-new
اتخذتم	ءخذ	quranic-corpus-new
اتخذناهم	ءخذ	quranic-corpus-new
اتخذها	ءخذ	quranic-corpus-new
اتخذوا	ءخذ	quranic-corpus-new
اتخذونا	ءخذ	quranic-corpus-new
اتخذوه	ءخذ	quranic-corpus-new
اتخذوها	ءخذ	quranic-corpus-new
اتخذوهم	ءخذ	quranic-corpus-new
اتخشونهم	خشي	quranic-corpus-new
اتدعون	دعو	quranic-corpus-new
اتذر	وذر	quranic-corpus-new
اتراب	ترب	quranic-corpus-new
اترابا	ترب	quranic-corpus-new
اترفتم	ترف	quranic-corpus-new
اترفوا	ترف	quranic-corpus-new
اتريد	رود	quranic-corpus-new
اتريدون	رود	quranic-corpus-new
اتستبدلون	بدل	quranic-corpus-new
اتسق	وسق	quranic-corpus-new
اتصبرون	صبر	quranic-corpus-new
اتعبدون	عبد	quranic-corpus-new
اتعجبين	عجب	quranic-corpus-new
اتعداننا	وعد	quranic-corpus-new
اتعلمون	علم	quranic-corpus-new
اتق	وقي	quranic-corpus-new
اتقا	وقي	quranic-corpus-new
اتقاكم	وقي	quranic-corpus-new
اتقتلون	قتل	quranic-corpus-new
اتقن	تقن	quranic-corpus-new
اتقوا	وقي	quranic-corpus-new
اتقولون	قول	quranic-corpus-new
اتقيتن	وقي	quranic-corpus-new
اتل	تلو	quranic-corpus-new
اتلوا	تلو	quranic-corpus-new
اتمدونن	مدد	quranic-corpus-new
اتمم	تمم	quranic-corpus-new
اتممت	تمم	quranic-corpus-new
اتمها	تمم	quranic-corpus-new
اتموا	تمم	quranic-corpus-new
اتنبون	نبء	quranic-corpus-new
اتنهانا	نهي	quranic-corpus-new
اتهتدا	هدي	quranic-corpus-new
اتهلكنا	هلك	quranic-corpus-new
اتوا	ءتي	quranic-corpus-new
اتواصوا	وصي	quranic-corpus-new
اتوب	توب	quranic-corpus-new
اتوك	ءتي	quranic-corpus-new
اتوكءا	وكء	quranic-corpus-new
اتوه	ءتي	quranic-corpus-new
اتيا	ءتي	quranic-corpus-new
اتيت	ءتي	quranic-corpus-new
اتين	ءتي	quranic-corpus-new
اتينا	ءتي	quranic-corpus-new
اتيناهم	ءتي	quranic-corpus-new
اثاثا	ءثث	quranic-corpus-new
اثارة	ءثر	quranic-corpus-new
اثاقلتم	ثقل	quranic-corpus-new
اثاما	ءثم	quranic-corpus-new
اثخنتموهم	ثخن	quranic-corpus-new
اثر	ءثر	quranic-corpus-new
اثرا	ءثر	quranic-corpus-new
اثقالكم	ثقل	quranic-corpus-new
اثقالها	ثقل	quranic-corpus-new
اثقالهم	ثقل	quranic-corpus-new
اثقلت	ثقل	quranic-corpus-new
اثم	ءثم	quranic-corpus-new
اثما	ءثم	quranic-corpus-new
اثمر	ثمر	quranic-corpus-new
اثمه	ءثم	quranic-corpus-new
اثنا	ثني	quranic-corpus-new
اثنان	ثني	quranic-corpus-new
اثنتا	ثني	quranic-corpus-new
اثنتين	ثني	quranic-corpus-new
اثنين	ثني	quranic-corpus-new
اثيم	ءثم	quranic-corpus-new
اثيما	ءثم	quranic-corpus-new
اجءتنا	جيء	quranic-corpus-new
اجاج	ءجج	quranic-corpus-new
اجاجا	ءجج	quranic-corpus-new
اجبتم	جوب	quranic-corpus-new
اجتباكم	جبي	quranic-corpus-new
اجتباه	جبي	quranic-corpus-new
اجتبيتها	جبي	quranic-corpus-new
اجتثت	جثث	quranic-corpus-new
اجترحوا	جرح	quranic-corpus-new
اجتمعت	جمع	quranic-corpus-new
اجتمعوا	جمع	quranic-corpus-new
اجتنبوا	جنب	quranic-corpus-new
اجد	وجد	quranic-corpus-new
اجر	ءجر	quranic-corpus-new
اجرا	ءجر	quranic-corpus-new
اجراما	جرم	quranic-corpus-new
اجرمنا	جرم	quranic-corpus-new
اجرموا	جرم	quranic-corpus-new
اجره	ءجر	quranic-corpus-new
اجرها	ءجر	quranic-corpus-new
اجرهم	ءجر	quranic-corpus-new
اجزعنا	جزع	quranic-corpus-new
اجسامهم	جسم	quranic-corpus-new
اجعل	جعل	quranic-corpus-new
اجعلتم	جعل	quranic-corpus-new
اجعلنا	جعل	quranic-corpus-new
اجعلوا	جعل	quranic-corpus-new
اجل	ءجل	quranic-corpus-new
اجلا	ءجل	quranic-corpus-new
اجلت	ءجل	quranic-corpus-new
اجلنا	ءجل	quranic-corpus-new
اجله	ءجل	quranic-corpus-new
اجلها	ءجل	quranic-corpus-new
اجلهم	ءجل	quranic-corpus-new
اجلهن	ءجل	quranic-corpus-new
اجمعوا	جمع	quranic-corpus-new
اجمعون	جمع	quranic-corpus-new
اجمعين	جمع	quranic-corpus-new
اجنة	جنن	quranic-corpus-new
اجنحة	جنح	quranic-corpus-new
اجهروا	جهر	quranic-corpus-new
اجوركم	ءجر	quranic-corpus-new
اجورهم	ءجر	quranic-corpus-new
اجورهن	ءجر	quranic-corpus-new
اجيب	جوب	quranic-corpus-new
اجيبت	جوب	quranic-corpus-new
اجيبوا	جوب	quranic-corpus-new
احا	حيي	quranic-corpus-new
احاديث	حدث	quranic-corpus-new
احاط	حوط	quranic-corpus-new
احب	حبب	quranic-corpus-new
احبارهم	حبر	quranic-corpus-new
احببت	حبب	quranic-corpus-new
احتمل	حمل	quranic-corpus-new
احتملوا	حمل	quranic-corpus-new
احد	ءحد	quranic-corpus-new
احدا	ءحد	quranic-corpus-new
احداهما	ءحد	quranic-corpus-new
احداهن	ءحد	quranic-corpus-new
احدث	حدث	quranic-corpus-new
احدكم	ءحد	quranic-corpus-new
احدكما	ءحد	quranic-corpus-new
احدنا	ءحد	quranic-corpus-new
احدهم	ءحد	quranic-corpus-new
احدهما	ءحد	quranic-corpus-new
احرص	حرص	quranic-corpus-new
احس	حسس	quranic-corpus-new
احسانا	حسن	quranic-corpus-new
احسب	حسب	quranic-corpus-new
احسن	حسن	quranic-corpus-new
احسنتم	حسن	quranic-corpus-new
احسنه	حسن	quranic-corpus-new
احسنوا	حسن	quranic-corpus-new
احسوا	حسس	quranic-corpus-new
احشروا	حشر	quranic-corpus-new
احصا	حصي	quranic-corpus-new
احصاه	حصي	quranic-corpus-new
احصاها	حصي	quranic-corpus-new
احصاهم	حصي	quranic-corpus-new
احصرتم	حصر	quranic-corpus-new
احصروا	حصر	quranic-corpus-new
احصن	حصن	quranic-corpus-new
احصنت	حصن	quranic-corpus-new
احصيناه	حصي	quranic-corpus-new
احضرت	حضر	quranic-corpus-new
احطت	حوط	quranic-corpus-new
احطنا	حوط	quranic-corpus-new
احق	حقق	quranic-corpus-new
احقابا	حقب	quranic-corpus-new
احكم	حكم	quranic-corpus-new
احكمت	حكم	quranic-corpus-new
احل	حلل	quranic-corpus-new
احلام	حلم	quranic-corpus-new
احلامهم	حلم	quranic-corpus-new
احلت	حلل	quranic-corpus-new
احللنا	حلل	quranic-corpus-new
احلنا	حلل	quranic-corpus-new
احمل	حمل	quranic-corpus-new
احملكم	حمل	quranic-corpus-new
احوا	حوي	quranic-corpus-new
احيا	حيي	quranic-corpus-new
احياء	حيي	quranic-corpus-new
احياكم	حيي	quranic-corpus-new
احياها	حيي	quranic-corpus-new
احياهم	حيي	quranic-corpus-new
احيط	حوط	quranic-corpus-new
احييناها	حيي	quranic-corpus-new
اخ	ءخو	quranic-corpus-new
اخا	ءخو	quranic-corpus-new
اخاف	خوف	quranic-corpus-new
اخالفكم	خلف	quranic-corpus-new
اخانا	ءخو	quranic-corpus-new
اخاه	ءخو	quranic-corpus-new
اخاهم	ءخو	quranic-corpus-new
اخباركم	خبر	quranic-corpus-new
اخبارها	خبر	quranic-corpus-new
اخت	ءخو	quranic-corpus-new
اخترتك	خير	quranic-corpus-new
اخترناهم	خير	quranic-corpus-new
اختصموا	خصم	quranic-corpus-new
اختك	ءخو	quranic-corpus-new
اختلاف	خلف	quranic-corpus-new
اختلافا	خلف	quranic-corpus-new
اختلاق	خلق	quranic-corpus-new
اختلط	خلط	quranic-corpus-new
اختلف	خلف	quranic-corpus-new
اختلفتم	خلف	quranic-corpus-new
اختلفوا	خلف	quranic-corpus-new
اختها	ءخو	quranic-corpus-new
اخدان	خدن	quranic-corpus-new
اخذ	ءخذ	quranic-corpus-new
اخذا	ءخذ	quranic-corpus-new
اخذة	ءخذ	quranic-corpus-new
اخذت	ءخذ	quranic-corpus-new
اخذتم	ءخذ	quranic-corpus-new
اخذته	ءخذ	quranic-corpus-new
اخذتها	ءخذ	quranic-corpus-new
اخذتهم	ءخذ	quranic-corpus-new
اخذنا	ءخذ	quranic-corpus-new
اخذناهم	ءخذ	quranic-corpus-new
اخذه	ءخذ	quranic-corpus-new
اخذوا	ءخذ	quranic-corpus-new
اخر	ءخر	quranic-corpus-new
اخرا	ءخر	quranic-corpus-new
اخراج	خرج	quranic-corpus-new
اخراجا	خرج	quranic-corpus-new
اخراجكم	خرج	quranic-corpus-new
اخراجهم	خرج	quranic-corpus-new
اخراكم	ءخر	quranic-corpus-new
اخراهم	ءخر	quranic-corpus-new
اخرتن	ءخر	quranic-corpus-new
اخرتنا	ءخر	quranic-corpus-new
اخرج	خرج	quranic-corpus-new
اخرجت	خرج	quranic-corpus-new
اخرجتك	خرج	quranic-corpus-new
اخرجتم	خرج	quranic-corpus-new
اخرجك	خرج	quranic-corpus-new
اخرجكم	خرج	quranic-corpus-new
اخرجنا	خرج	quranic-corpus-new
اخرجه	خرج	quranic-corpus-new
اخرجوا	خرج	quranic-corpus-new
اخرجوكم	خرج	quranic-corpus-new
اخرجوهم	خرج	quranic-corpus-new
اخرقتها	خرق	quranic-corpus-new
اخرنا	ءخر	quranic-corpus-new
اخزا	خزي	quranic-corpus-new
اخزيته	خزي	quranic-corpus-new
اخسوا	خسء	quranic-corpus-new
اخطاتم	خطء	quranic-corpus-new
اخطانا	خطء	quranic-corpus-new
اخفا	خفي	quranic-corpus-new
اخفيتم	خفي	quranic-corpus-new
اخفيها	خفي	quranic-corpus-new
اخلد	خلد	quranic-corpus-new
اخلده	خلد	quranic-corpus-new
اخلصناهم	خلص	quranic-corpus-new
اخلفنا	خلف	quranic-corpus-new
اخلفوا	خلف	quranic-corpus-new
اخلق	خلق	quranic-corpus-new
اخنه	خون	quranic-corpus-new
اخواتكم	ءخو	quranic-corpus-new
اخواتهن	ءخو	quranic-corpus-new
اخوالكم	خول	quranic-corpus-new
اخوان	ءخو	quranic-corpus-new
اخوانا	ءخو	quranic-corpus-new
اخوانكم	ءخو	quranic-corpus-new
اخوانهم	ءخو	quranic-corpus-new
اخوانهن	ءخو	quranic-corpus-new
اخوة	ءخو	quranic-corpus-new
اخوتا	ءخو	quranic-corpus-new
اخوتك	ءخو	quranic-corpus-new
اخوك	ءخو	quranic-corpus-new
اخوهم	ءخو	quranic-corpus-new
اخويكم	ءخو	quranic-corpus-new
اخيه	ءخو	quranic-corpus-new
ادا	ءدد	quranic-corpus-new
ادارك	درك	quranic-corpus-new
اداركوا	درك	quranic-corpus-new
ادباركم	دبر	quranic-corpus-new
ادبارها	دبر	quranic-corpus-new
ادبارهم	دبر	quranic-corpus-new
ادبر	دبر	quranic-corpus-new
ادخل	دخل	quranic-corpus-new
ادخلا	دخل	quranic-corpus-new
ادخلنا	دخل	quranic-corpus-new
ادخلوا	دخل	quranic-corpus-new
ادخلوها	دخل	quranic-corpus-new
ادر	دري	quranic-corpus-new
ادرا	دري	quranic-corpus-new
ادراك	دري	quranic-corpus-new
ادراكم	دري	quranic-corpus-new
ادركه	درك	quranic-corpus-new
ادع	دعو	quranic-corpus-new
ادعهن	دعو	quranic-corpus-new
ادعوا	دعو	quranic-corpus-new
ادعوتموهم	دعو	quranic-corpus-new
ادعوكم	دعو	quranic-corpus-new
ادعونا	دعو	quranic-corpus-new
ادعوهم	دعو	quranic-corpus-new
ادعياءكم	دعو	quranic-corpus-new
ادعياءهم	دعو	quranic-corpus-new
ادفع	دفع	quranic-corpus-new
ادفعوا	دفع	quranic-corpus-new
ادلك	دلل	quranic-corpus-new
ادلكم	دلل	quranic-corpus-new
ادنا	دنو	quranic-corpus-new
ادها	دهي	quranic-corpus-new
ادوا	ءدي	quranic-corpus-new
اذا	ءذي	quranic-corpus-new
اذاعوا	ذيع	quranic-corpus-new
اذاقهم	ذوق	quranic-corpus-new
اذاهم	ءذي	quranic-corpus-new
اذبحك	ذبح	quranic-corpus-new
اذقنا	ذوق	quranic-corpus-new
اذقناه	ذوق	quranic-corpus-new
اذكر	ذكر	quranic-corpus-new
اذكركم	ذكر	quranic-corpus-new
اذكرنا	ذكر	quranic-corpus-new
اذكره	ذكر	quranic-corpus-new
اذكروا	ذكر	quranic-corpus-new
اذلة	ذلل	quranic-corpus-new
اذن	ءذن	quranic-corpus-new
اذنت	ءذن	quranic-corpus-new
اذنه	ءذن	quranic-corpus-new
اذنيه	ءذن	quranic-corpus-new
اذهب	ذهب	quranic-corpus-new
اذهبا	ذهب	quranic-corpus-new
اذهبتم	ذهب	quranic-corpus-new
اذهبوا	ذهب	quranic-corpus-new
ارءيت	رءي	quranic-corpus-new
ارءيتك	رءي	quranic-corpus-new
ارءيتكم	رءي	quranic-corpus-new
ارءيتم	رءي	quranic-corpus-new
ارا	رءي	quranic-corpus-new
اراد	رود	quranic-corpus-new
ارادا	رود	quranic-corpus-new
ارادنا	رود	quranic-corpus-new
ارادوا	رود	quranic-corpus-new
اراذلنا	رذل	quranic-corpus-new
اراغب	رغب	quranic-corpus-new
اراك	رءي	quranic-corpus-new
اراكم	رءي	quranic-corpus-new
اراكهم	رءي	quranic-corpus-new
ارانا	رءي	quranic-corpus-new
اربا	ربو	quranic-corpus-new
اربابا	ربب	quranic-corpus-new
اربع	ربع	quranic-corpus-new
اربعة	ربع	quranic-corpus-new
اربعين	ربع	quranic-corpus-new
ارتابوا	ريب	quranic-corpus-new
ارتبتم	ريب	quranic-corpus-new
ارتدوا	ردد	quranic-corpus-new
ارتضا	رضو	quranic-corpus-new
ارجاءها	رجو	quranic-corpus-new
ارجع	رجع	quranic-corpus-new
ارجعا	رجع	quranic-corpus-new
ارجعوا	رجع	quranic-corpus-new
ارجعون	رجع	quranic-corpus-new
ارجل	رجل	quranic-corpus-new
ارجلكم	رجل	quranic-corpus-new
ارجلهم	رجل	quranic-corpus-new
ارجه	رجو	quranic-corpus-new
ارحام	رحم	quranic-corpus-new
ارحامكم	رحم	quranic-corpus-new
ارحامهن	رحم	quranic-corpus-new
ارحم	رحم	quranic-corpus-new
ارحمهما	رحم	quranic-corpus-new
ارداكم	ردي	quranic-corpus-new
اردت	رود	quranic-corpus-new
اردتم	رود	quranic-corpus-new
اردن	رود	quranic-corpus-new
اردنا	رود	quranic-corpus-new
اردناه	رود	quranic-corpus-new
ارذل	رذل	quranic-corpus-new
ارساها	رسو	quranic-corpus-new
ارسل	رسل	quranic-corpus-new
ارسلت	رسل	quranic-corpus-new
ارسلتم	رسل	quranic-corpus-new
ارسلنا	رسل	quranic-corpus-new
ارسلناك	رسل	quranic-corpus-new
ارسلناه	رسل	quranic-corpus-new
ارسله	رسل	quranic-corpus-new
ارسلوا	رسل	quranic-corpus-new
ارض	ءرض	quranic-corpus-new
ارضا	ءرض	quranic-corpus-new
ارضعت	رضع	quranic-corpus-new
ارضعن	رضع	quranic-corpus-new
ارضعنكم	رضع	quranic-corpus-new
ارضعيه	رضع	quranic-corpus-new
ارضكم	ءرض	quranic-corpus-new
ارضنا	ءرض	quranic-corpus-new
ارضهم	ءرض	quranic-corpus-new
ارضيتم	رضو	quranic-corpus-new
اركب	ركب	quranic-corpus-new
اركبوا	ركب	quranic-corpus-new
اركسهم	ركس	quranic-corpus-new
اركسوا	ركس	quranic-corpus-new
اركض	ركض	quranic-corpus-new
اركعوا	ركع	quranic-corpus-new
ارنا	رءي	quranic-corpus-new
ارهطا	رهط	quranic-corpus-new
ارونا	رءي	quranic-corpus-new
اريد	رود	quranic-corpus-new
اريكم	رءي	quranic-corpus-new
اريناك	رءي	quranic-corpus-new
اريناه	رءي	quranic-corpus-new
ازا	ءزز	quranic-corpus-new
ازاغ	زيغ	quranic-corpus-new
ازدادوا	زيد	quranic-corpus-new
ازرا	ءزر	quranic-corpus-new
ازفت	ءزف	quranic-corpus-new
ازكا	زكو	quranic-corpus-new
ازلفت	زلف	quranic-corpus-new
ازواج	زوج	quranic-corpus-new
ازواجا	زوج	quranic-corpus-new
ازواجك	زوج	quranic-corpus-new
ازواجكم	زوج	quranic-corpus-new
ازواجنا	زوج	quranic-corpus-new
ازواجه	زوج	quranic-corpus-new
ازواجهم	زوج	quranic-corpus-new
ازواجهن	زوج	quranic-corpus-new
ازيد	زيد	quranic-corpus-new
اساء	سوء	quranic-corpus-new
اساتم	سوء	quranic-corpus-new
اسارا	ءسر	quranic-corpus-new
اساطير	سطر	quranic-corpus-new
اساوا	سوء	quranic-corpus-new
اساور	سور	quranic-corpus-new
اسباب	سبب	quranic-corpus-new
اسباطا	سبط	quranic-corpus-new
استبدال	بدل	quranic-corpus-new
استجابوا	جوب	quranic-corpus-new
استجارك	جور	quranic-corpus-new
استجب	جوب	quranic-corpus-new
استجرت	ءجر	quranic-corpus-new
استجره	ءجر	quranic-corpus-new
استجيب	جوب	quranic-corpus-new
استجيبوا	جوب	quranic-corpus-new
استحبوا	حبب	quranic-corpus-new
استحفظوا	حفظ	quranic-corpus-new
استحق	حقق	quranic-corpus-new
استحقا	حقق	quranic-corpus-new
استحوذ	حوذ	quranic-corpus-new
استحياء	حيي	quranic-corpus-new
استخرجها	خرج	quranic-corpus-new
استخلصه	خلص	quranic-corpus-new
استخلف	خلف	quranic-corpus-new
استذن	ءذن	quranic-corpus-new
استذنك	ءذن	quranic-corpus-new
استذنوك	ءذن	quranic-corpus-new
استرق	سرق	quranic-corpus-new
