word	root	plural_1	plural_2	plural_3	source
اتلاف	تلف				qalsadi-nouns
اتمام	تمم				qalsadi-nouns
اتهام	تهم،وهم				qalsadi-nouns
اتون	اتن	اتن	اتانين		qalsadi-nouns
اتي	اتي				qalsadi-nouns
اتيان	اتي				qalsadi-nouns
اثابة	ثوب				qalsadi-nouns
اثاث	اتث				qalsadi-nouns
اثار	اثر				qalsadi-nouns
اثارة	ثور				qalsadi-nouns
اثبات	ثبت				qalsadi-nouns
اثخان	ثخن				qalsadi-nouns
اثر	اثر	ءثار			qalsadi-nouns
اثر	اثر				qalsadi-nouns
اثراء	اثر				qalsadi-nouns
اثري	اثر				qalsadi-nouns
اثفية	اثف	اثاف	الاثافي		qalsadi-nouns
اثقال	ثقل	مفردثقل			qalsadi-nouns
اثقال	ثقل				qalsadi-nouns
اثقل	ثقل				qalsadi-nouns
اثلاث	ثلث				qalsadi-nouns
اثلاج	ثلج				qalsadi-nouns
اثم	اثم	ءثام			qalsadi-nouns
اثمار	ثمر				qalsadi-nouns
اثير	اثر				qalsadi-nouns
اثيل	اثل				qalsadi-nouns
اثيم	اثم	اثماء			qalsadi-nouns
اجابة	جوب	اجوبة			qalsadi-nouns
اجاج	اجج				qalsadi-nouns
اجادة	جود				qalsadi-nouns
اجارة	اجر				qalsadi-nouns
اجازة	جوز				qalsadi-nouns
اجاص	نب				qalsadi-nouns
اجاعة	جوع				qalsadi-nouns
اجالة	جول				qalsadi-nouns
اجبار	جبر				qalsadi-nouns
اجباري	جبر				qalsadi-nouns
اجتثاث	جثث				qalsadi-nouns
اجتذاب	جذب				qalsadi-nouns
اجتراء	جرا				qalsadi-nouns
اجترار	جرر				qalsadi-nouns
اجتراع	جرع				qalsadi-nouns
اجتراف	جرف				qalsadi-nouns
اجتزاز	جزز				qalsadi-nouns
اجتلاب	جلب				qalsadi-nouns
اجتماع	جمع				qalsadi-nouns
اجتماعي	جمع				qalsadi-nouns
اجتناء	جني				qalsadi-nouns
اجتناب	جنب				qalsadi-nouns
اجتهاد	جهد				qalsadi-nouns
اجتياح	جيح				qalsadi-nouns
اجتياز	جوز				qalsadi-nouns
اجحاف	جحف				qalsadi-nouns
اجدا	جدو				qalsadi-nouns
اجداب	جدب				qalsadi-nouns
اجدع	جدع	جدعمءجدعاءجدعاوات			qalsadi-nouns
اجدل	جدل	اجادل			qalsadi-nouns
اجذام	جذم				qalsadi-nouns
اجذم	جذم	جذم	جذمامءجذماءجذم		qalsadi-nouns
اجر	اجر	اجور			qalsadi-nouns
اجراء	جري				qalsadi-nouns
اجراءي	جري				qalsadi-nouns
اجراس	جرس				qalsadi-nouns
اجرام	جرم				qalsadi-nouns
اجرامي	جرم				qalsadi-nouns
اجرب	جرب	جربمءجرباءجرباوات			qalsadi-nouns
اجرة	اجر	اجر			qalsadi-nouns
اجرد	جرد	جردمءجرداءجرداوات			qalsadi-nouns
اجزاء	جزي				qalsadi-nouns
اجزال	جزل				qalsadi-nouns
اجش	جشش	جشمءجشاء			qalsadi-nouns
اجفال	جفل				qalsadi-nouns
اجفان	جفن	مفردجفن			qalsadi-nouns
اجل	اجل	ءجال			qalsadi-nouns
اجلاء	جلو				qalsadi-nouns
اجلاب	جلب				qalsadi-nouns
اجلال	اجل				qalsadi-nouns
اجماع	جمع				qalsadi-nouns
اجمال	جمل				qalsadi-nouns
اجمة	اجم	جءجام			qalsadi-nouns
اجمع	جمع	اجمعونمءنثجمعاء			qalsadi-nouns
اجناح	جنح				qalsadi-nouns
اجنبي	جنب	ات	اجانب		qalsadi-nouns
اجهاد	جهد				qalsadi-nouns
اجهار	جهر				qalsadi-nouns
اجهاز	جهز				qalsadi-nouns
اجهاش	جهش				qalsadi-nouns
اجهاض	جهض				qalsadi-nouns
اجهام	جهم				qalsadi-nouns
اجود	جود	اجاود	مءجودا		qalsadi-nouns
اجوف	جوف	جوف	مءجوفاء		qalsadi-nouns
اجيج	اجج				qalsadi-nouns
اجيد	جيد	جودمءجيداء			qalsadi-nouns
اجير	اجر	اجراء	اجيرات		qalsadi-nouns
احاجي	حجي				qalsadi-nouns
احاد	وحد،احد				qalsadi-nouns
احادي	احد،وحد				qalsadi-nouns
احارة	حور				qalsadi-nouns
احاطة	حوط				qalsadi-nouns
احاقة	حيق				qalsadi-nouns
احالة	حول				qalsadi-nouns
احباس	حبس				qalsadi-nouns
احباط	حبط				qalsadi-nouns
احباك	حبك				qalsadi-nouns
احبال	حبل				qalsadi-nouns
احبولة	حبل	احابيل			qalsadi-nouns
احتباس	حبس				qalsadi-nouns
احتجاب	حجب				qalsadi-nouns
احتجاج	حجج				qalsadi-nouns
احتجاز	حجز				qalsadi-nouns
احتداد	حدد				qalsadi-nouns
احتدام	حدم				qalsadi-nouns
احتذاء	حذو				qalsadi-nouns
احتراز	حرز				qalsadi-nouns
احتراس	حرس				qalsadi-nouns
احتراف	حرف				qalsadi-nouns
احتراق	حرق				qalsadi-nouns
احترام	حرم	ح			qalsadi-nouns
احتساء	حسي				qalsadi-nouns
احتساب	حسب				qalsadi-nouns
احتشاد	حشد				qalsadi-nouns
احتشام	حشم				qalsadi-nouns
احتضار	حضر				qalsadi-nouns
احتضان	حضن				qalsadi-nouns
احتطاب	حطب				qalsadi-nouns
احتفاء	حفو				qalsadi-nouns
احتفاظ	حفظ				qalsadi-nouns
احتفال	حفل	ات			qalsadi-nouns
احتفالية	حفل				qalsadi-nouns
احتقار	حقر				qalsadi-nouns
احتقان	حقن				qalsadi-nouns
احتكار	حكر				qalsadi-nouns
احتكاك	حكك				qalsadi-nouns
احتكام	حكم				qalsadi-nouns
احتلاب	حلب				qalsadi-nouns
احتلال	حلل				qalsadi-nouns
احتلام	حلم				qalsadi-nouns
احتماء	حمي				qalsadi-nouns
احتمال	حمل				qalsadi-nouns
احتواء	حوي				qalsadi-nouns
احتياج	حوج				qalsadi-nouns
احتياط	حوط				qalsadi-nouns
احتياطي	حوط				qalsadi-nouns
احتيال	حول				qalsadi-nouns
احجام	حجم				qalsadi-nouns
احجية	حجو	احاج	احاجي		qalsadi-nouns
احد	وحد	ءحادمءاحدا			qalsadi-nouns
احداث	حدث	مفردحدث			qalsadi-nouns
احداث	حدث				qalsadi-nouns
احداق	حدق				qalsadi-nouns
احدب	حدب	حدبمءحدباءحدباوات			qalsadi-nouns
احدوثة	حدث				qalsadi-nouns
احديداب	حدب				qalsadi-nouns
احراج	حرج				qalsadi-nouns
احراز	حرز				qalsadi-nouns
احراق	حرق				qalsadi-nouns
احرام	حرم				qalsadi-nouns
احرش	حرش	حرشمءحرشاءحرشاوات			qalsadi-nouns
احرص	حرص				qalsadi-nouns
احزان	حزن				qalsadi-nouns
احساس	حسس				qalsadi-nouns
احسان	حسن				qalsadi-nouns
احسن	حسن	احاسنمءحسناحسنيات			qalsadi-nouns
احصاء	حصي				qalsadi-nouns
احصاءي	حصي				qalsadi-nouns
احضار	حضر				qalsadi-nouns
احق	حقق	احاقق	مءحقا		qalsadi-nouns
احقاد	حقد	مفردحقد			qalsadi-nouns
احقاق	حقق				qalsadi-nouns
احكام	حكم	حكم			qalsadi-nouns
احكام	حكم				qalsadi-nouns
احكم	حكم				qalsadi-nouns
احلا	حلو	مءحلوا			qalsadi-nouns
احلاف	حلف				qalsadi-nouns
احلال	حلل				qalsadi-nouns
احماء	حمي				qalsadi-nouns
احماض	حمض				qalsadi-nouns
احمر	حمر	حمرمءحمراءحمراوات			qalsadi-nouns
احمرار	حمر				qalsadi-nouns
احمق	حمق	ححمق	حمقامءحمقاءحمق		qalsadi-nouns
احن	احن	مفرداحنة			qalsadi-nouns
احناء	حني				qalsadi-nouns
احنف	حنف	مءنثحنفاء			qalsadi-nouns
احواج	حوح				qalsadi-nouns
احور	حور	حورمءحوراءحوراوات			qalsadi-nouns
احورار	حور				qalsadi-nouns
احول	حول	حولمءحولاءحولاوات			qalsadi-nouns
احولال	حول				qalsadi-nouns
احياء	حيي				qalsadi-nouns
اخ	اخو	اخوة	اخوانمثناها		qalsadi-nouns
اخاء	اخو				qalsadi-nouns
اخاذ	اخذ				qalsadi-nouns
اخافة	خوف				qalsadi-nouns
اخباء	خبو				qalsadi-nouns
اخبار	خبر	مفردخبر			qalsadi-nouns
اخبار	خبر				qalsadi-nouns
اخبث	خبث	مثنااخبثاناخبثان			qalsadi-nouns
اخت	اخو	اخواتمذاخ			qalsadi-nouns
اختباء	خبا				qalsadi-nouns
اختبار	خبر				qalsadi-nouns
اختباز	خبز				qalsadi-nouns
اختتام	ختم				qalsadi-nouns
اختتان	ختن				qalsadi-nouns
اختراع	خرع				qalsadi-nouns
اختراق	خرق				qalsadi-nouns
اختزال	خزل				qalsadi-nouns
اختزان	خزن				qalsadi-nouns
اختصار	خصر				qalsadi-nouns
اختصاص	خصص				qalsadi-nouns
اختصاصي	خصص				qalsadi-nouns
اختصام	خصم				qalsadi-nouns
اختضاب	خضب				qalsadi-nouns
اختطاط	خطط				qalsadi-nouns
اختطاف	خطف				qalsadi-nouns
اختفاء	خفي				qalsadi-nouns
اختلاء	خلو،خلي				qalsadi-nouns
اختلاج	خلج				qalsadi-nouns
اختلاجة	خلج				qalsadi-nouns
اختلاس	خلس				qalsadi-nouns
اختلاط	خلط				qalsadi-nouns
اختلاف	خلف				qalsadi-nouns
اختلاق	خلق				qalsadi-nouns
اختلال	خلل				qalsadi-nouns
اختمار	خمر				qalsadi-nouns
اختناق	خنق				qalsadi-nouns
اختيار	خير				qalsadi-nouns
اختياري	خير				qalsadi-nouns
اختيال	خيل				qalsadi-nouns
اخثار	خثر				qalsadi-nouns
اخجال	خجل				qalsadi-nouns
اخداع	خدع				qalsadi-nouns
اخدعان	خدع	اخادعمثناالاخدع			qalsadi-nouns
اخدود	خدد	اخاديد			qalsadi-nouns
اخذ	اخذ	اخذانالمعجمالوسيط			qalsadi-nouns
اخرا	اخر	اخر	اخرياتمءنثءخر		qalsadi-nouns
اخراج	خرج				qalsadi-nouns
اخراس	خرس				qalsadi-nouns
اخرس	خرس	خرسمءخرساءخرساوات			qalsadi-nouns
اخرق	خرق				qalsadi-nouns
اخزاء	خزي				qalsadi-nouns
اخسر	خسر				qalsadi-nouns
اخشن	خشن	خشنمءخشناءخشناوات			qalsadi-nouns
اخص	خصص	اخاصص	مءخصا		qalsadi-nouns
اخصاب	خصب				qalsadi-nouns
اخضاب	خضب				qalsadi-nouns
اخضاع	خضع				qalsadi-nouns
اخضر	خضر	خضرمءخضراءخضراوات			qalsadi-nouns
اخضرار	خضر				qalsadi-nouns
اخضيضار	خضر				qalsadi-nouns
اخطار	خطر				qalsadi-nouns
اخف	خفف				qalsadi-nouns
اخفا	خفي				qalsadi-nouns
اخفاء	خفي				qalsadi-nouns
اخفاق	خفق				qalsadi-nouns
اخلاد	خلد				qalsadi-nouns
اخلاص	خلص				qalsadi-nouns
اخلاف	خلف				qalsadi-nouns
اخلاق	خلق	خلق			qalsadi-nouns
اخلال	خلل				qalsadi-nouns
اخماد	خمد				qalsadi-nouns
اخمص	خمص	اخماص			qalsadi-nouns
اخناء	خنو				qalsadi-nouns
اخوة	اخو				qalsadi-nouns
اخير	اخر				qalsadi-nouns
اخير	خير	اخاير			qalsadi-nouns
اداء	ادي				qalsadi-nouns
اداة	ادو	ادوات			qalsadi-nouns
ادارة	دور				qalsadi-nouns
اداري	دور				qalsadi-nouns
ادام	ادم	ادم			qalsadi-nouns
ادانة	دين				qalsadi-nouns
ادبار	دبر				qalsadi-nouns
ادثار	دثر				qalsadi-nouns
ادجاء	دجو				qalsadi-nouns
ادحاض	دحض				qalsadi-nouns
ادخار	دخل				qalsadi-nouns
ادخال	دخل				qalsadi-nouns
ادراج	درج	درج			qalsadi-nouns
ادراج	درج				qalsadi-nouns
ادرار	درر				qalsadi-nouns
ادراك	درك				qalsadi-nouns
ادعاء	دعو				qalsadi-nouns
ادفاء	دفا				qalsadi-nouns
ادكن	دكن	دكنمءدكناء			qalsadi-nouns
ادلاء	دلو				qalsadi-nouns
ادماء	دمي				qalsadi-nouns
ادماج	دمج				qalsadi-nouns
ادمان	دمن				qalsadi-nouns
ادنا	دنو	مءدنيادنا			qalsadi-nouns
ادناء	دنو				qalsadi-nouns
ادها	دهي				qalsadi-nouns
ادهم	دهم	دهممءدهماءدهماوات			qalsadi-nouns
اديب	ادب	ادباء	اديبات		qalsadi-nouns
اديم	ادم	ادم	ءدمة	ءدام	qalsadi-nouns
اذا	اذي				qalsadi-nouns
اذاعة	ذيع				qalsadi-nouns
اذاقة	ذوق				qalsadi-nouns
اذان	اذن				qalsadi-nouns
اذبال	ذبل				qalsadi-nouns
اذخار	ذخر				qalsadi-nouns
اذعان	ذعن				qalsadi-nouns
اذقن	ذقن	ذقن			qalsadi-nouns
اذكاء	ذكو				qalsadi-nouns
اذكار	ذكر				qalsadi-nouns
اذلال	ذلل				qalsadi-nouns
اذلف	ذلف	ذلفمءذلفاء			qalsadi-nouns
اذن	اذن	اذونالمعجمالوسيط			qalsadi-nouns
اذناب	ذنب	مفردذنب			qalsadi-nouns
اذهال	ذهل				qalsadi-nouns
اراجيف	رجف				qalsadi-nouns
اراحة	روح				qalsadi-nouns
ارادة	رود				qalsadi-nouns
اراقة	ريق				qalsadi-nouns
ارب	ارب				qalsadi-nouns
ارباك	ربك				qalsadi-nouns
اربع	ربع	عددمفرد	معدودهجم		qalsadi-nouns
اربعاء	ربع				qalsadi-nouns
اربعة	ربع				qalsadi-nouns
اربيان	ارب				qalsadi-nouns
ارتباط	ربط				qalsadi-nouns
ارتباك	ربك				qalsadi-nouns
ارتج	رتج				qalsadi-nouns
ارتجاج	رجج				qalsadi-nouns
ارتجاف	رجف				qalsadi-nouns
ارتجال	رجل				qalsadi-nouns
ارتحال	رحل				qalsadi-nouns
ارتخاء	رخي				qalsadi-nouns
ارتداء	ردي				qalsadi-nouns
ارتداد	ردد				qalsadi-nouns
ارتزاق	رزق				qalsadi-nouns
ارتسام	رسم				qalsadi-nouns
ارتشاء	رشو				qalsadi-nouns
ارتشاف	رشف				qalsadi-nouns
ارتصاف	رصف				qalsadi-nouns
ارتضاء	رضي				qalsadi-nouns
ارتطام	رطم				qalsadi-nouns
ارتعاد	رعد				qalsadi-nouns
ارتعاش	رعش				qalsadi-nouns
ارتفاع	رفع				qalsadi-nouns
ارتقاء	رقي				qalsadi-nouns
ارتقاب	رقب				qalsadi-nouns
ارتكاب	ركب				qalsadi-nouns
ارتكاز	ركز				qalsadi-nouns
ارتكاس	ركس				qalsadi-nouns
ارتماء	رمي				qalsadi-nouns
ارتواء	روي				qalsadi-nouns
ارتياح	روح				qalsadi-nouns
ارتياد	رود				qalsadi-nouns
ارتياع	روع				qalsadi-nouns
ارث	ورث				qalsadi-nouns
ارج	ارج				qalsadi-nouns
ارجاء	رجو	مفردرجاءمثناهرجوان			qalsadi-nouns
ارجاء	رجا				qalsadi-nouns
ارجاع	رجع				qalsadi-nouns
ارجاف	رجف				qalsadi-nouns
ارجح	رجح	اراجح	مءرجحا		qalsadi-nouns
ارجوحة	رجح	اراجيح			qalsadi-nouns
ارجوزة	رجز	اراجيز			qalsadi-nouns
ارخاء	رخي				qalsadi-nouns
ارخام	رخم				qalsadi-nouns
اردا	ردا				qalsadi-nouns
ارذل	رذل	اراذل			qalsadi-nouns
ارساء	رسو				qalsadi-nouns
ارسال	رسل				qalsadi-nouns
ارشاد	رشد				qalsadi-nouns
ارضاء	رضي				qalsadi-nouns
ارضاع	رضع				qalsadi-nouns
ارضي	ارض				qalsadi-nouns
ارطاب	رطب				qalsadi-nouns
ارعاء	رعي				qalsadi-nouns
ارعاد	رعد				qalsadi-nouns
ارعاش	رعش				qalsadi-nouns
ارعن	رعن	رعنمءرعناء			qalsadi-nouns
ارعواء	رعو				qalsadi-nouns
ارغاء	رغو				qalsadi-nouns
ارغاد	رغد				qalsadi-nouns
ارغام	رغم				qalsadi-nouns
ارق	ارق				qalsadi-nouns
ارق	رقق				qalsadi-nouns
ارقاد	رقد				qalsadi-nouns
ارقاص	رقص				qalsadi-nouns
ارقام	رقم	مفردرقم			qalsadi-nouns
ارقش	رقش	رقشمءرقشاءرقشاوات			qalsadi-nouns
ارقط	رقط	رقطمءرقطاءرقطاوات			qalsadi-nouns
ارقط	رقط				qalsadi-nouns
ارك	ركك				qalsadi-nouns
اركاب	ركب				qalsadi-nouns
اركاع	ركع				qalsadi-nouns
ارماء	رمي				qalsadi-nouns
ارمد	رمد	رمدمءرمداء			qalsadi-nouns
ارنب	رنب	ارانب			qalsadi-nouns
ارنبة	رنب	ارانب			qalsadi-nouns
ارهاب	رهب				qalsadi-nouns
ارهابي	رهب				qalsadi-nouns
ارهاف	رهف				qalsadi-nouns
ارهاق	رهق				qalsadi-nouns
ارواء	روي				qalsadi-nouns
اروع	روع	روعمءروعاء			qalsadi-nouns
اروق	روق	مءروقاء			qalsadi-nouns
ارومة	ارم	اروم			qalsadi-nouns
اروية	روي	اراو	الاراوي		qalsadi-nouns
اريب	ارب				qalsadi-nouns
اريج	ارج	اراءج			qalsadi-nouns
اريحي	روح				qalsadi-nouns
اريكة	ارك	اراءك			qalsadi-nouns
ازاحة	زوح،زيح				qalsadi-nouns
ازاغة	زيغ				qalsadi-nouns
ازالة	زول				qalsadi-nouns
ازباد	زبد				qalsadi-nouns
ازدحام	زحم				qalsadi-nouns
ازدراء	زري				qalsadi-nouns
ازدراد	زرد				qalsadi-nouns
ازدهاء	زهو				qalsadi-nouns
ازدهار	زهر				qalsadi-nouns
ازدواج	زوج				qalsadi-nouns
ازدواجي	زوج				qalsadi-nouns
ازدياد	زيد				qalsadi-nouns
ازديان	زين				qalsadi-nouns
ازر	ازر				qalsadi-nouns
ازرق	زرق	زرقمءزرقاءزرقاوات			qalsadi-nouns
ازعاج	زعج				qalsadi-nouns
ازعر	زعر	زعرمءزعراءزعراوات			qalsadi-nouns
ازقة	زقق	زقاق			qalsadi-nouns
ازكاء	زكو				qalsadi-nouns
ازلي	ازل				qalsadi-nouns
ازمة	ازم				qalsadi-nouns
ازمنة	زمن	مفردزمن			qalsadi-nouns
ازهاق	زهق				qalsadi-nouns
ازهر	زهر	زهرمءزهراء			qalsadi-nouns
ازورار	زور				qalsadi-nouns
ازيد	زيد				qalsadi-nouns
ازيز	ازز				qalsadi-nouns
اساءة	سوا				qalsadi-nouns
اسار	اسر				qalsadi-nouns
اسارير	سرر	بصيغةالجمع			qalsadi-nouns
اساس	اسس	اسس			qalsadi-nouns
اساسي	اسس				qalsadi-nouns
اساطين	سطن	مفرداسطوانةواسطون			qalsadi-nouns
اسالة	سيل				qalsadi-nouns
اسباب	سبب	مفردسبب			qalsadi-nouns
اسبار	سبر				qalsadi-nouns
اسباغ	سبغ				qalsadi-nouns
اسبق	سبق	اسابق	مءسبقا		qalsadi-nouns
اسبقية	سبق				qalsadi-nouns
اسبوع	سبع	اسابيع			qalsadi-nouns
اسبوعي	سبع				qalsadi-nouns
استءثار	اثر				qalsadi-nouns
استءجار	اجر				qalsadi-nouns
استءذان	اذن				qalsadi-nouns
استءساد	اسد				qalsadi-nouns
استءصال	اصل				qalsadi-nouns
استءناس	انس				qalsadi-nouns
استءناف	انف				qalsadi-nouns
استباحة	بوح				qalsadi-nouns
استباق	سبق				qalsadi-nouns
استبانة	بين				qalsadi-nouns
استبخار	بخر				qalsadi-nouns
استبداد	بدد				qalsadi-nouns
استبدادي	بدد				qalsadi-nouns
استبدال	بدل				qalsadi-nouns
استبراك	برك				qalsadi-nouns
استبسال	بسل				qalsadi-nouns
استبشار	بشر				qalsadi-nouns
استبشاع	بشع				qalsadi-nouns
استبصار	بصر				qalsadi-nouns
استبطاء	بطا				qalsadi-nouns
استبطان	بطن				qalsadi-nouns
استبعاد	بعد				qalsadi-nouns
استبقاء	بقي				qalsadi-nouns
استبهام	بهم				qalsadi-nouns
استتار	ستر				qalsadi-nouns
استتباب	تبب				qalsadi-nouns
استثقال	ثقل				qalsadi-nouns
استثمار	ثمر				qalsadi-nouns
استثناء	ثني				qalsadi-nouns
استثناءي	ثني				qalsadi-nouns
استجابة	جوب				qalsadi-nouns
استجداء	جدو				qalsadi-nouns
استجلاء	جلو				qalsadi-nouns
استجلاب	جلب				qalsadi-nouns
استجمام	جمم				qalsadi-nouns
استجواب	جوب				qalsadi-nouns
استحالة	حول				qalsadi-nouns
استحداث	حدث				qalsadi-nouns
استحسان	حسن				qalsadi-nouns
استحصاد	حصد				qalsadi-nouns
استحصال	حصل				qalsadi-nouns
استحضار	حضر				qalsadi-nouns
استحقاق	حقق				qalsadi-nouns
استحكام	حكم				qalsadi-nouns
استحلاء	حلو				qalsadi-nouns
استحمال	حمل				qalsadi-nouns
استحمام	حمم				qalsadi-nouns
استحواذ	حوذ				qalsadi-nouns
استحياء	حيي				qalsadi-nouns
استخبار	خبر				qalsadi-nouns
استخدام	خدم				qalsadi-nouns
استخراج	خرج				qalsadi-nouns
استخفاء	خفي				qalsadi-nouns
استخفاف	خفف				qalsadi-nouns
استخلاص	خلص				qalsadi-nouns
استدارة	دور				qalsadi-nouns
استدامة	دوم				qalsadi-nouns
استدانة	دين				qalsadi-nouns
استدراج	درج				qalsadi-nouns
استدراك	درك				qalsadi-nouns
استدعاء	دعو				qalsadi-nouns
استدفاء	دفا				qalsadi-nouns
استدلال	دلل				qalsadi-nouns
استذكار	ذكر				qalsadi-nouns
استراحة	روح				qalsadi-nouns
استراق	سرق				qalsadi-nouns
استرجاع	رجع				qalsadi-nouns
استرخاء	رخو				qalsadi-nouns
استرخاص	رخص				qalsadi-nouns
استرداد	ردد				qalsadi-nouns
استرزاق	رزق				qalsadi-nouns
استرسال	رسل				qalsadi-nouns
استرشاد	رشد				qalsadi-nouns
استرضاء	رضي				qalsadi-nouns
استرعاء	رعي				qalsadi-nouns
استساغة	سوغ				qalsadi-nouns
