word_with_harakat	unvocalized	unmarked	root	kind	source
آزَى	ءزا	ءزا	ءازا	"ناقص يائي"	qutrub
آزَرَ	ءزر	ءزر	ءازر	صحيح	qutrub
آزر	ءزر	ءزر	ءزر	derived	sarf-derivations
آزَفَ	ءزف	ءزف	ءازف	صحيح	qutrub
آزَلَ	ءزل	ءزل	ءازل	صحيح	qutrub
آسَ	ءس	ءس	ءءس	صحيح	qutrub
آسَى	ءسا	ءسا	ءاسا	"ناقص يائي"	qutrub
آسى	ءسا	ءسا	اسي	derived	sarf-derivations
آسَدَ	ءسد	ءسد	ءاسد	صحيح	qutrub
آسَفَ	ءسف	ءسف	ءاسف	صحيح	qutrub
آسِفٌ	ءسف	اسف	اسف	Subject	asmai-derivations
آسفونا	ءسفونا	ءسف	اسف	derived	sarf-derivations
آسَنَ	ءسن	ءسن	ءاسن	صحيح	qutrub
آسن	ءسن	ءسن	اسن	derived	sarf-derivations
آسِنٌ	ءسن	اسن	اسن	Subject	asmai-derivations
آصَدَ	ءصد	ءصد	ءاصد	صحيح	qutrub
آصَلَ	ءصل	ءصل	ءاصل	صحيح	qutrub
آضَ	ءض	ءض	ءءض	صحيح	qutrub
آطَمَ	ءطم	ءطم	ءاطم	صحيح	qutrub
آفَ	ءف	ءف	ءءف	صحيح	qutrub
آفَكَ	ءفك	ءفك	ءافك	صحيح	qutrub
آفِلٌ	ءفل	افل	افل	Subject	asmai-derivations
آقَ	ءق	ءق	ءءق	صحيح	qutrub
آكَدَ	ءكد	ءكد	ءاكد	صحيح	qutrub
آكَرَ	ءكر	ءكر	ءاكر	صحيح	qutrub
آكَلَ	ءكل	ءكل	ءاكل	صحيح	qutrub
آلَ	ءل	ءل	ءءل	صحيح	qutrub
آل	ءل	ءل		derived	sarf-derivations
آلآن	ءلءن	ءن		derived	sarf-derivations
آلَى	ءلا	ءلا	ءالا	"ناقص يائي"	qutrub
آلاء	ءلاء	ءلاء	الي	derived	sarf-derivations
آلاف	ءلاف	الف	الف	derived	sarf-derivations
آلَتَ	ءلت	ءلت	ءالت	صحيح	qutrub
آلذكرين	ءلذكرين	ذكر	ذكر	derived	sarf-derivations
آلَسَ	ءلس	ءلس	ءالس	صحيح	qutrub
آلَفَ	ءلف	ءلف	ءالف	صحيح	qutrub
آلله	ءلله	الله	الله	derived	sarf-derivations
آلَمَ	ءلم	ءلم	ءالم	صحيح	qutrub
آلهة	ءلهة	اله	اله	derived	sarf-derivations
آلهتكم	ءلهتكم	اله	اله	derived	sarf-derivations
آلهتنا	ءلهتنا	اله	اله	derived	sarf-derivations
آلهتهم	ءلهتهم	اله	اله	derived	sarf-derivations
آلهتي	ءلهتي	اله	اله	derived	sarf-derivations
آمَ	ءم	ءم	ءءم	صحيح	qutrub
آمَرَ	ءمر	ءمر	ءامر	صحيح	qutrub
آمِرٌ	ءمر	امر	امر	Subject	asmai-derivations
آمره	ءمره	امر	امر	derived	sarf-derivations
آمَنَ	ءمن	ءمن	ءامن	صحيح	qutrub
آمن	ءمن	ءمن	امن	derived	sarf-derivations
آمِنٌ	ءمن	امن	امن	Subject	asmai-derivations
آمنا	ءمنا	ءمن	امن	derived	sarf-derivations
آمنة	ءمنة	ءمن	امن	derived	sarf-derivations
آمنت	ءمنت	ءمن	امن	derived	sarf-derivations
آمنتم	ءمنتم	امن	امن	derived	sarf-derivations
آمنكم	ءمنكم	ءمن	امن	derived	sarf-derivations
آمنوا	ءمنوا	ءمن	امن	derived	sarf-derivations
آمنون	ءمنون	ءمن	امن	derived	sarf-derivations
آمنين	ءمنين	ءمن	امن	derived	sarf-derivations
آمين	ءمين	ءمين	امم	derived	sarf-derivations
آنَ	ءن	ءن	ءءن	صحيح	qutrub
آن	ءن	ءن	اون	derived	sarf-derivations
آنَى	ءنا	ءنا	ءانا	"ناقص يائي"	qutrub
آناء	ءناء	ءناء	اني	derived	sarf-derivations
آنَثَ	ءنث	ءنث	ءانث	صحيح	qutrub
آنَسَ	ءنس	ءنس	ءانس	صحيح	qutrub
آنس	ءنس	ءنس	انس	derived	sarf-derivations
آنست	ءنست	ءنس	انس	derived	sarf-derivations
آنستم	ءنستم	ءنس	انس	derived	sarf-derivations
آنَضَ	ءنض	ءنض	ءانض	صحيح	qutrub
آنَفَ	ءنف	ءنف	ءانف	صحيح	qutrub
آنفا	ءنفا	ءنفا	انف	derived	sarf-derivations
آنَقَ	ءنق	ءنق	ءانق	صحيح	qutrub
آنية	ءنية	ءن		derived	sarf-derivations
آهَ	ءه	ءه	ءءه	صحيح	qutrub
آهَلَ	ءهل	ءهل	ءاهل	صحيح	qutrub
آهِلٌ	ءهل	اهل	اهل	Subject	asmai-derivations
آوَى	ءوا	ءوا	ءاوا	"لفيف مقرون"	qutrub
آوى	ءوا	اوا	اوي	derived	sarf-derivations
آوَبَ	ءوب	ءوب	ءاوب	verb	qutrub
آووا	ءووا	اوا	اوي	derived	sarf-derivations
آوي	ءوي	اوا	اوي	derived	sarf-derivations
آيات	ءيات	ءية	ايي	derived	sarf-derivations
آياتك	ءياتك	ءية	ايي	derived	sarf-derivations
آياتنا	ءياتنا	ءية	ايي	derived	sarf-derivations
آياته	ءياته	ءية	ايي	derived	sarf-derivations
آياتها	ءياتها	ءية	ايي	derived	sarf-derivations
آياتي	ءياتي	ءية	ايي	derived	sarf-derivations
آية	ءية	ءية	ايي	derived	sarf-derivations
آيتك	ءيتك	ءية	ايي	derived	sarf-derivations
آيتين	ءيتين	ءية	ايي	derived	sarf-derivations
آيَدَ	ءيد	ءيد	ءايد	صحيح	qutrub
آيَسَ	ءيس	ءيس	ءايس	صحيح	qutrub
ائت	اءت	اتا	اتي	derived	sarf-derivations
اِئْتالَ	اءتال	اءتال	اءتال	أجوف	qutrub
اِئْتامَ	اءتام	اءتام	اءتام	أجوف	qutrub
اِئْتَبَّ	اءتب	اءتب	اءتب	صحيح	qutrub
اِئْتَبَرَ	اءتبر	اءتبر	اءتبر	صحيح	qutrub
اِئْتَبَلَ	اءتبل	اءتبل	اءتبل	صحيح	qutrub
اِئْتَثَرَ	اءتثر	اءتثر	اءتثر	صحيح	qutrub
اِئْتَجَّ	اءتج	اءتج	اءتج	صحيح	qutrub
اِئْتَجَرَ	اءتجر	اءتجر	اءتجر	صحيح	qutrub
اِئْتَخَذَ	اءتخذ	اءتخذ	اءتخذ	صحيح	qutrub
اِئْتَدَمَ	اءتدم	اءتدم	اءتدم	صحيح	qutrub
اِئْتَرَى	اءترا	اءترا	اءترا	ناقص	qutrub
اِئْتَرَشَ	اءترش	اءترش	اءترش	صحيح	qutrub
اِئْتَرَقَ	اءترق	اءترق	اءترق	صحيح	qutrub
اِئْتَزَّ	اءتز	اءتز	اءتز	صحيح	qutrub
اِئْتَزَرَ	اءتزر	اءتزر	اءتزر	صحيح	qutrub
اِئْتَسَى	اءتسا	اءتسا	اءتسا	ناقص	qutrub
اِئْتَشَبَ	اءتشب	اءتشب	اءتشب	صحيح	qutrub
اِئْتَصَّ	اءتص	اءتص	اءتص	صحيح	qutrub
اِئْتَصَرَ	اءتصر	اءتصر	اءتصر	صحيح	qutrub
اِئْتَضَّ	اءتض	اءتض	اءتض	صحيح	qutrub
اِئْتَفَكَ	اءتفك	اءتفك	اءتفك	صحيح	qutrub
اِئْتَكَّ	اءتك	اءتك	اءتك	صحيح	qutrub
اِئْتِكَالٌ	اءتكال	اءتكل	اءتكل	Added	asmai-derivations
اِئْتَكَلَ	اءتكل	اءتكل	اءتكل	صحيح	qutrub
اِئْتَلَّ	اءتل	اءتل	اءتل	صحيح	qutrub
اِئْتَلَى	اءتلا	اءتلا	اءتلا	ناقص	qutrub
اِئْتِلاَفٌ	اءتلاف	اءتلف	اءتلف	Added	asmai-derivations
اِئْتِلاَقٌ	اءتلاق	اءتلق	اءتلق	Added	asmai-derivations
اِئْتَلَخَ	اءتلخ	اءتلخ	اءتلخ	صحيح	qutrub
اِئْتَلَفَ	اءتلف	اءتلف	اءتلف	صحيح	qutrub
اِئْتَلَقَ	اءتلق	اءتلق	اءتلق	صحيح	qutrub
اِئْتَمَّ	اءتم	اءتم	اءتم	صحيح	qutrub
اِئْتِمَارٌ	اءتمار	اءتمر	اءتمر	Added	asmai-derivations
اِئْتِمَانٌ	اءتمان	اءتمن	اءتمن	Added	asmai-derivations
اِئْتَمَرَ	اءتمر	اءتمر	اءتمر	صحيح	qutrub
اِئْتَمَنَ	اءتمن	اءتمن	اءتمن	صحيح	qutrub
اؤتمن	اءتمن	اءتمن	امن	derived	sarf-derivations
ائتنا	اءتنا	اتا	اتي	derived	sarf-derivations
اِئْتَنَفَ	اءتنف	اءتنف	اءتنف	صحيح	qutrub
اِئْتَهَلَ	اءتهل	اءتهل	اءتهل	صحيح	qutrub
اِئْتَوَى	اءتوا	اءتوا	اءتوا	ناقص	qutrub
ائتوا	اءتوا	اءتوا		derived	sarf-derivations
ائتوني	اءتوني	ءتا	اتي	derived	sarf-derivations
ائتيا	اءتيا	ءتا	اتي	derived	sarf-derivations
أئذا	اءذا	اذا	اذا	derived	sarf-derivations
ائذن	اءذن	اذن	اذن	derived	sarf-derivations
أئفكا	اءفكا	افك		derived	sarf-derivations
أآلهتنا	اءلهتنا	اله		derived	sarf-derivations
أئمة	اءمة	امام		derived	sarf-derivations
أئن	اءن	ان		derived	sarf-derivations
أئنا	اءنا	ان		derived	sarf-derivations
أؤنبئكم	اءنبءكم	انبا	نبا	derived	sarf-derivations
أئنكم	اءنكم	ان	ان	derived	sarf-derivations
أأتخذ	ااتخذ	ااتخذ		derived	sarf-derivations
أإذا	ااذا	اذا		derived	sarf-derivations
أأرباب	اارباب	رب		derived	sarf-derivations
أأسجد	ااسجد	سجد		derived	sarf-derivations
أأسلمتم	ااسلمتم	اسلم		derived	sarf-derivations
أأشفقتم	ااشفقتم	اشفق		derived	sarf-derivations
أأشكر	ااشكر	شكر		derived	sarf-derivations
أأعجمي	ااعجمي	اعجمي		derived	sarf-derivations
أأقررتم	ااقررتم	اقرر		derived	sarf-derivations
أألد	االد	ولد		derived	sarf-derivations
أألقي	االقي	القا	لقا	derived	sarf-derivations
أإله	االه	اله	اله	derived	sarf-derivations
أأمنتم	اامنتم	امن		derived	sarf-derivations
أإنا	اانا	ان	ان	derived	sarf-derivations
أأنت	اانت	انت		derived	sarf-derivations
أأنتم	اانتم	انتم		derived	sarf-derivations
أأنذرتهم	اانذرتهم	انذر		derived	sarf-derivations
أأنزل	اانزل	انزل		derived	sarf-derivations
أإنك	اانك	ان	ان	derived	sarf-derivations
أَبَّ	اب	اب	ءب	صحيح	qutrub
أَبَى	ابا	ابا	ءبا	"ناقص يائي"	qutrub
أبا	ابا	اب	ابو	derived	sarf-derivations
أبى	ابا	ابا	ايا	derived	sarf-derivations
أَباءَ	اباء	اباء	ءباء	أجوف	qutrub
إبَاءٌ	اباء	ابا	ابا	Added	asmai-derivations
أبابيل	ابابيل	ابابيل	ابل	derived	sarf-derivations
أَباتَ	ابات	ابات	ءبات	أجوف	qutrub
إبَاتَةٌ	اباتة	ابات	ابات	Added	asmai-derivations
أَباثَ	اباث	اباث	ءباث	أجوف	qutrub
أَباحَ	اباح	اباح	ءباح	أجوف	qutrub
إبَاحَةٌ	اباحة	اباح	اباح	Added	asmai-derivations
أَباخَ	اباخ	اباخ	ءباخ	أجوف	qutrub
أَبادَ	اباد	اباد	ءباد	أجوف	qutrub
إِبَادَةٌ	ابادة	اباد	اباد	Added	asmai-derivations
أَبْأَرَ	ابار	ابار	ءبءر	صحيح	qutrub
أَبارَ	ابار	ابار	ءبار	أجوف	qutrub
أَبْأَسَ	اباس	اباس	ءبءس	صحيح	qutrub
أَباضَ	اباض	اباض	ءباض	أجوف	qutrub
أَباعَ	اباع	اباع	ءباع	أجوف	qutrub
أَباغَ	اباغ	اباغ	ءباغ	أجوف	qutrub
أباكم	اباكم	اب	ابو	derived	sarf-derivations
أَبالَ	ابال	ابال	ءبال	أجوف	qutrub
أبالله	ابالله	الله	الله	derived	sarf-derivations
أَبانَ	ابان	ابان	ءبان	أجوف	qutrub
أبانا	ابانا	اب	ابو	derived	sarf-derivations
إِبَانَةٌ	ابانة	ابان	ابان	Added	asmai-derivations
أباه	اباه	اب	ابو	derived	sarf-derivations
أباهم	اباهم	اب	ابو	derived	sarf-derivations
أَبَتَّ	ابت	ابت	ءبت	صحيح	qutrub
أبت	ابت	اب	ابو	derived	sarf-derivations
اِبْتِئَاسٌ	ابتءاس	ابتاس	ابتاس	Added	asmai-derivations
اِبْتاثَ	ابتاث	ابتاث	ابتاث	أجوف	qutrub
اِبْتَأَرَ	ابتار	ابتار	ابتءر	صحيح	qutrub
اِبْتارَ	ابتار	ابتار	ابتار	أجوف	qutrub
اِبْتَأَسَ	ابتاس	ابتاس	ابتءس	صحيح	qutrub
اِبْتاضَ	ابتاض	ابتاض	ابتاض	أجوف	qutrub
اِبْتاعَ	ابتاع	ابتاع	ابتاع	أجوف	qutrub
اِبْتَجَحَ	ابتجح	ابتجح	ابتجح	صحيح	qutrub
اِبْتَحَثَ	ابتحث	ابتحث	ابتحث	صحيح	qutrub
اِبْتَدَّ	ابتد	ابتد	ابتد	صحيح	qutrub
اِبْتَدَأَ	ابتدا	ابتدا	ابتدء	صحيح	qutrub
اِبْتَدَى	ابتدا	ابتدا	ابتدا	ناقص	qutrub
اِبْتِداءٌ	ابتداء	ابتدا	ابتدا	Added	asmai-derivations
اِبْتِداعٌ	ابتداع	ابتدع	ابتدع	Added	asmai-derivations
اِبْتَدَرَ	ابتدر	ابتدر	ابتدر	صحيح	qutrub
اِبْتَدَعَ	ابتدع	ابتدع	ابتدع	صحيح	qutrub
ابتدعوها	ابتدعوها	ابتدع	بدع	derived	sarf-derivations
اِبْتَدَهَ	ابتده	ابتده	ابتده	صحيح	qutrub
اِبْتَذَّ	ابتذ	ابتذ	ابتذ	صحيح	qutrub
اِبْتِذَالٌ	ابتذال	ابتذل	ابتذل	Added	asmai-derivations
اِبْتَذَلَ	ابتذل	ابتذل	ابتذل	صحيح	qutrub
أَبْتَرَ	ابتر	ابتر	ءبتر	صحيح	qutrub
اِبْتَرَّ	ابتر	ابتر	ابتر	صحيح	qutrub
اِبْتَرَى	ابترا	ابترا	ابترا	ناقص	qutrub
اِبْتَرَدَ	ابترد	ابترد	ابترد	صحيح	qutrub
اِبْتَرَضَ	ابترض	ابترض	ابترض	صحيح	qutrub
اِبْتَرَكَ	ابترك	ابترك	ابترك	صحيح	qutrub
اِبْتَزَّ	ابتز	ابتز	ابتز	صحيح	qutrub
اِبْتِزَازٌ	ابتزاز	ابتز	ابتز	Added	asmai-derivations
اِبْتَزَغَ	ابتزغ	ابتزغ	ابتزغ	صحيح	qutrub
اِبْتِسَامٌ	ابتسام	ابتسم	ابتسم	Added	asmai-derivations
اِبْتَسَرَ	ابتسر	ابتسر	ابتسر	صحيح	qutrub
اِبْتَسَلَ	ابتسل	ابتسل	ابتسل	صحيح	qutrub
اِبْتَسَمَ	ابتسم	ابتسم	ابتسم	صحيح	qutrub
اِبْتَشَكَ	ابتشك	ابتشك	ابتشك	صحيح	qutrub
اِبْتَضَّ	ابتض	ابتض	ابتض	صحيح	qutrub
اِبْتِعَادٌ	ابتعاد	ابتعد	ابتعد	Added	asmai-derivations
اِبْتَعَثَ	ابتعث	ابتعث	ابتعث	صحيح	qutrub
اِبْتَعَدَ	ابتعد	ابتعد	ابتعد	صحيح	qutrub
اِبْتَعَقَ	ابتعق	ابتعق	ابتعق	صحيح	qutrub
اِبْتَعَلَ	ابتعل	ابتعل	ابتعل	صحيح	qutrub
اِبْتَغَى	ابتغا	ابتغا	ابتغا	ناقص	qutrub
ابتغى	ابتغا	ابتغا	بغي	derived	sarf-derivations
ابتغاء	ابتغاء	ابتغاء	بغي	derived	sarf-derivations
اِبْتِغَاءٌ	ابتغاء	ابتغا	ابتغا	Added	asmai-derivations
ابتغوا	ابتغوا	ابتغوا		derived	sarf-derivations
أبتغي	ابتغي	ابتغا	بغي	derived	sarf-derivations
ابتغيت	ابتغيت	ابتغا	بغي	derived	sarf-derivations
اِبْتَقَعَ	ابتقع	ابتقع	ابتقع	صحيح	qutrub
اِبْتَقَلَ	ابتقل	ابتقل	ابتقل	صحيح	qutrub
اِبْتِكَارٌ	ابتكار	ابتكر	ابتكر	Added	asmai-derivations
اِبْتَكَرَ	ابتكر	ابتكر	ابتكر	صحيح	qutrub
اِبْتَلَّ	ابتل	ابتل	ابتل	صحيح	qutrub
اِبْتَلَى	ابتلا	ابتلا	ابتلا	ناقص	qutrub
ابتلى	ابتلا	ابتلا	بلو	derived	sarf-derivations
اِبْتِلاَءٌ	ابتلاء	ابتلا	ابتلا	Added	asmai-derivations
اِبْتِلاَعٌ	ابتلاع	ابتلع	ابتلع	Added	asmai-derivations
ابتلاه	ابتلاه	ابتلاه		derived	sarf-derivations
اِبْتَلَجَ	ابتلج	ابتلج	ابتلج	صحيح	qutrub
اِبْتَلَعَ	ابتلع	ابتلع	ابتلع	صحيح	qutrub
ابتلي	ابتلي	ابتلي		derived	sarf-derivations
اِبْتَنَى	ابتنا	ابتنا	ابتنا	ناقص	qutrub
اِبْتِنَاءٌ	ابتناء	ابتنا	ابتنا	Added	asmai-derivations
اِبْتَهَى	ابتها	ابتها	ابتها	ناقص	qutrub
اِبْتِهَاجٌ	ابتهاج	ابتهج	ابتهج	Added	asmai-derivations
اِبْتِهَالٌ	ابتهال	ابتهل	ابتهل	Added	asmai-derivations
اِبْتَهَجَ	ابتهج	ابتهج	ابتهج	صحيح	qutrub
اِبْتَهَرَ	ابتهر	ابتهر	ابتهر	صحيح	qutrub
اِبْتَهَشَ	ابتهش	ابتهش	ابتهش	صحيح	qutrub
اِبْتَهَلَ	ابتهل	ابتهل	ابتهل	صحيح	qutrub
اِبْتِيَاعٌ	ابتياع	ابتاع	ابتاع	Added	asmai-derivations
أَبَثَّ	ابث	ابث	ءبث	صحيح	qutrub
أَبْجَحَ	ابجح	ابجح	ءبجح	صحيح	qutrub
أَبْجَرَ	ابجر	ابجر	ءبجر	صحيح	qutrub
أَبْجَلَ	ابجل	ابجل	ءبجل	صحيح	qutrub
أَبَحَّ	ابح	ابح	ءبح	صحيح	qutrub
إبْحَارٌ	ابحار	ابحر	ابحر	Added	asmai-derivations
أَبْحَرَ	ابحر	ابحر	ءبحر	صحيح	qutrub
أبحر	ابحر	بحر	بحر	derived	sarf-derivations
أَبْخَى	ابخا	ابخا	ءبخا	ناقص	qutrub
أَبْخَرَ	ابخر	ابخر	ءبخر	صحيح	qutrub
أَبْخَقَ	ابخق	ابخق	ءبخق	صحيح	qutrub
أَبْخَلَ	ابخل	ابخل	ءبخل	صحيح	qutrub
أَبَدَّ	ابد	ابد	ءبد	صحيح	qutrub
أبَدٌ	ابد	ابد	ابد	Added	asmai-derivations
أَبْدَأ	ابدا	ابدا	ءبدء	صحيح	qutrub
أَبْدَى	ابدا	ابدا	ءبدا	ناقص	qutrub
أبدا	ابدا	ابد	ابد	derived	sarf-derivations
إبْداءٌ	ابداء	ابدا	ابدا	Added	asmai-derivations
إِبْدَاعٌ	ابداع	ابدع	ابدع	Added	asmai-derivations
إبدالٌ	ابدال	ابدل	ابدل	Added	asmai-derivations
أَبْدَرَ	ابدر	ابدر	ءبدر	صحيح	qutrub
أَبْدَعَ	ابدع	ابدع	ءبدع	صحيح	qutrub
أَبْدَلَ	ابدل	ابدل	ءبدل	صحيح	qutrub
أبدله	ابدله	ابدل	بدل	derived	sarf-derivations
أَبْذَأَ	ابذا	ابذا	ءبذء	صحيح	qutrub
أَبْذَى	ابذا	ابذا	ءبذا	ناقص	qutrub
أَبَرَّ	ابر	ابر	ءبر	صحيح	qutrub
أبرئ	ابرء	برا	برا	derived	sarf-derivations
أَبْرَأَ	ابرا	ابرا	ءبرء	صحيح	qutrub
أَبْرَى	ابرا	ابرا	ءبرا	ناقص	qutrub
إِبْرَاحٌ	ابراح	ابرح	ابرح	Added	asmai-derivations
إبْرَارٌ	ابرار	ابر	ابر	Added	asmai-derivations
إِبْرَازٌ	ابراز	ابرز	ابرز	Added	asmai-derivations
إِبْرَاقٌ	ابراق	ابرق	ابرق	Added	asmai-derivations
إبْرَامٌ	ابرام	ابرم	ابرم	Added	asmai-derivations
إبراهيم	ابراهيم	ابراهيم	ابرهيم	derived	sarf-derivations
أَبْرَجَ	ابرج	ابرج	ءبرج	صحيح	qutrub
أَبْرَحَ	ابرح	ابرح	ءبرح	صحيح	qutrub
أبرح	ابرح	برح	برح	derived	sarf-derivations
أَبْرَدَ	ابرد	ابرد	ءبرد	صحيح	qutrub
أَبْرَزَ	ابرز	ابرز	ءبرز	صحيح	qutrub
اِبْرَشَّ	ابرش	ابرش	ابرش	صحيح	qutrub
أَبْرَصَ	ابرص	ابرص	ءبرص	صحيح	qutrub
أَبْرَضَ	ابرض	ابرض	ءبرض	صحيح	qutrub
أَبْرَقَ	ابرق	ابرق	ءبرق	صحيح	qutrub
أَبْرَكَ	ابرك	ابرك	ءبرك	صحيح	qutrub
أَبْرَمَ	ابرم	ابرم	ءبرم	صحيح	qutrub
أبرموا	ابرموا	ابرم	برم	derived	sarf-derivations
أَبْرَهَ	ابره	ابره	ءبره	صحيح	qutrub
أَبَزَ	ابز	ابز	ءبز	صحيح	qutrub
أَبْزَى	ابزا	ابزا	ءبزا	ناقص	qutrub
أَبَسَّ	ابس	ابس	ءبس	صحيح	qutrub
أَبْسَأَ	ابسا	ابسا	ءبسء	صحيح	qutrub
أَبْسَرَ	ابسر	ابسر	ءبسر	صحيح	qutrub
أَبْسَقَ	ابسق	ابسق	ءبسق	صحيح	qutrub
