word	root	source
اتكا	وكا	qalsadi-verbs
اتكل	وكل	qalsadi-verbs
اتكل	اكل	qalsadi-verbs
اتلع	تلع	qalsadi-verbs
اتلف	تلف	qalsadi-verbs
اتم	تمم	qalsadi-verbs
اتمر	تمر	qalsadi-verbs
اتهم	وهم	qalsadi-verbs
اثاب	ثوب	qalsadi-verbs
اثار	ثور	qalsadi-verbs
اثاقل	جذر	qalsadi-verbs
اثبت	ثبت	qalsadi-verbs
اثث	اثث	qalsadi-verbs
اثخن	ثخن	qalsadi-verbs
اثر	اثر	qalsadi-verbs
اثرا	ثري	qalsadi-verbs
اثغر	ثغر	qalsadi-verbs
اثف	اثف	qalsadi-verbs
اثقل	ثقل	qalsadi-verbs
اثلث	ثلث	qalsadi-verbs
اثلج	ثلج	qalsadi-verbs
اثم	اثم	qalsadi-verbs
اثمر	ثمر	qalsadi-verbs
اثمن	ثمن	qalsadi-verbs
اثنا	ثني	qalsadi-verbs
اج	اجج	qalsadi-verbs
اجاب	جوب	qalsadi-verbs
اجاد	جود	qalsadi-verbs
اجار	جير	qalsadi-verbs
اجاز	جوز	qalsadi-verbs
اجاع	جوع	qalsadi-verbs
اجال	جول	qalsadi-verbs
اجبر	جبر	qalsadi-verbs
اجتاح	جوح	qalsadi-verbs
اجتاز	جوز	qalsadi-verbs
اجتبا	جبي	qalsadi-verbs
اجتث	جثث	qalsadi-verbs
اجتذب	جذب	qalsadi-verbs
اجتر	جرر	qalsadi-verbs
اجترا	جرا	qalsadi-verbs
اجترح	جذر	qalsadi-verbs
اجترع	جرع	qalsadi-verbs
اجترف	جرف	qalsadi-verbs
اجتز	جزز	qalsadi-verbs
اجتشا	جشا	qalsadi-verbs
اجتلب	جلب	qalsadi-verbs
اجتمع	جمع	qalsadi-verbs
اجتنا	جني	qalsadi-verbs
اجتنب	جنب	qalsadi-verbs
اجتهد	جهد	qalsadi-verbs
اجج	اجج	qalsadi-verbs
اجحف	جحف	qalsadi-verbs
اجدا	جدو	qalsadi-verbs
اجدب	جدب	qalsadi-verbs
اجدر	جدر	qalsadi-verbs
اجذل	جذل	qalsadi-verbs
اجذم	جذم	qalsadi-verbs
اجر	اجر	qalsadi-verbs
اجرا	جري	qalsadi-verbs
اجرس	جرس	qalsadi-verbs
اجرم	جرم	qalsadi-verbs
اجزا	جزي	qalsadi-verbs
اجزل	جزل	qalsadi-verbs
اجسد	جسد	qalsadi-verbs
اجفل	جفل	qalsadi-verbs
اجل	جلل	qalsadi-verbs
اجل	اجل	qalsadi-verbs
اجلا	جلي	qalsadi-verbs
اجلب	جلب	qalsadi-verbs
اجلس	جلس	qalsadi-verbs
اجلوذ	جلذ	qalsadi-verbs
اجلولا	جلو	qalsadi-verbs
اجم	جمم	qalsadi-verbs
اجم	اجم	qalsadi-verbs
اجمع	جمع	qalsadi-verbs
اجمل	جمل	qalsadi-verbs
اجن	جنن	qalsadi-verbs
اجن	اجن	qalsadi-verbs
اجنب	جنب	qalsadi-verbs
اجنح	جنح	qalsadi-verbs
اجهد	جهد	qalsadi-verbs
اجهر	جهر	qalsadi-verbs
اجهز	جهز	qalsadi-verbs
اجهش	جهش	qalsadi-verbs
اجهض	جهض	qalsadi-verbs
اجهم	جهم	qalsadi-verbs
اجود	جود	qalsadi-verbs
اح	احح	qalsadi-verbs
احار	حور	qalsadi-verbs
احاط	حوط	qalsadi-verbs
احاق	حيق	qalsadi-verbs
احال	حول	qalsadi-verbs
احب	حبب	qalsadi-verbs
احبس	حبس	qalsadi-verbs
احبط	حبط	qalsadi-verbs
احبك	حبك	qalsadi-verbs
احبل	حبل	qalsadi-verbs
احتاج	حوج	qalsadi-verbs
احتار	جذر	qalsadi-verbs
احتاط	حوط	qalsadi-verbs
احتال	حول	qalsadi-verbs
احتبا	حبي	qalsadi-verbs
احتبس	حبس	qalsadi-verbs
احتج	حجج	qalsadi-verbs
احتجب	حجب	qalsadi-verbs
احتجز	حجز	qalsadi-verbs
احتد	حدد	qalsadi-verbs
احتدم	حدم	qalsadi-verbs
احتذا	حذو	qalsadi-verbs
احترز	حرز	qalsadi-verbs
احترس	حرس	qalsadi-verbs
احترف	حرف	qalsadi-verbs
احترق	حرق	qalsadi-verbs
احترم	حرم	qalsadi-verbs
احتسا	حسي	qalsadi-verbs
احتسب	حسب	qalsadi-verbs
احتشد	حشد	qalsadi-verbs
احتشم	حشم	qalsadi-verbs
احتضر	حضر	qalsadi-verbs
احتضن	حضن	qalsadi-verbs
احتطب	حطب	qalsadi-verbs
احتفا	حفو	qalsadi-verbs
احتفظ	حفظ	qalsadi-verbs
احتفل	حفل	qalsadi-verbs
احتقر	حقر	qalsadi-verbs
احتقن	حقن	qalsadi-verbs
احتك	حكك	qalsadi-verbs
احتكر	حكر	qalsadi-verbs
احتكم	حكم	qalsadi-verbs
احتل	حلل	qalsadi-verbs
احتلب	حلب	qalsadi-verbs
احتلم	حلم	qalsadi-verbs
احتما	حمي	qalsadi-verbs
احتمل	حمل	qalsadi-verbs
احتوا	حوي	qalsadi-verbs
احث	حثث	qalsadi-verbs
احجم	حجم	qalsadi-verbs
احد	احح	qalsadi-verbs
احدث	حدث	qalsadi-verbs
احدق	حدق	qalsadi-verbs
احدودب	حدب	qalsadi-verbs
احرج	حرج	qalsadi-verbs
احرز	حرز	qalsadi-verbs
احرق	حرق	qalsadi-verbs
احرم	حرم	qalsadi-verbs
احزن	حزن	qalsadi-verbs
احس	حسس	qalsadi-verbs
احسن	حسن	qalsadi-verbs
احصا	حصي	qalsadi-verbs
احصن	حصن	qalsadi-verbs
احضر	حضر	qalsadi-verbs
احظا	حظي	qalsadi-verbs
احق	حقق	qalsadi-verbs
احقد	حقد	qalsadi-verbs
احكم	حكم	qalsadi-verbs
احل	حلل	qalsadi-verbs
احلا	حلو	qalsadi-verbs
احلف	حلف	qalsadi-verbs
احلولا	حلو	qalsadi-verbs
احلولك	حلك	qalsadi-verbs
احما	حمي	qalsadi-verbs
احمر	حمر	qalsadi-verbs
احمض	حمض	qalsadi-verbs
احنا	حني	qalsadi-verbs
احوج	حوج	qalsadi-verbs
احور	حور	qalsadi-verbs
احول	حول	qalsadi-verbs
احيا	حيي	qalsadi-verbs
اخاف	خوف	qalsadi-verbs
اخال	خيل	qalsadi-verbs
اخبا	خبو	qalsadi-verbs
اخبت	جذر	qalsadi-verbs
اخبث	خبث	qalsadi-verbs
اخبر	خبر	qalsadi-verbs
اختار	خير	qalsadi-verbs
اختال	خيل	qalsadi-verbs
اختان	جذر	qalsadi-verbs
اختبا	خبا	qalsadi-verbs
اختبر	خبر	qalsadi-verbs
اختبز	خبز	qalsadi-verbs
اختتم	ختم	qalsadi-verbs
اختتن	ختن	qalsadi-verbs
اخترع	خرع	qalsadi-verbs
اخترق	خرق	qalsadi-verbs
اختزل	خزل	qalsadi-verbs
اختزن	خزن	qalsadi-verbs
اختص	خصص	qalsadi-verbs
اختصر	خصر	qalsadi-verbs
اختصم	خصم	qalsadi-verbs
اختضب	خضب	qalsadi-verbs
اختط	خطط	qalsadi-verbs
اختط	جذر	qalsadi-verbs
اختطف	خطف	qalsadi-verbs
اختفا	خفي	qalsadi-verbs
اختل	خلل	qalsadi-verbs
اختلا	خلو،خلي	qalsadi-verbs
اختلج	خلج	qalsadi-verbs
اختلس	خلس	qalsadi-verbs
اختلط	خلط	qalsadi-verbs
اختلف	خلف	qalsadi-verbs
اختلق	خلق	qalsadi-verbs
اختمر	خمر	qalsadi-verbs
اختنق	خنق	qalsadi-verbs
اخثر	خثر	qalsadi-verbs
اخجل	خجل	qalsadi-verbs
اخدع	خدع	qalsadi-verbs
اخذ	اخذ	qalsadi-verbs
اخر	اخر	qalsadi-verbs
اخرج	خرج	qalsadi-verbs
اخرس	خرس	qalsadi-verbs
اخزا	خزي	qalsadi-verbs
اخشوشن	جذر	qalsadi-verbs
اخصب	خصب	qalsadi-verbs
اخضب	خضب	qalsadi-verbs
اخضر	خضر	qalsadi-verbs
اخضع	خضع	qalsadi-verbs
اخضوضر	خضر	qalsadi-verbs
اخطا	خطا	qalsadi-verbs
اخطر	خطر	qalsadi-verbs
اخف	خفف	qalsadi-verbs
اخفا	خفي	qalsadi-verbs
اخفق	خفق	qalsadi-verbs
اخل	خلل	qalsadi-verbs
اخلا	خلي	qalsadi-verbs
اخلد	خلد	qalsadi-verbs
اخلص	خلص	qalsadi-verbs
اخلف	خلف	qalsadi-verbs
اخلولق	جذر	qalsadi-verbs
اخمد	خمد	qalsadi-verbs
اخنا	خنو	qalsadi-verbs
اخنع	خنع	qalsadi-verbs
اخيل	خيل	qalsadi-verbs
ادا	ادي	qalsadi-verbs
اداب	داب	qalsadi-verbs
ادار	دور	qalsadi-verbs
ادارا	درا	qalsadi-verbs
ادارك	درك	qalsadi-verbs
ادام	دوم	qalsadi-verbs
ادان	دين	qalsadi-verbs
ادب	ادب	qalsadi-verbs
ادبر	دبر	qalsadi-verbs
ادثر	دثر	qalsadi-verbs
ادجا	دجو	qalsadi-verbs
ادحض	دحض	qalsadi-verbs
ادخر	دخر	qalsadi-verbs
ادخل	دخل	qalsadi-verbs
ادر	درر	qalsadi-verbs
ادرا	دري	qalsadi-verbs
ادرج	درج	qalsadi-verbs
ادرك	درك	qalsadi-verbs
ادسم	دسم	qalsadi-verbs
ادعا	دعو	qalsadi-verbs
ادعث	دعث	qalsadi-verbs
ادعس	دعس	qalsadi-verbs
ادعص	دعص	qalsadi-verbs
ادعق	دعق	qalsadi-verbs
ادغم	جذر	qalsadi-verbs
ادفا	دفا	qalsadi-verbs
ادكن	دكن	qalsadi-verbs
ادلا	دلو	qalsadi-verbs
ادلج	دلج	qalsadi-verbs
ادلف	دلف	qalsadi-verbs
ادلهم	دله	qalsadi-verbs
ادما	دمي	qalsadi-verbs
ادمج	دمج	qalsadi-verbs
ادمع	دمع	qalsadi-verbs
ادمل	دمل	qalsadi-verbs
ادمن	دمن	qalsadi-verbs
ادنا	دنا	qalsadi-verbs
ادنا	دنو	qalsadi-verbs
ادهش	دهش	qalsadi-verbs
اذاب	ذاب	qalsadi-verbs
اذاب	ذوب	qalsadi-verbs
اذاع	ذيع	qalsadi-verbs
اذاق	ذوق	qalsadi-verbs
اذبل	ذبل	qalsadi-verbs
اذخر	ذخر	qalsadi-verbs
اذعن	ذعن	qalsadi-verbs
اذكا	ذكو	qalsadi-verbs
اذكر	ذكر	qalsadi-verbs
اذل	ذلل	qalsadi-verbs
اذن	اذن	qalsadi-verbs
اذنب	ذنب	qalsadi-verbs
اذهب	ذهب	qalsadi-verbs
اذهب	جذر	qalsadi-verbs
اذهل	ذهل	qalsadi-verbs
اذي	اذي	qalsadi-verbs
ار	ارر	qalsadi-verbs
ارا	راي	qalsadi-verbs
اراب	ريب	qalsadi-verbs
اراث	ريث	qalsadi-verbs
اراح	روح	qalsadi-verbs
اراد	رود	qalsadi-verbs
اراع	روع	qalsadi-verbs
اراق	روق	qalsadi-verbs
ارب	ارب	qalsadi-verbs
اربا	ربو	qalsadi-verbs
اربذ	ربذ	qalsadi-verbs
اربك	ربك	qalsadi-verbs
ارتاا	راي	qalsadi-verbs
ارتاب	ريب	qalsadi-verbs
ارتاح	روح	qalsadi-verbs
ارتاد	رود	qalsadi-verbs
ارتاس	راس	qalsadi-verbs
ارتاع	روع	qalsadi-verbs
ارتبز	ربز	qalsadi-verbs
ارتبط	ربط	qalsadi-verbs
ارتبك	ربك	qalsadi-verbs
ارتبل	ربل	qalsadi-verbs
ارتج	رجج	qalsadi-verbs
ارتجا	جذر	qalsadi-verbs
ارتجف	رجف	qalsadi-verbs
ارتجل	رجل	qalsadi-verbs
ارتحل	رحل	qalsadi-verbs
ارتخا	رخي	qalsadi-verbs
ارتد	ردد	qalsadi-verbs
ارتدا	ردي	qalsadi-verbs
ارتدع	ردع	qalsadi-verbs
ارتزق	رزق	qalsadi-verbs
ارتسم	رسم	qalsadi-verbs
ارتشا	رشو	qalsadi-verbs
ارتشف	رشف	qalsadi-verbs
ارتصف	رصف	qalsadi-verbs
ارتضا	رضي	qalsadi-verbs
ارتطم	رطم	qalsadi-verbs
ارتع	رتع	qalsadi-verbs
ارتعد	رعد	qalsadi-verbs
ارتعش	رعش	qalsadi-verbs
ارتفع	رفع	qalsadi-verbs
ارتقا	رقي	qalsadi-verbs
ارتقب	رقب	qalsadi-verbs
ارتكب	ركب	qalsadi-verbs
ارتكز	ركز	qalsadi-verbs
ارتكس	ركس	qalsadi-verbs
ارتكض	ركض	qalsadi-verbs
ارتما	رمي	qalsadi-verbs
ارتهن	رهن	qalsadi-verbs
ارتوا	روي	qalsadi-verbs
ارج	ارج	qalsadi-verbs
ارجا	رجا	qalsadi-verbs
ارجح	رجح	qalsadi-verbs
ارجع	رجع	qalsadi-verbs
ارجف	رجف	qalsadi-verbs
ارحب	رحب	qalsadi-verbs
ارخ	ارخ	qalsadi-verbs
ارخا	رخي	qalsadi-verbs
ارخف	رخف	qalsadi-verbs
ارخم	رخم	qalsadi-verbs
اردا	ردا	qalsadi-verbs
اردا	ردي	qalsadi-verbs
اردف	ردف	qalsadi-verbs
ارس	رسس	qalsadi-verbs
ارسا	رسو	qalsadi-verbs
ارسب	رسب	qalsadi-verbs
ارسخ	رسخ	qalsadi-verbs
ارسل	رسل	qalsadi-verbs
ارسن	رسن	qalsadi-verbs
ارشا	رشو	qalsadi-verbs
ارشح	رشح	qalsadi-verbs
ارشد	رشد	qalsadi-verbs
ارشف	رشف	qalsadi-verbs
ارشم	رشم	qalsadi-verbs
ارصد	رصد	qalsadi-verbs
ارصع	رصع	qalsadi-verbs
ارض	رضض	qalsadi-verbs
ارض	ارض	qalsadi-verbs
ارضا	رضي	qalsadi-verbs
ارضع	رضع	qalsadi-verbs
ارطب	رطب	qalsadi-verbs
ارعا	رعي	qalsadi-verbs
ارعب	رعب	qalsadi-verbs
ارعد	رعد	qalsadi-verbs
ارعش	رعش	qalsadi-verbs
ارعوا	رعو	qalsadi-verbs
ارغا	رغو	qalsadi-verbs
ارغد	رغد	qalsadi-verbs
ارغم	رغم	qalsadi-verbs
ارفق	رفق	qalsadi-verbs
ارفل	رفل	qalsadi-verbs
ارفه	رفه	qalsadi-verbs
ارق	ارق	qalsadi-verbs
ارقد	رقد	qalsadi-verbs
ارقص	رقص	qalsadi-verbs
ارك	ركك	qalsadi-verbs
اركب	ركب	qalsadi-verbs
اركس	جذر	qalsadi-verbs
اركض	ركض	qalsadi-verbs
اركع	ركع	qalsadi-verbs
اركن	ركن	qalsadi-verbs
ارما	رمي	qalsadi-verbs
ارمد	رمد	qalsadi-verbs
ارمس	رمس	qalsadi-verbs
ارمش	رمش	qalsadi-verbs
ارنق	رنق	qalsadi-verbs
ارهب	رهب	qalsadi-verbs
ارهف	رهف	qalsadi-verbs
ارهق	رهق	qalsadi-verbs
اروا	روي	qalsadi-verbs
ازاح	زوح،زيح	qalsadi-verbs
ازاغ	زيغ	qalsadi-verbs
ازاغ	زوغ	qalsadi-verbs
ازال	زيل	qalsadi-verbs
ازال	زول	qalsadi-verbs
ازبد	زبد	qalsadi-verbs
ازجا	زجو	qalsadi-verbs
ازحف	زحف	qalsadi-verbs
ازداد	زود،زيد	qalsadi-verbs
ازدان	زين	qalsadi-verbs
ازدجر	زجر	qalsadi-verbs
ازدحم	زحم	qalsadi-verbs
ازدرا	زري	qalsadi-verbs
ازدرد	زرد	qalsadi-verbs
ازدها	زهو	qalsadi-verbs
ازدهر	زهر	qalsadi-verbs
ازدوج	زوج	qalsadi-verbs
ازر	ازر	qalsadi-verbs
ازرا	زري	qalsadi-verbs
ازرق	زرق	qalsadi-verbs
ازعج	زعج	qalsadi-verbs
ازف	زفف	qalsadi-verbs
ازف	ازف	qalsadi-verbs
ازك	زكك	qalsadi-verbs
ازكا	زكو	qalsadi-verbs
ازل	زلل	qalsadi-verbs
ازلف	زلف	qalsadi-verbs
ازم	زمم	qalsadi-verbs
ازم	جذر	qalsadi-verbs
ازمع	زمع	qalsadi-verbs
ازمن	زمن	qalsadi-verbs
ازنا	زني	qalsadi-verbs
ازها	زهو	qalsadi-verbs
ازهر	زهر	qalsadi-verbs
ازهق	زهق	qalsadi-verbs
ازوار	زور	qalsadi-verbs
ازور	زور	qalsadi-verbs
اسا	اسو	qalsadi-verbs
اساء	سوا	qalsadi-verbs
اساغ	سوغ	qalsadi-verbs
اسال	سيل	qalsadi-verbs
اسام	جذر	qalsadi-verbs
اسبح	سبح	qalsadi-verbs
اسبر	سبر	qalsadi-verbs
اسبع	سبع	qalsadi-verbs
اسبغ	سبغ	qalsadi-verbs
اسبل	سبل	qalsadi-verbs
استءس	اوس	qalsadi-verbs
استاء	سوا	qalsadi-verbs
استاب	ابب	qalsadi-verbs
استاثر	اثر	qalsadi-verbs
استاجر	اجر	qalsadi-verbs
استاخر	جذر	qalsadi-verbs
استاذن	اذن	qalsadi-verbs
استاسد	اسد	qalsadi-verbs
استاصل	اصل	qalsadi-verbs
استالف	الف	qalsadi-verbs
استامر	جذر	qalsadi-verbs
استانس	انس	qalsadi-verbs
استانف	انف	qalsadi-verbs
استاهل	اهل	qalsadi-verbs
استاوا	اوي	qalsadi-verbs
استباح	بوح	qalsadi-verbs
استبان	بين	qalsadi-verbs
استبد	بدد	qalsadi-verbs
استبدل	بدل	qalsadi-verbs
استبرا	جذر	qalsadi-verbs
استبرك	برك	qalsadi-verbs
استبسل	بسل	qalsadi-verbs
استبشر	بشر	qalsadi-verbs
استبشع	بشع	qalsadi-verbs
استبصر	بصر	qalsadi-verbs
استبطا	بطا	qalsadi-verbs
استبطن	بطن	qalsadi-verbs
استبعد	بعد	qalsadi-verbs
استبق	سبق	qalsadi-verbs
استبقا	بقي	qalsadi-verbs
استبهم	بهم	qalsadi-verbs
استتب	تبب	qalsadi-verbs
استتبع	تبع	qalsadi-verbs
استتر	ستر	qalsadi-verbs
استثار	جذر	qalsadi-verbs
استثقل	ثقل	qalsadi-verbs
استثمر	ثمر	qalsadi-verbs
استثنا	ثني	qalsadi-verbs
استجاب	جوب	qalsadi-verbs
استجار	جور	qalsadi-verbs
استجد	جدد	qalsadi-verbs
استجدا	جدو	qalsadi-verbs
استجلا	جلو	qalsadi-verbs
استجلب	جلب	qalsadi-verbs
استجم	جمم	qalsadi-verbs
استجمع	جمع	qalsadi-verbs
استجمل	جمل	qalsadi-verbs
استجوب	جوب	qalsadi-verbs
استحال	حول	qalsadi-verbs
استحب	حبب	qalsadi-verbs
استحث	حثث	qalsadi-verbs
استحدث	حدث	qalsadi-verbs
استحسر	جذر	qalsadi-verbs
استحسن	حسن	qalsadi-verbs
استحصد	حصد	qalsadi-verbs
استحصل	حصل	qalsadi-verbs
استحضر	حضر	qalsadi-verbs
استحفظ	جذر	qalsadi-verbs
استحق	حقق	qalsadi-verbs
استحقر	جذر	qalsadi-verbs
استحكم	حكم	qalsadi-verbs
استحل	حلل	qalsadi-verbs
استحلا	حلو	qalsadi-verbs
استحلف	حلف	qalsadi-verbs
استحم	حمم	qalsadi-verbs
استحمل	حمل	qalsadi-verbs
استحوذ	حوذ	qalsadi-verbs
استحيا	حيي	qalsadi-verbs
استخبر	خبر	qalsadi-verbs
استخدم	خدم	qalsadi-verbs
استخرج	خرج	qalsadi-verbs
استخف	خفف	qalsadi-verbs
استخفا	خفي	qalsadi-verbs
استخلص	خلص	qalsadi-verbs
استخلف	خلف	qalsadi-verbs
استدار	دور	qalsadi-verbs
استدام	دوم	qalsadi-verbs
استدان	دين	qalsadi-verbs
استدبر	دبر	qalsadi-verbs
استدرج	درج	qalsadi-verbs
استدرك	درك	qalsadi-verbs
استدعا	دعو	qalsadi-verbs
استدفا	دفا	qalsadi-verbs
استدفع	جذر	qalsadi-verbs
استدل	دلل	qalsadi-verbs
استذكر	ذكر	qalsadi-verbs
استراح	روح	qalsadi-verbs
استراف	راف	qalsadi-verbs
استرجع	رجع	qalsadi-verbs
استرخا	رخو	qalsadi-verbs
استرخص	رخص	qalsadi-verbs
استرد	ردد	qalsadi-verbs
استرزق	رزق	qalsadi-verbs
استرسل	رسل	qalsadi-verbs
استرشد	رشد	qalsadi-verbs
استرضا	رضي	qalsadi-verbs
استرضع	جذر	qalsadi-verbs
استرعا	رعي	qalsadi-verbs
استرق	سرق	qalsadi-verbs
استرهب	جذر	qalsadi-verbs
استروح	روح	qalsadi-verbs
استزاد	زيد	qalsadi-verbs
استزل	جذر	qalsadi-verbs
استساغ	سوغ	qalsadi-verbs
استسخر	سخر	qalsadi-verbs
استسقا	سقي	qalsadi-verbs
استسلم	سلم	qalsadi-verbs
استسمح	سمح	qalsadi-verbs
استسهل	سهل	qalsadi-verbs
استشار	شور	qalsadi-verbs
استشاط	شيط	qalsadi-verbs
استشرا	شري	qalsadi-verbs
استشرف	شرف	qalsadi-verbs
استشرق	شرق	qalsadi-verbs
استشعر	شعر	qalsadi-verbs
استشف	شفف	qalsadi-verbs
استشفا	شفي	qalsadi-verbs
استشفع	شفع	qalsadi-verbs
استشكل	شكل	qalsadi-verbs
استشهد	شهد	qalsadi-verbs
استصحب	صحب	qalsadi-verbs
استصدر	صدر	qalsadi-verbs
استصرخ	صرخ	qalsadi-verbs
استصعب	صعب	qalsadi-verbs
استصغر	صغر	qalsadi-verbs
استصلح	صلح	qalsadi-verbs
استصوب	صوب	qalsadi-verbs
استضاء	ضوا	qalsadi-verbs
استضاف	ضيف	qalsadi-verbs
استضعف	ضعف	qalsadi-verbs
استطاب	طيب	qalsadi-verbs
استطار	طير	qalsadi-verbs
استطاع	طوع	qalsadi-verbs
استطال	طول	qalsadi-verbs
استطرب	طرب	qalsadi-verbs
استطرد	طرد	qalsadi-verbs
استطرف	طرف	qalsadi-verbs
استطعم	طعم	qalsadi-verbs
استطلع	طلع	qalsadi-verbs
استطلق	طلق	qalsadi-verbs
استظرف	ظرف	qalsadi-verbs
استظل	ظلل	qalsadi-verbs
استظهر	ظهر	qalsadi-verbs
استعاد	عود	qalsadi-verbs
استعاذ	عوذ	qalsadi-verbs
استعار	عور	qalsadi-verbs
استعاض	عوض	qalsadi-verbs
استعان	عون	qalsadi-verbs
استعبد	عبد	qalsadi-verbs
استعتب	جذر	qalsadi-verbs
استعجب	عثو	qalsadi-verbs
استعجل	عجل	qalsadi-verbs
استعجم	عجم	qalsadi-verbs
استعد	عدد	qalsadi-verbs
استعدا	عدي	qalsadi-verbs
استعذب	عذب	qalsadi-verbs
استعرب	عرب	qalsadi-verbs
استعرض	عرض	qalsadi-verbs
استعرف	عرف	qalsadi-verbs
استعصا	عصي	qalsadi-verbs
استعصم	عصم	qalsadi-verbs
استعطا	عطو	qalsadi-verbs
استعطف	عطف	qalsadi-verbs
