word	vocalized	type	category	lemma	stem	tags	source
ااجمعنا	أأجمعنا	حرف	كلمات شائعة	ااجمعنا	ااجمعنا		stopwords-kalimat-extra
ااجمعنا	أَأَجْمَعنَا	اسم	توكيد	اجمع	اجمع	استفهام:مضاف	stopwords-kalimat-forms
ااجمعه	أأجمعه	حرف	كلمات شائعة	ااجمعه	ااجمعه		stopwords-kalimat-extra
ااجمعه	أَأَجْمَعهُ	اسم	توكيد	اجمع	اجمع	استفهام:مضاف:لايجر:T	stopwords-kalimat-forms
ااجمعها	أأجمعها	حرف	كلمات شائعة	ااجمعها	ااجمعها		stopwords-kalimat-extra
ااجمعها	أَأَجْمَعهَا	اسم	توكيد	اجمع	اجمع	استفهام:مضاف	stopwords-kalimat-forms
ااجمعهم	أأجمعهم	حرف	كلمات شائعة	ااجمعهم	ااجمعهم		stopwords-kalimat-extra
ااجمعهم	أَأَجْمَعهُمْ	اسم	توكيد	اجمع	اجمع	استفهام:مضاف:لايجر	stopwords-kalimat-forms
ااجمعهما	أأجمعهما	حرف	كلمات شائعة	ااجمعهما	ااجمعهما		stopwords-kalimat-extra
ااجمعهما	أَأَجْمَعهُمَا	اسم	توكيد	اجمع	اجمع	استفهام:مضاف:لايجر	stopwords-kalimat-forms
ااجمعهن	أأجمعهن	حرف	كلمات شائعة	ااجمعهن	ااجمعهن		stopwords-kalimat-extra
ااجمعهن	أَأَجْمَعهُنَّ	اسم	توكيد	اجمع	اجمع	استفهام:مضاف:لايجر	stopwords-kalimat-forms
ااجمعي	أأجمعي	حرف	كلمات شائعة	ااجمعي	ااجمعي		stopwords-kalimat-extra
ااجمعي	أَأَجْمَعِي	اسم	توكيد	اجمع	اجمع	استفهام:مضاف	stopwords-kalimat-forms
االا	أإلى	حرف	كلمات شائعة	االا	االا		stopwords-kalimat-extra
االا	أَإِلَى	حرف	حرف جر	الا	الا	استفهام	stopwords-kalimat-forms
االا	االا	حرف	كلمات شائعة	االا	االا		stopwords-kalimat-list
االتا	االتى	حرف	كلمات شائعة	االتا	االتا		stopwords-kalimat-list
االي	أإلي	حرف	كلمات شائعة	االي	االي		stopwords-kalimat-extra
االي	أَإِلَيَّ	حرف	حرف جر	الا	الا	استفهام:مضاف	stopwords-kalimat-forms
االيك	أإليك	حرف	كلمات شائعة	االيك	االيك		stopwords-kalimat-extra
االيك	أَإِلَيْكِ	حرف	حرف جر	الا	الا	استفهام:مضاف	stopwords-kalimat-forms
االيكم	أإليكم	حرف	كلمات شائعة	االيكم	االيكم		stopwords-kalimat-extra
االيكم	أَإِلَيْكُمْ	حرف	حرف جر	الا	الا	استفهام:مضاف	stopwords-kalimat-forms
االيكما	أإليكما	حرف	كلمات شائعة	االيكما	االيكما		stopwords-kalimat-extra
االيكما	أَإِلَيْكُمَا	حرف	حرف جر	الا	الا	استفهام:مضاف	stopwords-kalimat-forms
االيكن	أإليكن	حرف	كلمات شائعة	االيكن	االيكن		stopwords-kalimat-extra
االيكن	أَإِلَيْكُنَّ	حرف	حرف جر	الا	الا	استفهام:مضاف	stopwords-kalimat-forms
االينا	أإلينا	حرف	كلمات شائعة	االينا	االينا		stopwords-kalimat-extra
االينا	أَإِلَيْنَا	حرف	حرف جر	الا	الا	استفهام:مضاف	stopwords-kalimat-forms
االيه	أإليه	حرف	كلمات شائعة	االيه	االيه		stopwords-kalimat-extra
االيه	أَإِلَيْهُ	حرف	حرف جر	الا	الا	استفهام:مضاف:لايجر:T	stopwords-kalimat-forms
االيها	أإليها	حرف	كلمات شائعة	االيها	االيها		stopwords-kalimat-extra
االيها	أَإِلَيْهَا	حرف	حرف جر	الا	الا	استفهام:مضاف	stopwords-kalimat-forms
االيهم	أإليهم	حرف	كلمات شائعة	االيهم	االيهم		stopwords-kalimat-extra
االيهم	أَإِلَيْهُمْ	حرف	حرف جر	الا	الا	استفهام:مضاف:لايجر	stopwords-kalimat-forms
االيهما	أإليهما	حرف	كلمات شائعة	االيهما	االيهما		stopwords-kalimat-extra
االيهما	أَإِلَيْهُمَا	حرف	حرف جر	الا	الا	استفهام:مضاف:لايجر	stopwords-kalimat-forms
االيهن	أإليهن	حرف	كلمات شائعة	االيهن	االيهن		stopwords-kalimat-extra
االيهن	أَإِلَيْهُنَّ	حرف	حرف جر	الا	الا	استفهام:مضاف:لايجر	stopwords-kalimat-forms
اامام	أأمام	حرف	كلمات شائعة	اامام	اامام		stopwords-kalimat-extra
اامام	أَأَمَامِ	اسم	ظرف مكان	امام	امام	استفهام:مجرور:متحرك:ينون	stopwords-kalimat-forms
اامامك	أأمامك	حرف	كلمات شائعة	اامامك	اامامك		stopwords-kalimat-extra
اامامك	أَأَمَامِكِ	اسم	ظرف مكان	امام	امام	استفهام:مضاف:مجرور:متحرك:ينون	stopwords-kalimat-forms
اامامكم	أأمامكم	حرف	كلمات شائعة	اامامكم	اامامكم		stopwords-kalimat-extra
اامامكم	أَأَمَامِكُمْ	اسم	ظرف مكان	امام	امام	استفهام:مضاف:مجرور:متحرك:ينون	stopwords-kalimat-forms
اامامكما	أأمامكما	حرف	كلمات شائعة	اامامكما	اامامكما		stopwords-kalimat-extra
اامامكما	أَأَمَامِكُمَا	اسم	ظرف مكان	امام	امام	استفهام:مضاف:مجرور:متحرك:ينون	stopwords-kalimat-forms
اامامكن	أأمامكن	حرف	كلمات شائعة	اامامكن	اامامكن		stopwords-kalimat-extra
اامامكن	أَأَمَامِكُنَّ	اسم	ظرف مكان	امام	امام	استفهام:مضاف:مجرور:متحرك:ينون	stopwords-kalimat-forms
اامامنا	أأمامنا	حرف	كلمات شائعة	اامامنا	اامامنا		stopwords-kalimat-extra
اامامنا	أَأَمَامِنَا	اسم	ظرف مكان	امام	امام	استفهام:مضاف:مجرور:متحرك:ينون	stopwords-kalimat-forms
اامامه	أأمامه	حرف	كلمات شائعة	اامامه	اامامه		stopwords-kalimat-extra
اامامه	أَأَمَامِهِ	اسم	ظرف مكان	امام	امام	استفهام:مضاف:مجرور:مجرور:متحرك:ينون	stopwords-kalimat-forms
اامامها	أأمامها	حرف	كلمات شائعة	اامامها	اامامها		stopwords-kalimat-extra
اامامها	أَأَمَامِهَا	اسم	ظرف مكان	امام	امام	استفهام:مضاف:مجرور:متحرك:ينون	stopwords-kalimat-forms
اامامهم	أأمامهم	حرف	كلمات شائعة	اامامهم	اامامهم		stopwords-kalimat-extra
اامامهم	أَأَمَامِهِمْ	اسم	ظرف مكان	امام	امام	استفهام:مضاف:مجرور:مجرور:متحرك:ينون	stopwords-kalimat-forms
اامامهما	أأمامهما	حرف	كلمات شائعة	اامامهما	اامامهما		stopwords-kalimat-extra
اامامهما	أَأَمَامِهِمَا	اسم	ظرف مكان	امام	امام	استفهام:مضاف:مجرور:مجرور:متحرك:ينون	stopwords-kalimat-forms
اامامهن	أأمامهن	حرف	كلمات شائعة	اامامهن	اامامهن		stopwords-kalimat-extra
اامامهن	أَأَمَامِهِنَّ	اسم	ظرف مكان	امام	امام	استفهام:مضاف:مجرور:مجرور:متحرك:ينون	stopwords-kalimat-forms
اامامي	أأمامي	حرف	كلمات شائعة	اامامي	اامامي		stopwords-kalimat-extra
اامامي	أَأَمَامِِي	اسم	ظرف مكان	امام	امام	استفهام:مضاف:مجرور:متحرك:ينون	stopwords-kalimat-forms
اان	أإن	حرف	كلمات شائعة	اان	اان		stopwords-kalimat-extra
اان	أَإِنّ	حرف	إن و أخواتها	ان	ان	استفهام	stopwords-kalimat-forms
اانا	أأنا	حرف	كلمات شائعة	اانا	اانا		stopwords-kalimat-extra
اانا	أَأَنَّا	حرف	ناصب ومنصوب	انا	انا	استفهام	stopwords-kalimat-forms
ااناك	أَأَنَّاكِ	حرف	ناصب ومنصوب	انا	انا	استفهام:مضاف	stopwords-kalimat-forms
ااناكم	أَأَنَّاكُمْ	حرف	ناصب ومنصوب	انا	انا	استفهام:مضاف	stopwords-kalimat-forms
ااناكما	أَأَنَّاكُمَا	حرف	ناصب ومنصوب	انا	انا	استفهام:مضاف	stopwords-kalimat-forms
ااناكن	أَأَنَّاكُنَّ	حرف	ناصب ومنصوب	انا	انا	استفهام:مضاف	stopwords-kalimat-forms
اانانا	أَأَنَّانَا	حرف	ناصب ومنصوب	انا	انا	استفهام:مضاف	stopwords-kalimat-forms
ااناه	أَأَنَّاهُ	حرف	ناصب ومنصوب	انا	انا	استفهام:مضاف:لايجر:T	stopwords-kalimat-forms
ااناها	أَأَنَّاهَا	حرف	ناصب ومنصوب	انا	انا	استفهام:مضاف	stopwords-kalimat-forms
ااناهم	أَأَنَّاهُمْ	حرف	ناصب ومنصوب	انا	انا	استفهام:مضاف:لايجر	stopwords-kalimat-forms
ااناهما	أَأَنَّاهُمَا	حرف	ناصب ومنصوب	انا	انا	استفهام:مضاف:لايجر	stopwords-kalimat-forms
ااناهن	أَأَنَّاهُنَّ	حرف	ناصب ومنصوب	انا	انا	استفهام:مضاف:لايجر	stopwords-kalimat-forms
ااناي	أَأَنَّاِي	حرف	ناصب ومنصوب	انا	انا	استفهام:مضاف	stopwords-kalimat-forms
اانت	أأنت	حرف	كلمات شائعة	اانت	اانت		stopwords-kalimat-extra
اانت	أَأَنْت	ضمير	ضمير منفصل	انت	انت	استفهام	stopwords-kalimat-forms
اانتم	أأنتم	حرف	كلمات شائعة	اانتم	اانتم		stopwords-kalimat-extra
اانتم	أَأَنْتُم	ضمير	ضمير منفصل	انتم	انتم	استفهام	stopwords-kalimat-forms
اانتما	أأنتما	حرف	كلمات شائعة	اانتما	اانتما		stopwords-kalimat-extra
اانتما	أَأَنْتُمَا	ضمير	ضمير منفصل	انتما	انتما	استفهام	stopwords-kalimat-forms
اانتن	أأنتن	حرف	كلمات شائعة	اانتن	اانتن		stopwords-kalimat-extra
اانتن	أَأَنْتُنّ	ضمير	ضمير منفصل	انتن	انتن	استفهام	stopwords-kalimat-forms
اانك	أإنك	حرف	كلمات شائعة	اانك	اانك		stopwords-kalimat-extra
اانك	أَإِنّكِ	حرف	إن و أخواتها	ان	ان	استفهام:مضاف	stopwords-kalimat-forms
اانكم	أإنكم	حرف	كلمات شائعة	اانكم	اانكم		stopwords-kalimat-extra
اانكم	أَإِنّكُمْ	حرف	إن و أخواتها	ان	ان	استفهام:مضاف	stopwords-kalimat-forms
اانكما	أإنكما	حرف	كلمات شائعة	اانكما	اانكما		stopwords-kalimat-extra
اانكما	أَإِنّكُمَا	حرف	إن و أخواتها	ان	ان	استفهام:مضاف	stopwords-kalimat-forms
اانكن	أإنكن	حرف	كلمات شائعة	اانكن	اانكن		stopwords-kalimat-extra
اانكن	أَإِنّكُنَّ	حرف	إن و أخواتها	ان	ان	استفهام:مضاف	stopwords-kalimat-forms
ااننا	أإننا	حرف	كلمات شائعة	ااننا	ااننا		stopwords-kalimat-extra
ااننا	أَإِنّنَا	حرف	إن و أخواتها	ان	ان	استفهام:مضاف	stopwords-kalimat-forms
اانه	أإنه	حرف	كلمات شائعة	اانه	اانه		stopwords-kalimat-extra
اانه	أَإِنّهُ	حرف	إن و أخواتها	ان	ان	استفهام:مضاف:لايجر:T	stopwords-kalimat-forms
اانها	أإنها	حرف	كلمات شائعة	اانها	اانها		stopwords-kalimat-extra
اانها	أَإِنّهَا	حرف	إن و أخواتها	ان	ان	استفهام:مضاف	stopwords-kalimat-forms
اانهم	أإنهم	حرف	كلمات شائعة	اانهم	اانهم		stopwords-kalimat-extra
اانهم	أَإِنّهُمْ	حرف	إن و أخواتها	ان	ان	استفهام:مضاف:لايجر	stopwords-kalimat-forms
اانهما	أإنهما	حرف	كلمات شائعة	اانهما	اانهما		stopwords-kalimat-extra
اانهما	أَإِنّهُمَا	حرف	إن و أخواتها	ان	ان	استفهام:مضاف:لايجر	stopwords-kalimat-forms
اانهن	أإنهن	حرف	كلمات شائعة	اانهن	اانهن		stopwords-kalimat-extra
اانهن	أَإِنّهُنَّ	حرف	إن و أخواتها	ان	ان	استفهام:مضاف:لايجر	stopwords-kalimat-forms
ااني	أإني	حرف	كلمات شائعة	ااني	ااني		stopwords-kalimat-extra
ااني	أَإِنِّي	حرف	إن و أخواتها	ان	ان	استفهام:مضاف	stopwords-kalimat-forms
ااولءك	أأولئك	حرف	كلمات شائعة	ااولءك	ااولءك		stopwords-kalimat-extra
ااولءك	أَأُولَئِك	اسم	اسم إشارة	اولءك	اولءك	استفهام	stopwords-kalimat-forms
ااولءكم	أأولئكم	حرف	كلمات شائعة	ااولءكم	ااولءكم		stopwords-kalimat-extra
ااولءكم	أَأُولَئِكُم	اسم	اسم إشارة	اولءكم	اولءكم	استفهام	stopwords-kalimat-forms
ااولاء	أأولاء	حرف	كلمات شائعة	ااولاء	ااولاء		stopwords-kalimat-extra
ااولاء	أَأُولَاء	اسم	اسم إشارة	اولاء	اولاء	استفهام	stopwords-kalimat-forms
ااولالك	أأولالك	حرف	كلمات شائعة	ااولالك	ااولالك		stopwords-kalimat-extra
ااولالك	أَأُولَالِك	اسم	اسم إشارة	اولالك	اولالك	استفهام	stopwords-kalimat-forms
اب	أب	حرف	كلمات شائعة	اب	اب		stopwords-kalimat-extra
اب	أَبِ	اسم	الأسماء الخمسة	اب	اب	مجرور:متحرك:ينون	stopwords-kalimat-forms
اب	أبٌ	حرف	كلمات شائعة	اب	اب		stopwords-kalimat-list
ابا	أَبَا	اسم	الأسماء الخمسة	ابا	ابا		stopwords-kalimat-forms
اباجمع	أبأجمع	حرف	كلمات شائعة	اباجمع	اباجمع		stopwords-kalimat-extra
اباجمع	أَبِأَجْمَع	اسم	توكيد	اجمع	اجمع	استفهام:جر	stopwords-kalimat-forms
اباجمعك	أبأجمعك	حرف	كلمات شائعة	اباجمعك	اباجمعك		stopwords-kalimat-extra
اباجمعك	أَبِأَجْمَعكِ	اسم	توكيد	اجمع	اجمع	استفهام:جر:مضاف	stopwords-kalimat-forms
اباجمعكم	أبأجمعكم	حرف	كلمات شائعة	اباجمعكم	اباجمعكم		stopwords-kalimat-extra
اباجمعكم	أَبِأَجْمَعكُمْ	اسم	توكيد	اجمع	اجمع	استفهام:جر:مضاف	stopwords-kalimat-forms
اباجمعكما	أبأجمعكما	حرف	كلمات شائعة	اباجمعكما	اباجمعكما		stopwords-kalimat-extra
اباجمعكما	أَبِأَجْمَعكُمَا	اسم	توكيد	اجمع	اجمع	استفهام:جر:مضاف	stopwords-kalimat-forms
اباجمعكن	أبأجمعكن	حرف	كلمات شائعة	اباجمعكن	اباجمعكن		stopwords-kalimat-extra
اباجمعكن	أَبِأَجْمَعكُنَّ	اسم	توكيد	اجمع	اجمع	استفهام:جر:مضاف	stopwords-kalimat-forms
اباجمعنا	أبأجمعنا	حرف	كلمات شائعة	اباجمعنا	اباجمعنا		stopwords-kalimat-extra
اباجمعنا	أَبِأَجْمَعنَا	اسم	توكيد	اجمع	اجمع	استفهام:جر:مضاف	stopwords-kalimat-forms
اباجمعه	أبأجمعه	حرف	كلمات شائعة	اباجمعه	اباجمعه		stopwords-kalimat-extra
اباجمعه	أَبِأَجْمَعهُ	اسم	توكيد	اجمع	اجمع	استفهام:جر:مضاف:لايجر:T	stopwords-kalimat-forms
اباجمعها	أبأجمعها	حرف	كلمات شائعة	اباجمعها	اباجمعها		stopwords-kalimat-extra
اباجمعها	أَبِأَجْمَعهَا	اسم	توكيد	اجمع	اجمع	استفهام:جر:مضاف	stopwords-kalimat-forms
اباجمعهم	أبأجمعهم	حرف	كلمات شائعة	اباجمعهم	اباجمعهم		stopwords-kalimat-extra
اباجمعهم	أَبِأَجْمَعهُمْ	اسم	توكيد	اجمع	اجمع	استفهام:جر:مضاف:لايجر	stopwords-kalimat-forms
اباجمعهما	أبأجمعهما	حرف	كلمات شائعة	اباجمعهما	اباجمعهما		stopwords-kalimat-extra
اباجمعهما	أَبِأَجْمَعهُمَا	اسم	توكيد	اجمع	اجمع	استفهام:جر:مضاف:لايجر	stopwords-kalimat-forms
اباجمعهن	أبأجمعهن	حرف	كلمات شائعة	اباجمعهن	اباجمعهن		stopwords-kalimat-extra
اباجمعهن	أَبِأَجْمَعهُنَّ	اسم	توكيد	اجمع	اجمع	استفهام:جر:مضاف:لايجر	stopwords-kalimat-forms
اباجمعي	أبأجمعي	حرف	كلمات شائعة	اباجمعي	اباجمعي		stopwords-kalimat-extra
اباجمعي	أَبِأَجْمَعِي	اسم	توكيد	اجمع	اجمع	استفهام:جر:مضاف	stopwords-kalimat-forms
اباك	أَبَاكِ	اسم	الأسماء الخمسة	ابا	ابا	مضاف	stopwords-kalimat-forms
اباكم	أَبَاكُمْ	اسم	الأسماء الخمسة	ابا	ابا	مضاف	stopwords-kalimat-forms
اباكما	أَبَاكُمَا	اسم	الأسماء الخمسة	ابا	ابا	مضاف	stopwords-kalimat-forms
اباكن	أَبَاكُنَّ	اسم	الأسماء الخمسة	ابا	ابا	مضاف	stopwords-kalimat-forms
ابان	أبإن	حرف	كلمات شائعة	ابان	ابان		stopwords-kalimat-extra
ابانا	أَبَانَا	اسم	الأسماء الخمسة	ابا	ابا	مضاف	stopwords-kalimat-forms
ابانك	أبإنك	حرف	كلمات شائعة	ابانك	ابانك		stopwords-kalimat-extra
ابانكم	أبإنكم	حرف	كلمات شائعة	ابانكم	ابانكم		stopwords-kalimat-extra
ابانكما	أبإنكما	حرف	كلمات شائعة	ابانكما	ابانكما		stopwords-kalimat-extra
ابانكن	أبإنكن	حرف	كلمات شائعة	ابانكن	ابانكن		stopwords-kalimat-extra
اباننا	أبإننا	حرف	كلمات شائعة	اباننا	اباننا		stopwords-kalimat-extra
ابانه	أبإنه	حرف	كلمات شائعة	ابانه	ابانه		stopwords-kalimat-extra
ابانها	أبإنها	حرف	كلمات شائعة	ابانها	ابانها		stopwords-kalimat-extra
ابانهم	أبإنهم	حرف	كلمات شائعة	ابانهم	ابانهم		stopwords-kalimat-extra
ابانهما	أبإنهما	حرف	كلمات شائعة	ابانهما	ابانهما		stopwords-kalimat-extra
ابانهن	أبإنهن	حرف	كلمات شائعة	ابانهن	ابانهن		stopwords-kalimat-extra
اباني	أبإني	حرف	كلمات شائعة	اباني	اباني		stopwords-kalimat-extra
اباه	أَبَاهُ	اسم	الأسماء الخمسة	ابا	ابا	مضاف:لايجر:T	stopwords-kalimat-forms
اباها	أَبَاهَا	اسم	الأسماء الخمسة	ابا	ابا	مضاف	stopwords-kalimat-forms
اباهم	أَبَاهُمْ	اسم	الأسماء الخمسة	ابا	ابا	مضاف:لايجر	stopwords-kalimat-forms
اباهما	أَبَاهُمَا	اسم	الأسماء الخمسة	ابا	ابا	مضاف:لايجر	stopwords-kalimat-forms
اباهن	أَبَاهُنَّ	اسم	الأسماء الخمسة	ابا	ابا	مضاف:لايجر	stopwords-kalimat-forms
اباولءك	أبأولئك	حرف	كلمات شائعة	اباولءك	اباولءك		stopwords-kalimat-extra
اباولءك	أَبِأُولَئِك	اسم	اسم إشارة	اولءك	اولءك	استفهام:جر	stopwords-kalimat-forms
اباولءكم	أبأولئكم	حرف	كلمات شائعة	اباولءكم	اباولءكم		stopwords-kalimat-extra
اباولءكم	أَبِأُولَئِكُم	اسم	اسم إشارة	اولءكم	اولءكم	استفهام:جر	stopwords-kalimat-forms
اباولاء	أبأولاء	حرف	كلمات شائعة	اباولاء	اباولاء		stopwords-kalimat-extra
اباولاء	أَبِأُولَاء	اسم	اسم إشارة	اولاء	اولاء	استفهام:جر	stopwords-kalimat-forms
اباولالك	أبأولالك	حرف	كلمات شائعة	اباولالك	اباولالك		stopwords-kalimat-extra
اباولالك	أَبِأُولَالِك	اسم	اسم إشارة	اولالك	اولالك	استفهام:جر	stopwords-kalimat-forms
اباي	أَبَاِي	اسم	الأسماء الخمسة	ابا	ابا	مضاف	stopwords-kalimat-forms
اببعض	أببعض	حرف	كلمات شائعة	اببعض	اببعض		stopwords-kalimat-extra
اببعض	أَبِبَعْضِ	اسم	اسم إضافة	بعض	بعض	استفهام:جر:مجرور:متحرك:ينون	stopwords-kalimat-forms
اببعضك	أببعضك	حرف	كلمات شائعة	اببعضك	اببعضك		stopwords-kalimat-extra
اببعضك	أَبِبَعْضِكِ	اسم	اسم إضافة	بعض	بعض	استفهام:جر:مضاف:مجرور:متحرك:ينون	stopwords-kalimat-forms
اببعضكم	أببعضكم	حرف	كلمات شائعة	اببعضكم	اببعضكم		stopwords-kalimat-extra
اببعضكم	أَبِبَعْضِكُمْ	اسم	اسم إضافة	بعض	بعض	استفهام:جر:مضاف:مجرور:متحرك:ينون	stopwords-kalimat-forms
اببعضكما	أببعضكما	حرف	كلمات شائعة	اببعضكما	اببعضكما		stopwords-kalimat-extra
اببعضكما	أَبِبَعْضِكُمَا	اسم	اسم إضافة	بعض	بعض	استفهام:جر:مضاف:مجرور:متحرك:ينون	stopwords-kalimat-forms
اببعضكن	أببعضكن	حرف	كلمات شائعة	اببعضكن	اببعضكن		stopwords-kalimat-extra
اببعضكن	أَبِبَعْضِكُنَّ	اسم	اسم إضافة	بعض	بعض	استفهام:جر:مضاف:مجرور:متحرك:ينون	stopwords-kalimat-forms
اببعضنا	أببعضنا	حرف	كلمات شائعة	اببعضنا	اببعضنا		stopwords-kalimat-extra
اببعضنا	أَبِبَعْضِنَا	اسم	اسم إضافة	بعض	بعض	استفهام:جر:مضاف:مجرور:متحرك:ينون	stopwords-kalimat-forms
اببعضه	أببعضه	حرف	كلمات شائعة	اببعضه	اببعضه		stopwords-kalimat-extra
اببعضه	أَبِبَعْضِهِ	اسم	اسم إضافة	بعض	بعض	استفهام:جر:مضاف:مجرور:مجرور:متحرك:ينون	stopwords-kalimat-forms
اببعضها	أببعضها	حرف	كلمات شائعة	اببعضها	اببعضها		stopwords-kalimat-extra
اببعضها	أَبِبَعْضِهَا	اسم	اسم إضافة	بعض	بعض	استفهام:جر:مضاف:مجرور:متحرك:ينون	stopwords-kalimat-forms
اببعضهم	أببعضهم	حرف	كلمات شائعة	اببعضهم	اببعضهم		stopwords-kalimat-extra
اببعضهم	أَبِبَعْضِهِمْ	اسم	اسم إضافة	بعض	بعض	استفهام:جر:مضاف:مجرور:مجرور:متحرك:ينون	stopwords-kalimat-forms
اببعضهما	أببعضهما	حرف	كلمات شائعة	اببعضهما	اببعضهما		stopwords-kalimat-extra
اببعضهما	أَبِبَعْضِهِمَا	اسم	اسم إضافة	بعض	بعض	استفهام:جر:مضاف:مجرور:مجرور:متحرك:ينون	stopwords-kalimat-forms
