word	vocalized	type	category	source
ااناهن	أَأَنَّاهُنَّ	حرف	ناصب ومنصوب	compiled-forms-derived
ااناي	أَأَنَّاِي	حرف	ناصب ومنصوب	compiled-forms-derived
اانت	أَأَنْت	ضمير	ضمير منفصل	compiled-forms-derived
اانتم	أَأَنْتُم	ضمير	ضمير منفصل	compiled-forms-derived
اانتما	أَأَنْتُمَا	ضمير	ضمير منفصل	compiled-forms-derived
اانتن	أَأَنْتُنّ	ضمير	ضمير منفصل	compiled-forms-derived
اانك	أَإِنّكِ	حرف	إن و أخواتها	compiled-forms-derived
اانكم	أَإِنّكُمْ	حرف	إن و أخواتها	compiled-forms-derived
اانكما	أَإِنّكُمَا	حرف	إن و أخواتها	compiled-forms-derived
اانكن	أَإِنّكُنَّ	حرف	إن و أخواتها	compiled-forms-derived
ااننا	أَإِنّنَا	حرف	إن و أخواتها	compiled-forms-derived
اانه	أَإِنّهُ	حرف	إن و أخواتها	compiled-forms-derived
اانها	أَإِنّهَا	حرف	إن و أخواتها	compiled-forms-derived
اانهم	أَإِنّهُمْ	حرف	إن و أخواتها	compiled-forms-derived
اانهما	أَإِنّهُمَا	حرف	إن و أخواتها	compiled-forms-derived
اانهن	أَإِنّهُنَّ	حرف	إن و أخواتها	compiled-forms-derived
ااني	أَإِنِّي	حرف	إن و أخواتها	compiled-forms-derived
ااولءك	أَأُولَئِك	اسم	اسم إشارة	compiled-forms-derived
ااولءكم	أَأُولَئِكُم	اسم	اسم إشارة	compiled-forms-derived
ااولاء	أَأُولَاء	اسم	اسم إشارة	compiled-forms-derived
ااولالك	أَأُولَالِك	اسم	اسم إشارة	compiled-forms-derived
اب	أبٌ	حرف	كلمات شائعة	compiled-forms-derived
ابا	أَبَا	اسم	الأسماء الخمسة	compiled-forms-derived
اباجمع	أَبِأَجْمَع	اسم	توكيد	compiled-forms-derived
اباجمعك	أَبِأَجْمَعكِ	اسم	توكيد	compiled-forms-derived
اباجمعكم	أَبِأَجْمَعكُمْ	اسم	توكيد	compiled-forms-derived
اباجمعكما	أَبِأَجْمَعكُمَا	اسم	توكيد	compiled-forms-derived
اباجمعكن	أَبِأَجْمَعكُنَّ	اسم	توكيد	compiled-forms-derived
اباجمعنا	أَبِأَجْمَعنَا	اسم	توكيد	compiled-forms-derived
اباجمعه	أَبِأَجْمَعهُ	اسم	توكيد	compiled-forms-derived
اباجمعها	أَبِأَجْمَعهَا	اسم	توكيد	compiled-forms-derived
اباجمعهم	أَبِأَجْمَعهُمْ	اسم	توكيد	compiled-forms-derived
اباجمعهما	أَبِأَجْمَعهُمَا	اسم	توكيد	compiled-forms-derived
اباجمعهن	أَبِأَجْمَعهُنَّ	اسم	توكيد	compiled-forms-derived
اباجمعي	أَبِأَجْمَعِي	اسم	توكيد	compiled-forms-derived
اباك	أَبَاكِ	اسم	الأسماء الخمسة	compiled-forms-derived
اباكم	أَبَاكُمْ	اسم	الأسماء الخمسة	compiled-forms-derived
اباكما	أَبَاكُمَا	اسم	الأسماء الخمسة	compiled-forms-derived
اباكن	أَبَاكُنَّ	اسم	الأسماء الخمسة	compiled-forms-derived
ابان	أبإن	حرف	كلمات شائعة	compiled-forms-derived
ابانا	أَبَانَا	اسم	الأسماء الخمسة	compiled-forms-derived
ابانك	أبإنك	حرف	كلمات شائعة	compiled-forms-derived
ابانكم	أبإنكم	حرف	كلمات شائعة	compiled-forms-derived
ابانكما	أبإنكما	حرف	كلمات شائعة	compiled-forms-derived
ابانكن	أبإنكن	حرف	كلمات شائعة	compiled-forms-derived
اباننا	أبإننا	حرف	كلمات شائعة	compiled-forms-derived
ابانه	أبإنه	حرف	كلمات شائعة	compiled-forms-derived
ابانها	أبإنها	حرف	كلمات شائعة	compiled-forms-derived
ابانهم	أبإنهم	حرف	كلمات شائعة	compiled-forms-derived
ابانهما	أبإنهما	حرف	كلمات شائعة	compiled-forms-derived
ابانهن	أبإنهن	حرف	كلمات شائعة	compiled-forms-derived
اباني	أبإني	حرف	كلمات شائعة	compiled-forms-derived
اباه	أَبَاهُ	اسم	الأسماء الخمسة	compiled-forms-derived
اباها	أَبَاهَا	اسم	الأسماء الخمسة	compiled-forms-derived
اباهم	أَبَاهُمْ	اسم	الأسماء الخمسة	compiled-forms-derived
اباهما	أَبَاهُمَا	اسم	الأسماء الخمسة	compiled-forms-derived
اباهن	أَبَاهُنَّ	اسم	الأسماء الخمسة	compiled-forms-derived
اباولءك	أَبِأُولَئِك	اسم	اسم إشارة	compiled-forms-derived
اباولءكم	أَبِأُولَئِكُم	اسم	اسم إشارة	compiled-forms-derived
اباولاء	أَبِأُولَاء	اسم	اسم إشارة	compiled-forms-derived
اباولالك	أَبِأُولَالِك	اسم	اسم إشارة	compiled-forms-derived
اباي	أَبَاِي	اسم	الأسماء الخمسة	compiled-forms-derived
اببعض	أَبِبَعْضِ	اسم	اسم إضافة	compiled-forms-derived
اببعضك	أَبِبَعْضِكِ	اسم	اسم إضافة	compiled-forms-derived
اببعضكم	أَبِبَعْضِكُمْ	اسم	اسم إضافة	compiled-forms-derived
اببعضكما	أَبِبَعْضِكُمَا	اسم	اسم إضافة	compiled-forms-derived
اببعضكن	أَبِبَعْضِكُنَّ	اسم	اسم إضافة	compiled-forms-derived
اببعضنا	أَبِبَعْضِنَا	اسم	اسم إضافة	compiled-forms-derived
اببعضه	أَبِبَعْضِهِ	اسم	اسم إضافة	compiled-forms-derived
اببعضها	أَبِبَعْضِهَا	اسم	اسم إضافة	compiled-forms-derived
اببعضهم	أَبِبَعْضِهِمْ	اسم	اسم إضافة	compiled-forms-derived
اببعضهما	أَبِبَعْضِهِمَا	اسم	اسم إضافة	compiled-forms-derived
اببعضهن	أَبِبَعْضِهِنَّ	اسم	اسم إضافة	compiled-forms-derived
اببعضي	أَبِبَعْضِِي	اسم	اسم إضافة	compiled-forms-derived
ابتدا	ابتدأ	حرف	كلمات شائعة	compiled-forms-derived
ابتلك	أَبِتِلْك	اسم	اسم إشارة	compiled-forms-derived
ابتلكم	أَبِتِلْكُم	اسم	اسم إشارة	compiled-forms-derived
ابتلكما	أَبِتِلْكُمَا	اسم	اسم إشارة	compiled-forms-derived
ابتينك	أَبِتَيْنِك	اسم	اسم إشارة	compiled-forms-derived
ابجميع	أَبِجَمِيع	اسم	توكيد	compiled-forms-derived
ابجميعك	أَبِجَمِيعكِ	اسم	توكيد	compiled-forms-derived
ابجميعكم	أَبِجَمِيعكُمْ	اسم	توكيد	compiled-forms-derived
ابجميعكما	أَبِجَمِيعكُمَا	اسم	توكيد	compiled-forms-derived
ابجميعكن	أَبِجَمِيعكُنَّ	اسم	توكيد	compiled-forms-derived
ابجميعنا	أَبِجَمِيعنَا	اسم	توكيد	compiled-forms-derived
ابجميعه	أَبِجَمِيعهُ	اسم	توكيد	compiled-forms-derived
ابجميعها	أَبِجَمِيعهَا	اسم	توكيد	compiled-forms-derived
ابجميعهم	أَبِجَمِيعهُمْ	اسم	توكيد	compiled-forms-derived
ابجميعهما	أَبِجَمِيعهُمَا	اسم	توكيد	compiled-forms-derived
ابجميعهن	أَبِجَمِيعهُنَّ	اسم	توكيد	compiled-forms-derived
ابجميعي	أَبِجَمِيعِي	اسم	توكيد	compiled-forms-derived
ابحسب	أَبِحَسْب	اسم	اسم إضافة	compiled-forms-derived
ابحسبك	أَبِحَسْبكِ	اسم	اسم إضافة	compiled-forms-derived
ابحسبكم	أَبِحَسْبكُمْ	اسم	اسم إضافة	compiled-forms-derived
ابحسبكما	أَبِحَسْبكُمَا	اسم	اسم إضافة	compiled-forms-derived
ابحسبكن	أَبِحَسْبكُنَّ	اسم	اسم إضافة	compiled-forms-derived
ابحسبنا	أَبِحَسْبنَا	اسم	اسم إضافة	compiled-forms-derived
ابحسبه	أَبِحَسْبهُ	اسم	اسم إضافة	compiled-forms-derived
ابحسبها	أَبِحَسْبهَا	اسم	اسم إضافة	compiled-forms-derived
ابحسبهم	أَبِحَسْبهُمْ	اسم	اسم إضافة	compiled-forms-derived
ابحسبهما	أَبِحَسْبهُمَا	اسم	اسم إضافة	compiled-forms-derived
ابحسبهن	أَبِحَسْبهُنَّ	اسم	اسم إضافة	compiled-forms-derived
ابحسبي	أَبِحَسْبِي	اسم	اسم إضافة	compiled-forms-derived
ابدا	أبدا	حرف	كلمات شائعة	compiled-forms-derived
ابذاك	أَبِذَاك	اسم	اسم إشارة	compiled-forms-derived
ابذانك	أَبِذَانِك	اسم	اسم إشارة	compiled-forms-derived
ابذلك	أَبِذَلِك	اسم	اسم إشارة	compiled-forms-derived
ابذلكم	أَبِذَلِكُم	اسم	اسم إشارة	compiled-forms-derived
ابذلكما	أَبِذَلَكُمَا	اسم	اسم إشارة	compiled-forms-derived
ابذلكن	أَبِذَلِكُنّ	اسم	اسم إشارة	compiled-forms-derived
ابذواتي	أَبِذَوَاتَي	اسم	اسم إشارة	compiled-forms-derived
ابذي	أَبِذِي	اسم	اسم إشارة	compiled-forms-derived
ابذين	أَبِذَيْن	اسم	اسم إشارة	compiled-forms-derived
ابذينك	أَبِذَيْنِك	اسم	اسم إشارة	compiled-forms-derived
ابريل	أبريل	حرف	كلمات شائعة	compiled-forms-derived
ابسوا	أَبِسِوَى	اسم	اسم إضافة	compiled-forms-derived
ابسواك	أَبِسِوَاكِ	اسم	اسم إضافة	compiled-forms-derived
ابسواكم	أَبِسِوَاكُمْ	اسم	اسم إضافة	compiled-forms-derived
ابسواكما	أَبِسِوَاكُمَا	اسم	اسم إضافة	compiled-forms-derived
ابسواكن	أَبِسِوَاكُنَّ	اسم	اسم إضافة	compiled-forms-derived
ابسوانا	أَبِسِوَانَا	اسم	اسم إضافة	compiled-forms-derived
ابسواه	أَبِسِوَاهُ	اسم	اسم إضافة	compiled-forms-derived
ابسواها	أَبِسِوَاهَا	اسم	اسم إضافة	compiled-forms-derived
ابسواهم	أَبِسِوَاهُمْ	اسم	اسم إضافة	compiled-forms-derived
ابسواهما	أَبِسِوَاهُمَا	اسم	اسم إضافة	compiled-forms-derived
ابسواهن	أَبِسِوَاهُنَّ	اسم	اسم إضافة	compiled-forms-derived
ابسواي	أَبِسِوَاِي	اسم	اسم إضافة	compiled-forms-derived
ابسوي	أبسوي	حرف	كلمات شائعة	compiled-forms-derived
ابسويك	أبسويك	حرف	كلمات شائعة	compiled-forms-derived
ابسويكم	أبسويكم	حرف	كلمات شائعة	compiled-forms-derived
ابسويكما	أبسويكما	حرف	كلمات شائعة	compiled-forms-derived
ابسويكن	أبسويكن	حرف	كلمات شائعة	compiled-forms-derived
ابسوينا	أبسوينا	حرف	كلمات شائعة	compiled-forms-derived
ابسويه	أبسويه	حرف	كلمات شائعة	compiled-forms-derived
ابسويها	أبسويها	حرف	كلمات شائعة	compiled-forms-derived
ابسويهم	أبسويهم	حرف	كلمات شائعة	compiled-forms-derived
ابسويهما	أبسويهما	حرف	كلمات شائعة	compiled-forms-derived
ابسويهن	أبسويهن	حرف	كلمات شائعة	compiled-forms-derived
ابشبه	أَبِشِبْه	اسم	اسم إضافة	compiled-forms-derived
ابشبهك	أَبِشِبْهكِ	اسم	اسم إضافة	compiled-forms-derived
ابشبهكم	أَبِشِبْهكُمْ	اسم	اسم إضافة	compiled-forms-derived
ابشبهكما	أَبِشِبْهكُمَا	اسم	اسم إضافة	compiled-forms-derived
ابشبهكن	أَبِشِبْهكُنَّ	اسم	اسم إضافة	compiled-forms-derived
ابشبهنا	أَبِشِبْهنَا	اسم	اسم إضافة	compiled-forms-derived
ابشبهه	أَبِشِبْههُ	اسم	اسم إضافة	compiled-forms-derived
ابشبهها	أَبِشِبْههَا	اسم	اسم إضافة	compiled-forms-derived
ابشبههم	أَبِشِبْههُمْ	اسم	اسم إضافة	compiled-forms-derived
ابشبههما	أَبِشِبْههُمَا	اسم	اسم إضافة	compiled-forms-derived
ابشبههن	أَبِشِبْههُنَّ	اسم	اسم إضافة	compiled-forms-derived
ابشبهي	أَبِشِبْهِي	اسم	اسم إضافة	compiled-forms-derived
ابضع	أَبِضْع	اسم	كناية	compiled-forms-derived
ابضعك	أَبِضْعكِ	اسم	كناية	compiled-forms-derived
ابضعكم	أَبِضْعكُمْ	اسم	كناية	compiled-forms-derived
ابضعكما	أَبِضْعكُمَا	اسم	كناية	compiled-forms-derived
ابضعكن	أَبِضْعكُنَّ	اسم	كناية	compiled-forms-derived
ابضعنا	أَبِضْعنَا	اسم	كناية	compiled-forms-derived
ابضعه	أَبِضْعهُ	اسم	كناية	compiled-forms-derived
ابضعها	أَبِضْعهَا	اسم	كناية	compiled-forms-derived
ابضعهم	أَبِضْعهُمْ	اسم	كناية	compiled-forms-derived
ابضعهما	أَبِضْعهُمَا	اسم	كناية	compiled-forms-derived
ابضعهن	أَبِضْعهُنَّ	اسم	كناية	compiled-forms-derived
ابضعي	أَبِضْعِي	اسم	كناية	compiled-forms-derived
ابعامة	أَبِعَامَّة	اسم	توكيد	compiled-forms-derived
ابعامتك	أَبِعَامَّتكِ	اسم	توكيد	compiled-forms-derived
ابعامتكم	أَبِعَامَّتكُمْ	اسم	توكيد	compiled-forms-derived
ابعامتكما	أَبِعَامَّتكُمَا	اسم	توكيد	compiled-forms-derived
ابعامتكن	أَبِعَامَّتكُنَّ	اسم	توكيد	compiled-forms-derived
ابعامتنا	أَبِعَامَّتنَا	اسم	توكيد	compiled-forms-derived
ابعامته	أَبِعَامَّتهُ	اسم	توكيد	compiled-forms-derived
ابعامتها	أَبِعَامَّتهَا	اسم	توكيد	compiled-forms-derived
ابعامتهم	أَبِعَامَّتهُمْ	اسم	توكيد	compiled-forms-derived
ابعامتهما	أَبِعَامَّتهُمَا	اسم	توكيد	compiled-forms-derived
ابعامتهن	أَبِعَامَّتهُنَّ	اسم	توكيد	compiled-forms-derived
ابعامتي	أَبِعَامَّتِي	اسم	توكيد	compiled-forms-derived
ابعض	أَبَعْضِ	اسم	اسم إضافة	compiled-forms-derived
ابعضك	أَبَعْضِكِ	اسم	اسم إضافة	compiled-forms-derived
ابعضكم	أَبَعْضِكُمْ	اسم	اسم إضافة	compiled-forms-derived
ابعضكما	أَبَعْضِكُمَا	اسم	اسم إضافة	compiled-forms-derived
ابعضكن	أَبَعْضِكُنَّ	اسم	اسم إضافة	compiled-forms-derived
ابعضنا	أَبَعْضِنَا	اسم	اسم إضافة	compiled-forms-derived
ابعضه	أَبَعْضِهِ	اسم	اسم إضافة	compiled-forms-derived
ابعضها	أَبَعْضِهَا	اسم	اسم إضافة	compiled-forms-derived
ابعضهم	أَبَعْضِهِمْ	اسم	اسم إضافة	compiled-forms-derived
ابعضهما	أَبَعْضِهِمَا	اسم	اسم إضافة	compiled-forms-derived
ابعضهن	أَبَعْضِهِنَّ	اسم	اسم إضافة	compiled-forms-derived
ابعضي	أَبَعْضِِي	اسم	اسم إضافة	compiled-forms-derived
ابعين	أَبِعَيْن	اسم	توكيد	compiled-forms-derived
ابعينك	أَبِعَيْنكِ	اسم	توكيد	compiled-forms-derived
ابعينكم	أَبِعَيْنكُمْ	اسم	توكيد	compiled-forms-derived
ابعينكما	أَبِعَيْنكُمَا	اسم	توكيد	compiled-forms-derived
ابعينكن	أَبِعَيْنكُنَّ	اسم	توكيد	compiled-forms-derived
ابعيننا	أَبِعَيْننَا	اسم	توكيد	compiled-forms-derived
ابعينه	أَبِعَيْنهُ	اسم	توكيد	compiled-forms-derived
ابعينها	أَبِعَيْنهَا	اسم	توكيد	compiled-forms-derived
ابعينهم	أَبِعَيْنهُمْ	اسم	توكيد	compiled-forms-derived
ابعينهما	أَبِعَيْنهُمَا	اسم	توكيد	compiled-forms-derived
ابعينهن	أَبِعَيْنهُنَّ	اسم	توكيد	compiled-forms-derived
ابعيني	أَبِعَيْنِي	اسم	توكيد	compiled-forms-derived
ابغير	أَبِغَيْرِ	اسم	استثناء	compiled-forms-derived
ابغيرك	أَبِغَيْرِكِ	اسم	استثناء	compiled-forms-derived
ابغيركم	أَبِغَيْرِكُمْ	اسم	استثناء	compiled-forms-derived
ابغيركما	أَبِغَيْرِكُمَا	اسم	استثناء	compiled-forms-derived
ابغيركن	أَبِغَيْرِكُنَّ	اسم	استثناء	compiled-forms-derived
ابغيرنا	أَبِغَيْرِنَا	اسم	استثناء	compiled-forms-derived
ابغيره	أَبِغَيْرِهِ	اسم	استثناء	compiled-forms-derived
ابغيرها	أَبِغَيْرِهَا	اسم	استثناء	compiled-forms-derived
ابغيرهم	أَبِغَيْرِهِمْ	اسم	استثناء	compiled-forms-derived
ابغيرهما	أَبِغَيْرِهِمَا	اسم	استثناء	compiled-forms-derived
ابغيرهن	أَبِغَيْرِهِنَّ	اسم	استثناء	compiled-forms-derived
ابغيري	أَبِغَيْرِِي	اسم	استثناء	compiled-forms-derived
ابك	أَبِك	ضمير	ضمير متصل مجرور	compiled-forms-derived
ابكل	أَبِكُلّ	اسم	توكيد	compiled-forms-derived
ابكلتا	أَبِكِلْتَا	اسم	توكيد	compiled-forms-derived
ابكلك	أَبِكُلّكِ	اسم	توكيد	compiled-forms-derived
ابكلكم	أَبِكُلّكُمْ	اسم	توكيد	compiled-forms-derived
ابكلكما	أَبِكُلّكُمَا	اسم	توكيد	compiled-forms-derived
ابكلكن	أَبِكُلّكُنَّ	اسم	توكيد	compiled-forms-derived
ابكلنا	أَبِكُلّنَا	اسم	توكيد	compiled-forms-derived
ابكله	أَبِكُلّهُ	اسم	توكيد	compiled-forms-derived
ابكلها	أَبِكُلّهَا	اسم	توكيد	compiled-forms-derived
ابكلهم	أَبِكُلّهُمْ	اسم	توكيد	compiled-forms-derived
ابكلهما	أَبِكُلّهُمَا	اسم	توكيد	compiled-forms-derived
ابكلهن	أَبِكُلّهُنَّ	اسم	توكيد	compiled-forms-derived
ابكلي	أَبِكُلِّي	اسم	توكيد	compiled-forms-derived
ابكليكما	أَبِكِلَيْكُمَا	حرف	توكيد	compiled-forms-derived
ابكليهما	أَبِكِلَيْهِمَا	حرف	توكيد	compiled-forms-derived
ابكم	أَبِكُم	ضمير	ضمير متصل مجرور	compiled-forms-derived
ابكما	أَبِكُمَا	ضمير	ضمير متصل مجرور	compiled-forms-derived
ابكن	أَبِكُنّ	ضمير	ضمير متصل مجرور	compiled-forms-derived
ابما	أَبِمَا	اسم	اسم الاستفهام	compiled-forms-derived
ابمثل	أَبِمِثْل	اسم	اسم إضافة	compiled-forms-derived
ابمثلك	أَبِمِثْلكِ	اسم	اسم إضافة	compiled-forms-derived
ابمثلكم	أَبِمِثْلكُمْ	اسم	اسم إضافة	compiled-forms-derived
ابمثلكما	أَبِمِثْلكُمَا	اسم	اسم إضافة	compiled-forms-derived
ابمثلكن	أَبِمِثْلكُنَّ	اسم	اسم إضافة	compiled-forms-derived
ابمثلنا	أَبِمِثْلنَا	اسم	اسم إضافة	compiled-forms-derived
ابمثله	أَبِمِثْلهُ	اسم	اسم إضافة	compiled-forms-derived
ابمثلها	أَبِمِثْلهَا	اسم	اسم إضافة	compiled-forms-derived
ابمثلهم	أَبِمِثْلهُمْ	اسم	اسم إضافة	compiled-forms-derived
ابمثلهما	أَبِمِثْلهُمَا	اسم	اسم إضافة	compiled-forms-derived
ابمثلهن	أَبِمِثْلهُنَّ	اسم	اسم إضافة	compiled-forms-derived
ابمثلي	أَبِمِثْلِي	اسم	اسم إضافة	compiled-forms-derived
ابمن	أَبِمَن	اسم	اسم موصول	compiled-forms-derived
ابن	اِبْنِ	اسم	اسم إضافة	compiled-forms-derived
ابنا	أَبِنَا	ضمير	ضمير متصل مجرور	compiled-forms-derived
ابنحو	أَبِنَحْو	اسم	اسم إضافة	compiled-forms-derived
ابنحوك	أَبِنَحْوكِ	اسم	اسم إضافة	compiled-forms-derived
ابنحوكم	أَبِنَحْوكُمْ	اسم	اسم إضافة	compiled-forms-derived
ابنحوكما	أَبِنَحْوكُمَا	اسم	اسم إضافة	compiled-forms-derived
ابنحوكن	أَبِنَحْوكُنَّ	اسم	اسم إضافة	compiled-forms-derived
ابنحونا	أَبِنَحْونَا	اسم	اسم إضافة	compiled-forms-derived
ابنحوه	أَبِنَحْوهُ	اسم	اسم إضافة	compiled-forms-derived
ابنحوها	أَبِنَحْوهَا	اسم	اسم إضافة	compiled-forms-derived
ابنحوهم	أَبِنَحْوهُمْ	اسم	اسم إضافة	compiled-forms-derived
ابنحوهما	أَبِنَحْوهُمَا	اسم	اسم إضافة	compiled-forms-derived
ابنحوهن	أَبِنَحْوهُنَّ	اسم	اسم إضافة	compiled-forms-derived
ابنحوي	أَبِنَحْوِي	اسم	اسم إضافة	compiled-forms-derived
ابنفس	أَبِنَفْس	اسم	توكيد	compiled-forms-derived
ابنفسك	أَبِنَفْسكِ	اسم	توكيد	compiled-forms-derived
ابنفسكم	أَبِنَفْسكُمْ	اسم	توكيد	compiled-forms-derived
ابنفسكما	أَبِنَفْسكُمَا	اسم	توكيد	compiled-forms-derived
ابنفسكن	أَبِنَفْسكُنَّ	اسم	توكيد	compiled-forms-derived
ابنفسنا	أَبِنَفْسنَا	اسم	توكيد	compiled-forms-derived
ابنفسه	أَبِنَفْسهُ	اسم	توكيد	compiled-forms-derived
ابنفسها	أَبِنَفْسهَا	اسم	توكيد	compiled-forms-derived
ابنفسهم	أَبِنَفْسهُمْ	اسم	توكيد	compiled-forms-derived
ابنفسهما	أَبِنَفْسهُمَا	اسم	توكيد	compiled-forms-derived
ابنفسهن	أَبِنَفْسهُنَّ	اسم	توكيد	compiled-forms-derived
ابنفسي	أَبِنَفْسِي	اسم	توكيد	compiled-forms-derived
ابنك	اِبْنِكِ	اسم	اسم إضافة	compiled-forms-derived
ابنكم	اِبْنِكُمْ	اسم	اسم إضافة	compiled-forms-derived
ابنكما	اِبْنِكُمَا	اسم	اسم إضافة	compiled-forms-derived
ابنكن	اِبْنِكُنَّ	اسم	اسم إضافة	compiled-forms-derived
ابننا	اِبْنِنَا	اسم	اسم إضافة	compiled-forms-derived
ابنه	اِبْنِهِ	اسم	اسم إضافة	compiled-forms-derived
ابنها	اِبْنِهَا	اسم	اسم إضافة	compiled-forms-derived
ابنهم	اِبْنِهِمْ	اسم	اسم إضافة	compiled-forms-derived
ابنهما	اِبْنِهِمَا	اسم	اسم إضافة	compiled-forms-derived
ابنهن	اِبْنِهِنَّ	اسم	اسم إضافة	compiled-forms-derived
ابني	اِبْنِِي	اسم	اسم إضافة	compiled-forms-derived
ابه	أَبِه	ضمير	ضمير متصل مجرور	compiled-forms-derived
ابهءلاء	أَبِهَؤُلَاء	اسم	اسم إشارة	compiled-forms-derived
ابها	أَبِهَا	ضمير	ضمير متصل مجرور	compiled-forms-derived
ابهاته	أَبِهَاتِه	اسم	اسم إشارة	compiled-forms-derived
ابهاتي	أَبِهَاتِي	اسم	اسم إشارة	compiled-forms-derived
ابهاتين	أَبِهَاتَيْن	اسم	اسم إشارة	compiled-forms-derived
ابهاذين	أَبِهَاذَيْن	اسم	اسم إشارة	compiled-forms-derived
