word	synonym	source
اقر	اعترف	synonyms-json
اقسم	ءتا	synonyms-json
اقسم	اءتلا	synonyms-json
اقسم	حلف	synonyms-json
اقسم	يمين	synonyms-json
اقمح	اقنع	synonyms-json
اقمح	نكس	synonyms-json
اقنع	اقمح	synonyms-json
اقنع	نكس	synonyms-json
اكن	اخفا	synonyms-json
اكن	اسر	synonyms-json
اكن	كتم	synonyms-json
اكنان	بيوت	synonyms-json
اكنان	ديار	synonyms-json
اكنان	مساكن	synonyms-json
اكنان	صرح	synonyms-json
ال	قرابة	synonyms-json
الاعلان	البدو	synonyms-json
الاعلان	الظهور	synonyms-json
الانكار	الجحد	synonyms-json
البدو	الظهور	synonyms-json
البدو	الاعلان	synonyms-json
البهل	الرجم	synonyms-json
البهل	الطرد	synonyms-json
البهل	الكبت	synonyms-json
البهل	اللعن	synonyms-json
الت	بخس	synonyms-json
الت	خسر	synonyms-json
الت	نقص	synonyms-json
الت	هضم	synonyms-json
الت	وتر	synonyms-json
الجحد	الانكار	synonyms-json
الجحيم	الحريق	synonyms-json
الجحيم	السعير	synonyms-json
الجحيم	النار	synonyms-json
الجرم	الحرج	synonyms-json
الجرم	الحسبان	synonyms-json
الجرم	الرجم	synonyms-json
الجرم	الريب	synonyms-json
الجرم	الزعم	synonyms-json
الجرم	الظن	synonyms-json
الجرم	المرض	synonyms-json
الجرم	المرية	synonyms-json
الحرج	الجرم	synonyms-json
الحرج	الحسبان	synonyms-json
الحرج	الرجم	synonyms-json
الحرج	الريب	synonyms-json
الحرج	الزعم	synonyms-json
الحرج	الظن	synonyms-json
الحرج	المرض	synonyms-json
الحرج	المرية	synonyms-json
الحريق	الجحيم	synonyms-json
الحريق	السعير	synonyms-json
الحريق	النار	synonyms-json
الحسبان	الجرم	synonyms-json
الحسبان	الحرج	synonyms-json
الحسبان	الرجم	synonyms-json
الحسبان	الريب	synonyms-json
الحسبان	الزعم	synonyms-json
الحسبان	الظن	synonyms-json
الحسبان	المرض	synonyms-json
الحسبان	المرية	synonyms-json
الرجم	الجرم	synonyms-json
الرجم	الحرج	synonyms-json
الرجم	الحسبان	synonyms-json
الرجم	الريب	synonyms-json
الرجم	الزعم	synonyms-json
الرجم	الظن	synonyms-json
الرجم	المرض	synonyms-json
الرجم	المرية	synonyms-json
الرحمن	الرحيم	synonyms-json
الرحيم	الرحمن	synonyms-json
الرسول	النبي	synonyms-json
الريب	الجرم	synonyms-json
الريب	الحرج	synonyms-json
الريب	الحسبان	synonyms-json
الريب	الرجم	synonyms-json
الريب	الزعم	synonyms-json
الريب	الظن	synonyms-json
الريب	المرض	synonyms-json
الريب	المرية	synonyms-json
الزعم	الجرم	synonyms-json
الزعم	الحرج	synonyms-json
الزعم	الحسبان	synonyms-json
الزعم	الرجم	synonyms-json
الزعم	الريب	synonyms-json
الزعم	الظن	synonyms-json
الزعم	المرض	synonyms-json
الزعم	المرية	synonyms-json
السعير	الجحيم	synonyms-json
السعير	الحريق	synonyms-json
السعير	النار	synonyms-json
السلم	الصلح	synonyms-json
السموات	الطراءق	synonyms-json
الشبه	الشكل	synonyms-json
الشكل	الشبه	synonyms-json
الصاعقة	الموتة	synonyms-json
الصلح	السلم	synonyms-json
الضد	العدو	synonyms-json
الطراءق	السموات	synonyms-json
الطرد	البهل	synonyms-json
الطرد	الرجم	synonyms-json
الطرد	الكبت	synonyms-json
الطرد	اللعن	synonyms-json
الظل	الفيء	synonyms-json
الظن	الجرم	synonyms-json
الظن	الحرج	synonyms-json
الظن	الحسبان	synonyms-json
الظن	الرجم	synonyms-json
الظن	الريب	synonyms-json
الظن	الزعم	synonyms-json
الظن	المرض	synonyms-json
الظن	المرية	synonyms-json
الظهور	البدو	synonyms-json
الظهور	الاعلان	synonyms-json
العثو	الفساد	synonyms-json
العدو	الضد	synonyms-json
العرش	الكرسي	synonyms-json
العزم	القوة	synonyms-json
الفا	ثقف	synonyms-json
الفا	لقي	synonyms-json
الفا	وجد	synonyms-json
الفساد	العثو	synonyms-json
الفيء	الظل	synonyms-json
القوة	العزم	synonyms-json
القول	افك	synonyms-json
القول	بهتان	synonyms-json
القول	خرص	synonyms-json
القول	اختلاط	synonyms-json
القول	شطط	synonyms-json
القول	ظاهر	synonyms-json
القول	فاحشة	synonyms-json
القول	افتراء	synonyms-json
القول	كذب	synonyms-json
الكبت	البهل	synonyms-json
الكبت	الرجم	synonyms-json
الكبت	الطرد	synonyms-json
الكبت	اللعن	synonyms-json
الكرسي	العرش	synonyms-json
اللعن	البهل	synonyms-json
اللعن	الرجم	synonyms-json
اللعن	الطرد	synonyms-json
اللعن	الكبت	synonyms-json
الم	وصب	synonyms-json
المرض	الجرم	synonyms-json
المرض	الحرج	synonyms-json
المرض	الحسبان	synonyms-json
المرض	الرجم	synonyms-json
المرض	الريب	synonyms-json
المرض	الزعم	synonyms-json
المرض	الظن	synonyms-json
المرض	المرية	synonyms-json
المرية	الجرم	synonyms-json
المرية	الحرج	synonyms-json
المرية	الحسبان	synonyms-json
المرية	الرجم	synonyms-json
المرية	الريب	synonyms-json
المرية	الزعم	synonyms-json
المرية	الظن	synonyms-json
المرية	المرض	synonyms-json
الموتة	الصاعقة	synonyms-json
النار	الجحيم	synonyms-json
النار	الحريق	synonyms-json
النار	السعير	synonyms-json
النبي	الرسول	synonyms-json
النقيض	الضد	synonyms-json
الهم	اوحا	synonyms-json
الهم	اوزع	synonyms-json
الوان	اطوار	synonyms-json
ام	والدة	synonyms-json
امام	وراء	synonyms-json
امام	رقيم	synonyms-json
امام	مسطور	synonyms-json
امام	سفر	synonyms-json
امام	قط	synonyms-json
امام	كتاب	synonyms-json
امام	لوح	synonyms-json
امة	ضلال	synonyms-json
امة	نسيان	synonyms-json
امد	امل	synonyms-json
امد	رجاء	synonyms-json
امد	طمع	synonyms-json
امر	عجب	synonyms-json
امرء	ربي	synonyms-json
امرء	رجل	synonyms-json
امسك	كف	synonyms-json
امل	امد	synonyms-json
امل	رجاء	synonyms-json
امل	طمع	synonyms-json
املاق	خصاصة	synonyms-json
املاق	عيلة	synonyms-json
املاق	فقر	synonyms-json
امهل	انظر	synonyms-json
امهل	انتظر	synonyms-json
انا	صهر	synonyms-json
انا	نضج	synonyms-json
انام	بشر	synonyms-json
انام	برية	synonyms-json
انام	جبلة	synonyms-json
انام	خلق	synonyms-json
انام	ناس	synonyms-json
انبا	اخبر	synonyms-json
انبا	اعلم	synonyms-json
انبنا	تبنا	synonyms-json
انبنا	هدنا	synonyms-json
انتظر	امهل	synonyms-json
انتظر	انظر	synonyms-json
انشقت	فرجت	synonyms-json
انشقت	انفطرت	synonyms-json
انشقت	كشطت	synonyms-json
انشقت	مارت	synonyms-json
انظر	امهل	synonyms-json
انظر	انتظر	synonyms-json
انف	خرطوم	synonyms-json
انفروا	افيضوا	synonyms-json
انفضوا	ذهبوا	synonyms-json
انفضوا	مضوا	synonyms-json
انفطرت	انشقت	synonyms-json
انفطرت	فرجت	synonyms-json
انفطرت	كشطت	synonyms-json
انفطرت	مارت	synonyms-json
انقلب	ءب	synonyms-json
انقلب	حار	synonyms-json
انقلب	رجع	synonyms-json
انقلب	ارتد	synonyms-json
انقلب	عاد	synonyms-json
انقلب	فاء	synonyms-json
انقلب	نكص	synonyms-json
انكدرت	طمست	synonyms-json
اهطع	بادر	synonyms-json
اهطع	اسرع	synonyms-json
اهطع	قصد	synonyms-json
اهطع	اوفض	synonyms-json
اهل	ءل	synonyms-json
اهل	ذرية	synonyms-json
اوب	اطاع	synonyms-json
اوحا	الهم	synonyms-json
اوحا	اوزع	synonyms-json
اوزع	الهم	synonyms-json
اوزع	اوحا	synonyms-json
اوصد	سكر	synonyms-json
اوصد	غلق	synonyms-json
اوصل	ادا	synonyms-json
اوصل	ابلغ	synonyms-json
اوفض	بادر	synonyms-json
اوفض	اسرع	synonyms-json
اوفض	قصد	synonyms-json
اوفض	اهطع	synonyms-json
اوقد	سجر	synonyms-json
اوقد	سعر	synonyms-json
اوقد	اشعل	synonyms-json
اول	فسر	synonyms-json
ايد	قوا	synonyms-json
ايقن	تبين	synonyms-json
ايقن	يءس	synonyms-json
بءر	جب	synonyms-json
بءر	رس	synonyms-json
بءيس	رابية	synonyms-json
بءيس	شديد	synonyms-json
بءيس	عصيب	synonyms-json
بءيس	وبيل	synonyms-json
باءس	مسكين	synonyms-json
باءس	معتر	synonyms-json
باءس	عاءل	synonyms-json
باءس	فقير	synonyms-json
باءس	قانع	synonyms-json
باءس	مملق	synonyms-json
بادر	اسرع	synonyms-json
بادر	قصد	synonyms-json
بادر	اهطع	synonyms-json
بادر	اوفض	synonyms-json
بارء	بديع	synonyms-json
بارء	جاعل	synonyms-json
بارء	خالق	synonyms-json
بارء	ذارء	synonyms-json
بارء	صانع	synonyms-json
بارء	فاطر	synonyms-json
باساء	ضراء	synonyms-json
باطل	فاسد	synonyms-json
باع	اشترا	synonyms-json
بث	اسي	synonyms-json
بث	ابتاس	synonyms-json
بث	حزن	synonyms-json
بث	كرب	synonyms-json
بحر	يم	synonyms-json
بخس	الت	synonyms-json
بخس	خسر	synonyms-json
بخس	نقص	synonyms-json
بخس	هضم	synonyms-json
بخس	وتر	synonyms-json
بخع	عبد	synonyms-json
بخع	قتل	synonyms-json
بخيل	شحيح	synonyms-json
بخيل	شديد	synonyms-json
بخيل	ضنين	synonyms-json
بدن	جسم	synonyms-json
بدن	جسد	synonyms-json
بديع	بارء	synonyms-json
بديع	جاعل	synonyms-json
بديع	خالق	synonyms-json
بديع	ذارء	synonyms-json
بديع	صانع	synonyms-json
بديع	فاطر	synonyms-json
بذر	اسرف	synonyms-json
برد	نوم	synonyms-json
برزخ	حجاب	synonyms-json
برزخ	حاجز	synonyms-json
برزخ	ستر	synonyms-json
برزخ	غطاء	synonyms-json
بركة	زيادة	synonyms-json
برهان	بيان	synonyms-json
برهان	حجة	synonyms-json
برهان	دليل	synonyms-json
برهان	سلطان	synonyms-json
برية	انام	synonyms-json
برية	بشر	synonyms-json
برية	جبلة	synonyms-json
برية	خلق	synonyms-json
برية	ناس	synonyms-json
بزغ	طلع	synonyms-json
بسطة	سعة	synonyms-json
بشر	انام	synonyms-json
بشر	برية	synonyms-json
بشر	جبلة	synonyms-json
بشر	خلق	synonyms-json
بشر	ناس	synonyms-json
بطاتة	وليجة	synonyms-json
بطن	جوف	synonyms-json
بعث	ارسل	synonyms-json
بعد	بوار	synonyms-json
بعد	تبار	synonyms-json
بعد	تدمير	synonyms-json
بعد	هلاك	synonyms-json
بعل	زوج	synonyms-json
بعيد	قاص	synonyms-json
بعيد	ناء	synonyms-json
بعير	حمار	synonyms-json
بغضاء	شنءن	synonyms-json
بغضاء	قلا	synonyms-json
بغضاء	كره	synonyms-json
بغضاء	مقت	synonyms-json
بغي	حسد	synonyms-json
بلس	قنط	synonyms-json
بلس	خاب	synonyms-json
بلس	يءس	synonyms-json
بهتان	افك	synonyms-json
بهتان	خرص	synonyms-json
بهتان	اختلاط	synonyms-json
بهتان	شطط	synonyms-json
بهتان	ظاهر	synonyms-json
بهتان	القول	synonyms-json
بهتان	فاحشة	synonyms-json
بهتان	افتراء	synonyms-json
بهتان	كذب	synonyms-json
بوار	بعد	synonyms-json
بوار	تبار	synonyms-json
بوار	تدمير	synonyms-json
بوار	هلاك	synonyms-json
بيان	برهان	synonyms-json
بيان	حجة	synonyms-json
بيان	دليل	synonyms-json
بيان	سلطان	synonyms-json
بيعة	اصر	synonyms-json
بيعة	عقد	synonyms-json
بيعة	عهد	synonyms-json
بيعة	ميثاق	synonyms-json
بيوت	ديار	synonyms-json
بيوت	مساكن	synonyms-json
بيوت	صرح	synonyms-json
بيوت	اكنان	synonyms-json
تارة	مرة	synonyms-json
تباب	خسران	synonyms-json
تبار	بعد	synonyms-json
تبار	بوار	synonyms-json
تبار	تدمير	synonyms-json
تبار	هلاك	synonyms-json
تبع	اتبع	synonyms-json
تبع	قص	synonyms-json
تبع	قفا	synonyms-json
تبع	لحق	synonyms-json
تبنا	انبنا	synonyms-json
تبنا	هدنا	synonyms-json
تبين	يءس	synonyms-json
تبين	ايقن	synonyms-json
تثريب	لوم	synonyms-json
تجسس	تحسس	synonyms-json
تحسس	تجسس	synonyms-json
تحية	سلام	synonyms-json
تدبر	تفكر	synonyms-json
تدمير	بعد	synonyms-json
تدمير	بوار	synonyms-json
تدمير	تبار	synonyms-json
تدمير	هلاك	synonyms-json
تراب	ثرا	synonyms-json
تربص	ارتقب	synonyms-json
تربص	انتظر	synonyms-json
تردا	زهق	synonyms-json
تردا	مات	synonyms-json
تردا	هلك	synonyms-json
تسليم	رضا	synonyms-json
تسليم	تفويض	synonyms-json
تفكر	تدبر	synonyms-json
تفنيد	سخرية	synonyms-json
تفنيد	استهزاء	synonyms-json
تفويض	رضا	synonyms-json
تفويض	تسليم	synonyms-json
تكذيب	زور	synonyms-json
تكذيب	تفنيد	synonyms-json
تلا	قرا	synonyms-json
تلقاء	شطر	synonyms-json
تم	كمل	synonyms-json
تمثال	رجز	synonyms-json
تمثال	صنم	synonyms-json
تمثال	طاغوت	synonyms-json
تمثال	وثن	synonyms-json
تمحيص	ابتلاء	synonyms-json
تمحيص	اختبار	synonyms-json
تمحيص	غرام	synonyms-json
تمزق	تميز	synonyms-json
تميز	تمزق	synonyms-json
ثاقب	دري	synonyms-json
ثاقب	مضيء	synonyms-json
ثبات	ثلة	synonyms-json
ثبات	حزب	synonyms-json
ثبات	رهط	synonyms-json
ثبات	زمرة	synonyms-json
ثبات	شرذمة	synonyms-json
ثبات	طاءفة	synonyms-json
ثبات	عصبة	synonyms-json
ثبات	فءة	synonyms-json
ثبات	فريق	synonyms-json
ثبات	فوج	synonyms-json
ثبات	نفر	synonyms-json
ثبات	موالي	synonyms-json
ثرا	تراب	synonyms-json
ثعبان	جان	synonyms-json
ثقف	الفا	synonyms-json
ثقف	لقي	synonyms-json
ثقف	وجد	synonyms-json
ثقلت	خفت	synonyms-json
ثلة	ثبات	synonyms-json
ثلة	حزب	synonyms-json
ثلة	رهط	synonyms-json
ثلة	زمرة	synonyms-json
ثلة	شرذمة	synonyms-json
ثلة	طاءفة	synonyms-json
ثلة	عصبة	synonyms-json
ثلة	فءة	synonyms-json
ثلة	فريق	synonyms-json
ثلة	فوج	synonyms-json
ثلة	نفر	synonyms-json
ثلة	موالي	synonyms-json
ثمن	قيمة	synonyms-json
ثوا	لبث	synonyms-json
ثوا	مكث	synonyms-json
ثواب	اجر	synonyms-json
ثواب	جزاء	synonyms-json
ثواب	حساب	synonyms-json
ثواب	دين	synonyms-json
ثياب	لباس	synonyms-json
جاء	اتا	synonyms-json
جاء	حضر	synonyms-json
جاء	اقبل	synonyms-json
جاب	نحت	synonyms-json
جارية	سفينة	synonyms-json
جارية	فلك	synonyms-json
جارية	ماخرة	synonyms-json
جاعل	بديع	synonyms-json
جاعل	بارء	synonyms-json
جاعل	خالق	synonyms-json
جاعل	ذارء	synonyms-json
جاعل	صانع	synonyms-json
جاعل	فاطر	synonyms-json
جان	ثعبان	synonyms-json
جانب	حدب	synonyms-json
جاهل	سفيه	synonyms-json
جب	بءر	synonyms-json
جب	رس	synonyms-json
جبت	ابليس	synonyms-json
جبت	شيطان	synonyms-json
جبل	صدف	synonyms-json
جبل	طود	synonyms-json
جبل	طور	synonyms-json
جبلة	انام	synonyms-json
جبلة	بشر	synonyms-json
جبلة	برية	synonyms-json
جبلة	خلق	synonyms-json
جبلة	ناس	synonyms-json
جبهة	جبين	synonyms-json
جبين	جبهة	synonyms-json
جدار	سور	synonyms-json
جدال	حجاج	synonyms-json
جدال	مراء	synonyms-json
جدث	قبر	synonyms-json
جدد	حبك	synonyms-json
جدد	ريع	synonyms-json
جدد	سبيل	synonyms-json
جدد	صراط	synonyms-json
جدد	طريق	synonyms-json
جدد	فج	synonyms-json
جدد	نجد	synonyms-json
جذ	قطع	synonyms-json
جرم	اثم	synonyms-json
جرم	حنث	synonyms-json
جرم	حوب	synonyms-json
جرم	ذنب	synonyms-json
جرم	خطيءة	synonyms-json
جرم	معصية	synonyms-json
جرم	عنت	synonyms-json
جرم	وزر	synonyms-json
جزاء	اجر	synonyms-json
جزاء	ثواب	synonyms-json
جزاء	حساب	synonyms-json
جزاء	دين	synonyms-json
جسد	بدن	synonyms-json
جسد	جسم	synonyms-json
جسم	بدن	synonyms-json
جسم	جسد	synonyms-json
جم	غدق	synonyms-json
جم	كثير	synonyms-json
جم	لبد	synonyms-json
جمع	ركم	synonyms-json
جمع	سجر	synonyms-json
جمع	اقت	synonyms-json
جميعا	لفيفا	synonyms-json
جن	شياطين	synonyms-json
جناح	يد	synonyms-json
جنة	فردوس	synonyms-json
جنة	نعيم	synonyms-json
جنة	حديقة	synonyms-json
جنح	جنف	synonyms-json
جنح	ركن	synonyms-json
جنح	زاغ	synonyms-json
جنح	صغا	synonyms-json
جنح	عال	synonyms-json
جنح	ماد	synonyms-json
جنح	مال	synonyms-json
جنف	جنح	synonyms-json
جنف	ركن	synonyms-json
جنف	زاغ	synonyms-json
جنف	صغا	synonyms-json
جنف	عال	synonyms-json
جنف	ماد	synonyms-json
جنف	مال	synonyms-json
جور	رهق	synonyms-json
جور	ضيز	synonyms-json
جور	ظلم	synonyms-json
جور	هضم	synonyms-json
جوع	مخمصة	synonyms-json
جوع	مسغبة	synonyms-json
جوع	املاق	synonyms-json
جوف	بطن	synonyms-json
جياد	خير	synonyms-json
جياد	خيل	synonyms-json
جياد	عاديات	synonyms-json
جيد	رقبة	synonyms-json
جيد	عنق	synonyms-json
حاجة	ارب	synonyms-json
حاجز	برزخ	synonyms-json
حاجز	حجاب	synonyms-json
حاجز	ستر	synonyms-json
حاجز	غطاء	synonyms-json
حار	ءب	synonyms-json
حار	رجع	synonyms-json
حار	ارتد	synonyms-json
حار	عاد	synonyms-json
حار	فاء	synonyms-json
حار	انقلب	synonyms-json
حار	نكص	synonyms-json
حامية	ءنية	synonyms-json
حامية	غسلين	synonyms-json
حب	ود	synonyms-json
حبس	اثبت	synonyms-json
حبس	احصر	synonyms-json
حبس	سجن	synonyms-json
حبس	عكف	synonyms-json
حبس	عضل	synonyms-json
حبك	جدد	synonyms-json
حبك	ريع	synonyms-json
حبك	سبيل	synonyms-json
حبك	صراط	synonyms-json
حبك	طريق	synonyms-json
حبك	فج	synonyms-json
حبك	نجد	synonyms-json
حبل	سبب	synonyms-json
حبور	سرور	synonyms-json
حبور	فرح	synonyms-json
حبور	مرح	synonyms-json
حث	حرض	synonyms-json
حث	حض	synonyms-json
حجاب	برزخ	synonyms-json
حجاب	حاجز	synonyms-json
حجاب	ستر	synonyms-json
حجاب	غطاء	synonyms-json
حجاج	جدال	synonyms-json
حجاج	مراء	synonyms-json
حجة	برهان	synonyms-json
حجة	بيان	synonyms-json
حجة	دليل	synonyms-json
حجة	سلطان	synonyms-json
حجر	صفوان	synonyms-json
حدب	جانب	synonyms-json
حرام	سحت	synonyms-json
حرج	حصر	synonyms-json
حرج	ضاق	synonyms-json
حرد	قصد	synonyms-json
حرص	رجاء	synonyms-json
حرص	طمع	synonyms-json
حرض	حث	synonyms-json
حرض	حض	synonyms-json
حرق	فتن	synonyms-json
حرق	لوح	synonyms-json
حرك	نغض	synonyms-json
حزب	ثبات	synonyms-json
حزب	ثلة	synonyms-json
حزب	رهط	synonyms-json
حزب	زمرة	synonyms-json
حزب	شرذمة	synonyms-json
حزب	طاءفة	synonyms-json
حزب	عصبة	synonyms-json
حزب	فءة	synonyms-json
حزب	فريق	synonyms-json
حزب	فوج	synonyms-json
حزب	نفر	synonyms-json
حزب	موالي	synonyms-json
حزن	اسي	synonyms-json
حزن	ابتاس	synonyms-json
حزن	بث	synonyms-json
حزن	كرب	synonyms-json
حساب	اجر	synonyms-json
حساب	ثواب	synonyms-json
حساب	جزاء	synonyms-json
حساب	دين	synonyms-json
حسبان	برد	synonyms-json
حسد	بغي	synonyms-json
حسر	قطع	synonyms-json
حصب	حطب	synonyms-json
حصر	حرج	synonyms-json
حصر	ضاق	synonyms-json
حصون	صياصي	synonyms-json
حض	حث	synonyms-json
حض	حرض	synonyms-json
حضر	اتا	synonyms-json
حضر	جاء	synonyms-json
حضر	اقبل	synonyms-json
حطب	حصب	synonyms-json
حق	صدق	synonyms-json
حقب	دهر	synonyms-json
حكم	فتح	synonyms-json
حكم	فرق	synonyms-json
حكم	فصل	synonyms-json
حكم	قضا	synonyms-json
حلف	ءتا	synonyms-json
حلف	اءتلا	synonyms-json
حلف	اقسم	synonyms-json
حلف	يمين	synonyms-json
حلم	سكينة	synonyms-json
حلم	وقار	synonyms-json
حليم	سيد	synonyms-json
حليم	صابر	synonyms-json
حما	سجيل	synonyms-json
حما	صلصال	synonyms-json
حما	طين	synonyms-json
حمار	بعير	synonyms-json
حمد	شكر	synonyms-json
حميم	خدن	synonyms-json
حميم	خليل	synonyms-json
