word	vocalized	source
ءذيتمونا	آذَيْتُمُونَا	vocalizations-json-map
ءرثر	آرْثرْ	vocalizations-paired-words
ءزر	آزَرَ	vocalizations-json-map
ءسا	آسَى	vocalizations-json-map
ءسفونا	آسَفُونَا	vocalizations-json-map
ءسن	آسِنٍ	vocalizations-json-map
ءسيا	آسْيَا	vocalizations-paired-words
ءسياد	آسياد	vocalizations-paired-words
ءسيوية	آسْيَوِيَّةٍ	vocalizations-paired-words
ءكليه	آكِلِيهِ	vocalizations-paired-words
ءل	آلُ	vocalizations-json-map
ءلءن	آلْآنَ	vocalizations-json-map
ءلاء	آلَاءَ	vocalizations-json-map
ءلات	آلَاتِ	vocalizations-paired-words
ءلاف	آلَافٍ	vocalizations-json-map
ءلام	آلَامَ	vocalizations-paired-words
ءلذكرين	آلذَّكَرَيْنِ	vocalizations-json-map
ءلله	آللَّهُ	vocalizations-json-map
ءلهة	آلِهَةٌ	vocalizations-json-map
ءلهتكم	آلِهَتِكُمْ	vocalizations-json-map
ءلهتنا	آلِهَتِنَا	vocalizations-json-map
ءلهتهم	آلِهَتُهُمُ	vocalizations-json-map
ءلهتي	آلِهَتِي	vocalizations-json-map
ءلية	آلِيَّةٌ	vocalizations-paired-words
ءمال	آمَال	vocalizations-paired-words
ءمره	آمُرُهُ	vocalizations-json-map
ءمن	آمِنْ	vocalizations-json-map
ءمنا	آمِنًا	vocalizations-json-map
ءمنة	آمِنَةً	vocalizations-json-map
ءمنت	آمَنْتُ	vocalizations-json-map
ءمنتم	آمَنْتُمْ	vocalizations-json-map
ءمنكم	آمَنُكُمْ	vocalizations-json-map
ءمنوا	آمِنُوا	vocalizations-json-map
ءمنون	آمِنُونَ	vocalizations-json-map
ءمنين	آمِنِينَ	vocalizations-json-map
ءمين	آمِّينَ	vocalizations-json-map
ءن	آنٍ	vocalizations-json-map
ءنا	آنَا	vocalizations-paired-words
ءناء	آنَاءِ	vocalizations-json-map
ءند	آنْد	vocalizations-paired-words
ءنذاك	آنَذَاكَ	vocalizations-paired-words
ءنس	آنَسَ	vocalizations-json-map
ءنست	آنَسْتُ	vocalizations-json-map
ءنستم	آنَسْتُمْ	vocalizations-json-map
ءنفا	آنِفًا	vocalizations-json-map
ءنية	آنِيَةٍ	vocalizations-json-map
ءوا	آوَى	vocalizations-json-map
ءووا	آوَوْا	vocalizations-json-map
ءوي	آوِي	vocalizations-json-map
ءيات	آيَاتٌ	vocalizations-json-map
ءياتك	آيَاتِكَ	vocalizations-json-map
ءياتنا	آيَاتُنَا	vocalizations-json-map
ءياته	آيَاتُهُ	vocalizations-json-map
ءياتها	آيَاتِهَا	vocalizations-json-map
ءياتي	آيَاتِيَ	vocalizations-json-map
ءية	آيَةَ	vocalizations-json-map
ءيتك	آيَتُكَ	vocalizations-json-map
ءيتين	آيَتَيْنِ	vocalizations-json-map
اءت	ائْتِ	vocalizations-json-map
اءتلاف	ائْتِلَافٍ	vocalizations-paired-words
اءتمن	اؤْتُمِنَ	vocalizations-json-map
اءتنا	ائْتِنَا	vocalizations-json-map
اءتوا	ائْتُوا	vocalizations-json-map
اءتوني	ائْتُونِي	vocalizations-json-map
اءتيا	ائْتِيَا	vocalizations-json-map
اءذا	أَئِذَا	vocalizations-json-map
اءذن	ائْذَنْ	vocalizations-json-map
اءفكا	أَئِفْكًا	vocalizations-json-map
اءلهتنا	أَآلِهَتُنَا	vocalizations-json-map
اءمة	أَئِمَّةَ	vocalizations-json-map
اءن	أَئِنَّ	vocalizations-json-map
اءنا	أَئِنَّا	vocalizations-json-map
اءنبءكم	أَؤُنَبِّئُكُمْ	vocalizations-json-map
اءنكم	أَئِنَّكُمْ	vocalizations-json-map
ااتخذ	أَأَتَّخِذُ	vocalizations-json-map
ااذا	أَإِذَا	vocalizations-json-map
اارباب	أَأَرْبَابٌ	vocalizations-json-map
ااسجد	أَأَسْجُدُ	vocalizations-json-map
ااسلمتم	أَأَسْلَمْتُمْ	vocalizations-json-map
ااشفقتم	أَأَشْفَقْتُمْ	vocalizations-json-map
ااشكر	أَأَشْكُرُ	vocalizations-json-map
ااعجمي	أَأَعْجَمِيٌّ	vocalizations-json-map
ااقررتم	أَأَقْرَرْتُمْ	vocalizations-json-map
االد	أَأَلِدُ	vocalizations-json-map
االقي	أَأُلْقِيَ	vocalizations-json-map
االه	أَإِلَهٌ	vocalizations-json-map
اامنتم	أَأَمِنْتُمْ	vocalizations-json-map
اانا	أَإِنَّا	vocalizations-json-map
اانت	أَأَنْتَ	vocalizations-json-map
اانتم	أَأَنْتُمْ	vocalizations-json-map
اانذرتهم	أَأَنْذَرْتَهُمْ	vocalizations-json-map
اانزل	أَأُنْزِلَ	vocalizations-json-map
اانك	أَإِنَّكَ	vocalizations-json-map
ابا	أَبَى	vocalizations-json-map
ابابا	أبَابَا	vocalizations-paired-words
ابابيل	أَبَابِيلَ	vocalizations-json-map
اباكم	أَبَاكُمْ	vocalizations-json-map
ابالله	أَبِاللَّهِ	vocalizations-json-map
ابانا	أَبَانَا	vocalizations-json-map
اباه	أَبَاهُ	vocalizations-json-map
اباهم	أَبَاهُمْ	vocalizations-json-map
ابت	أَبَتِ	vocalizations-json-map
ابتداء	ابْتِدَاءً	vocalizations-paired-words
ابتدعوها	ابْتَدَعُوهَا	vocalizations-json-map
ابتسامة	ابْتِسَامَةٌ	vocalizations-paired-words
ابتغا	ابْتَغَى	vocalizations-json-map
ابتغاء	ابْتِغَاءِ	vocalizations-json-map
ابتغوا	ابْتَغَوُا	vocalizations-json-map
ابتغي	أَبْتَغِي	vocalizations-json-map
ابتغيت	ابْتَغَيْتَ	vocalizations-json-map
ابتلا	ابْتَلَى	vocalizations-json-map
ابتلاه	ابْتَلَاهُ	vocalizations-json-map
ابتلي	ابْتُلِيَ	vocalizations-json-map
ابحاث	أبْحَاثِ	vocalizations-paired-words
ابحاثا	أَبْحَاثًا	vocalizations-paired-words
ابحر	أَبْحُرٍ	vocalizations-json-map
ابدا	أَبَدًا	vocalizations-json-map
ابداع	إِبْدَاعٍ	vocalizations-paired-words
ابداعات	إِبْدَاعَاتِ	vocalizations-paired-words
ابداعاته	إِبْدَاعَاتِهِ	vocalizations-paired-words
ابدله	أُبَدِّلَهُ	vocalizations-json-map
ابرء	أُبَرِّئُ	vocalizations-json-map
ابراهام	أَبْرَاهَامُ	vocalizations-paired-words
ابراهيم	إِبْرَاهِيمُ	vocalizations-json-map
ابراهيموفيتش	إبْرَاهِيمُوفِيتْش	vocalizations-paired-words
ابرح	أَبْرَحَ	vocalizations-json-map
ابرز	أَبْرَزِ	vocalizations-paired-words
ابرزها	أبَرْزَهُاَ	vocalizations-paired-words
ابرزهن	أَبْرَزُهُنَّ	vocalizations-paired-words
ابرموا	أَبْرَمُوا	vocalizations-json-map
ابريل	أَبْرِيل	vocalizations-paired-words
ابسلوا	أُبْسِلُوا	vocalizations-json-map
ابشر	أَبَشَرٌ	vocalizations-json-map
ابشرا	أَبَشَرًا	vocalizations-json-map
ابشرتموني	أَبَشَّرْتُمُونِي	vocalizations-json-map
ابصار	أَبْصَارُ	vocalizations-json-map
ابصاركم	أَبْصَارُكُمْ	vocalizations-json-map
ابصارنا	أَبْصَارُنَا	vocalizations-json-map
ابصارها	أَبْصَارُهَا	vocalizations-json-map
ابصارهم	أَبْصَارَهُمْ	vocalizations-json-map
ابصارهن	أَبْصَارِهِنَّ	vocalizations-json-map
ابصر	أَبْصَرَ	vocalizations-json-map
ابصرنا	أَبْصَرْنَا	vocalizations-json-map
ابطال	أبْطَالِ	vocalizations-paired-words
ابعث	ابْعَثْ	vocalizations-json-map
ابعدته	أبْعَدَتْهُ	vocalizations-paired-words
ابغي	أَبْغِي	vocalizations-json-map
ابغيكم	أَبْغِيكُمْ	vocalizations-json-map
ابق	أَبَقَ	vocalizations-json-map
ابقا	أَبْقَى	vocalizations-json-map
ابكارا	أَبْكَارًا	vocalizations-json-map
ابكم	أَبْكَمُ	vocalizations-json-map
ابلعي	ابْلَعِي	vocalizations-json-map
ابلغ	أَبْلُغَ	vocalizations-json-map
ابلغتكم	أَبْلَغْتُكُمْ	vocalizations-json-map
ابلغكم	أُبَلِّغُكُمْ	vocalizations-json-map
ابلغه	أَبْلِغْهُ	vocalizations-json-map
ابلغوا	أَبْلَغُوا	vocalizations-json-map
ابليس	إِبْلِيسُ	vocalizations-json-map
ابن	ابْنِ	vocalizations-json-map
ابناء	أَبْنَاءَ	vocalizations-json-map
ابناءكم	أَبْنَائِكُمُ	vocalizations-json-map
ابناءنا	أَبْنَاءَنَا	vocalizations-json-map
ابناءهم	أَبْنَاءَهُمُ	vocalizations-json-map
ابناءهن	أَبْنَائِهِنَّ	vocalizations-json-map
ابنة	ابْنَةِ	vocalizations-paired-words
ابنت	ابْنَتَ	vocalizations-json-map
ابنتها	ابْنَتِهَا	vocalizations-paired-words
ابنتي	ابْنَتَيَّ	vocalizations-json-map
ابنك	ابْنَكَ	vocalizations-json-map
ابنه	ابْنَهُ	vocalizations-json-map
ابنوا	ابْنُوا	vocalizations-json-map
ابني	ابْنَيْ	vocalizations-json-map
ابنيتها	أبْنِيَتَهَا	vocalizations-paired-words
ابواب	أَبْوَابُ	vocalizations-json-map
ابوابا	أَبْوَابًا	vocalizations-json-map
ابوابه	أَبْوَابَهُ	vocalizations-paired-words
ابوابها	أَبْوَابِهَا	vocalizations-json-map
ابواه	أَبَوَاهُ	vocalizations-json-map
ابوديس	أَبُودِيسَ	vocalizations-paired-words
ابوظبي	أَبُوظَبِي	vocalizations-paired-words
ابوك	أَبُوكِ	vocalizations-json-map
ابوهم	أَبُوهُمْ	vocalizations-json-map
ابوهما	أَبُوهُمَا	vocalizations-json-map
ابويك	أَبَوَيْكَ	vocalizations-json-map
ابويكم	أَبَوَيْكُمْ	vocalizations-json-map
ابويه	أَبَوَيْهِ	vocalizations-json-map
ابي	أَبِي	vocalizations-json-map
ابيضت	ابْيَضَّتْ	vocalizations-json-map
ابيكم	أَبِيكُمْ	vocalizations-json-map
ابينا	أَبِينَا	vocalizations-json-map
ابيهم	أَبِيهِمْ	vocalizations-json-map
اتا	أَتَى	vocalizations-json-map
اتاتورك	أتَاتُورْك	vocalizations-paired-words
اتاتون	أَتَأْتُونَ	vocalizations-json-map
اتاحت	أتَاحَتْ	vocalizations-paired-words
اتاخذونه	أَتَأْخُذُونَهُ	vocalizations-json-map
اتاك	أَتَاكَ	vocalizations-json-map
اتاكم	أَتَاكُمْ	vocalizations-json-map
اتامرون	أَتَأْمُرُونَ	vocalizations-json-map
اتانا	أَتَانَا	vocalizations-json-map
اتاها	أَتَاهَا	vocalizations-json-map
اتاهم	أَتَاهُمْ	vocalizations-json-map
اتباع	اتِّبَاعَ	vocalizations-json-map
اتبع	اتَّبِعْ	vocalizations-json-map
اتبعت	اتَّبَعْتَ	vocalizations-json-map
اتبعتم	اتَّبَعْتُمْ	vocalizations-json-map
اتبعتني	اتَّبَعْتَنِي	vocalizations-json-map
اتبعك	اتَّبَعَكَ	vocalizations-json-map
اتبعكما	اتَّبَعَكُمَا	vocalizations-json-map
اتبعن	اتَّبَعَنِ	vocalizations-json-map
اتبعني	اتَّبَعَنِي	vocalizations-json-map
اتبعه	أَتَّبِعْهُ	vocalizations-json-map
اتبعوا	اتُّبِعُوا	vocalizations-json-map
اتبعوك	اتَّبَعُوكَ	vocalizations-json-map
اتبعون	اتَّبِعُونِ	vocalizations-json-map
اتبعوه	اتَّبَعُوهُ	vocalizations-json-map
اتبعوهم	اتَّبَعُوهُمْ	vocalizations-json-map
اتبنون	أَتَبْنُونَ	vocalizations-json-map
اتت	أَتَتْ	vocalizations-json-map
اتتخذ	أَتَتَّخِذُ	vocalizations-json-map
اتتخذنا	أَتَتَّخِذُنَا	vocalizations-json-map
اتتركون	أَتُتْرَكُونَ	vocalizations-json-map
اتتك	أَتَتْكَ	vocalizations-json-map
اتتكم	أَتَتْكُمُ	vocalizations-json-map
اتتهم	أَتَتْهُمْ	vocalizations-json-map
اتجادلونني	أَتُجَادِلُونَنِي	vocalizations-json-map
اتجار	اِتِّجَارِ	vocalizations-paired-words
اتجاهاتهم	اتِّجَاهَاتِهِم	vocalizations-paired-words
اتجعل	أَتَجْعَلُ	vocalizations-json-map
اتحاجوننا	أَتُحَاجُّونَنَا	vocalizations-json-map
اتحاجوني	أَتُحَاجُّونِّي	vocalizations-json-map
اتحاد	اتِّحَادِ	vocalizations-paired-words
اتحدثونهم	أَتُحَدِّثُونَهُمْ	vocalizations-json-map
اتخذ	اتَّخَذَ	vocalizations-json-map
اتخذت	اتَّخَذَتْ	vocalizations-json-map
اتخذتم	اتَّخَذْتُمُ	vocalizations-json-map
اتخذناهم	أَتَّخَذْنَاهُمْ	vocalizations-json-map
اتخذها	اتَّخَذَهَا	vocalizations-json-map
اتخذوا	اتَّخَذُوا	vocalizations-json-map
اتخذوني	اتَّخِذُونِي	vocalizations-json-map
اتخذوه	اتَّخَذُوهُ	vocalizations-json-map
اتخذوها	اتَّخَذُوهَا	vocalizations-json-map
اتخذوهم	اتَّخَذُوهُمْ	vocalizations-json-map
اتخذي	اتَّخِذِي	vocalizations-json-map
اتخشونهم	أَتَخْشَوْنَهُمْ	vocalizations-json-map
اتدعون	أَتَدْعُونَ	vocalizations-json-map
اتذر	أَتَذَرُ	vocalizations-json-map
اتراب	أَتْرَابٌ	vocalizations-json-map
اترابا	أَتْرَابًا	vocalizations-json-map
اترفتم	أُتْرِفْتُمْ	vocalizations-json-map
اترفوا	أُتْرِفُوا	vocalizations-json-map
اتريد	أَتُرِيدُ	vocalizations-json-map
اتريدون	أَتُرِيدُونَ	vocalizations-json-map
اتستبدلون	أَتَسْتَبْدِلُونَ	vocalizations-json-map
اتسق	اتَّسَقَ	vocalizations-json-map
اتصالات	اتِّصَالَاتِ	vocalizations-paired-words
اتصبرون	أَتَصْبِرُونَ	vocalizations-json-map
اتعبدون	أَتَعْبُدُونَ	vocalizations-json-map
اتعجبين	أَتَعْجَبِينَ	vocalizations-json-map
اتعدانني	أَتَعِدَانِنِي	vocalizations-json-map
اتعلمون	أَتَعْلَمُونَ	vocalizations-json-map
اتفاق	اتِّفَاقٍ	vocalizations-paired-words
اتفاقيات	اتِّفَاقِيَّات	vocalizations-paired-words
اتفاقية	اتِّفَاقِيَّةِ	vocalizations-paired-words
اتفقتا	اتَّفَقَتَا	vocalizations-paired-words
اتق	اتَّقِ	vocalizations-json-map
اتقا	اتَّقَى	vocalizations-json-map
اتقاكم	أَتْقَاكُمْ	vocalizations-json-map
اتقتلون	أَتَقْتُلُونَ	vocalizations-json-map
اتقن	أَتْقَنَ	vocalizations-json-map
اتقوا	اتَّقُوا	vocalizations-json-map
اتقولون	أَتَقُولُونَ	vocalizations-json-map
اتقيتن	اتَّقَيْتُنَّ	vocalizations-json-map
اتكلم	أَتَكَلَّمُ	vocalizations-paired-words
اتكينز	أَتْكِينْز	vocalizations-paired-words
اتل	اتْلُ	vocalizations-json-map
اتلتيكو	أَتْلِتِيكُو	vocalizations-paired-words
اتلو	أَتْلُوَ	vocalizations-json-map
اتليتكو	أتْلِيتِكُو	vocalizations-paired-words
اتم	أتَمَّ	vocalizations-paired-words
اتمدونن	أَتُمِدُّونَنِ	vocalizations-json-map
اتمم	أَتْمِمْ	vocalizations-json-map
اتممت	أَتْمَمْتَ	vocalizations-json-map
اتمها	أَتَمَّهَا	vocalizations-json-map
اتموا	أَتِمُّوا	vocalizations-json-map
اتنبءون	أَتُنَبِّئُونَ	vocalizations-json-map
اتنهانا	أَتَنْهَانَا	vocalizations-json-map
اتهام	اتِّهَامٍ	vocalizations-paired-words
اتهتدي	أَتَهْتَدِي	vocalizations-json-map
اتهلكنا	أَتُهْلِكُنَا	vocalizations-json-map
اتهمت	اتَّهَمَتْ	vocalizations-paired-words
اتوا	أَتَوْا	vocalizations-json-map
اتواصوا	أَتَوَاصَوْا	vocalizations-json-map
اتوب	أَتُوبُ	vocalizations-json-map
اتوك	أَتَوْكَ	vocalizations-json-map
اتوكا	أَتَوَكَّأُ	vocalizations-json-map
اتوه	أَتَوْهُ	vocalizations-json-map
اتيا	أَتَيَا	vocalizations-json-map
اتيان	إتْيان	vocalizations-paired-words
اتيت	أَتَيْتَ	vocalizations-json-map
اتين	أَتَيْنَ	vocalizations-json-map
اتينا	أَتَيْنَا	vocalizations-json-map
اتيناهم	أَتَيْنَاهُمْ	vocalizations-json-map
اثاثا	أَثَاثًا	vocalizations-json-map
اثار	أَثَارَ	vocalizations-paired-words
اثارة	أَثَارَةٍ	vocalizations-json-map
اثارت	أَثَارَتْ	vocalizations-paired-words
اثارها	أَثَارَهَا	vocalizations-paired-words
اثاقلتم	اثَّاقَلْتُمْ	vocalizations-json-map
اثاما	أَثَامًا	vocalizations-json-map
اثباتها	إِثْبَاتُهَا	vocalizations-paired-words
اثبتت	أثَبْتَتْ	vocalizations-paired-words
اثخنتموهم	أَثْخَنْتُمُوهُمْ	vocalizations-json-map
اثر	أَثَرِ	vocalizations-json-map
اثرا	أَثَرًا	vocalizations-paired-words
اثرت	أَثَّرَتْ	vocalizations-paired-words
اثرها	أَثَرَهَا	vocalizations-paired-words
اثري	أَثَرِي	vocalizations-json-map
اثرياء	أثْرِيَاءَ	vocalizations-paired-words
اثرية	أَثَرِيَّةٍ	vocalizations-paired-words
اثقالكم	أَثْقَالَكُمْ	vocalizations-json-map
اثقالها	أَثْقَالَهَا	vocalizations-json-map
اثقالهم	أَثْقَالَهُمْ	vocalizations-json-map
اثقلت	أَثْقَلَتْ	vocalizations-json-map
اثم	إِثْمٌ	vocalizations-json-map
اثما	إِثْمًا	vocalizations-json-map
اثمر	أَثْمَرَ	vocalizations-json-map
اثمه	إِثْمُهُ	vocalizations-json-map
اثنا	اثْنَا	vocalizations-json-map
اثناء	أَثْنَاءَ	vocalizations-paired-words
اثنان	اثْنَانِ	vocalizations-json-map
اثنتا	اثْنَتَا	vocalizations-json-map
اثنتي	اثْنَتَيْ	vocalizations-json-map
اثنتين	اثْنَتَيْنِ	vocalizations-json-map
اثني	اثْنَيْ	vocalizations-json-map
اثنين	اثْنَيْنِ	vocalizations-json-map
اثيم	أَثِيمٍ	vocalizations-json-map
اثيما	أَثِيمًا	vocalizations-json-map
اثيوبيا	إثْيُوبْيَا	vocalizations-paired-words
اجءتنا	أَجِئْتَنَا	vocalizations-json-map
اجاج	أُجَاجٌ	vocalizations-json-map
اجاجا	أُجَاجًا	vocalizations-json-map
اجازته	إِجَازَتَهُ	vocalizations-paired-words
اجانب	أَجَانِبُ	vocalizations-paired-words
اجبتم	أَجَبْتُمُ	vocalizations-json-map
اجتباكم	اجْتَبَاكُمْ	vocalizations-json-map
اجتباه	اجْتَبَاهُ	vocalizations-json-map
اجتبيتها	اجْتَبَيْتَهَا	vocalizations-json-map
اجتثت	اجْتُثَّتْ	vocalizations-json-map
اجترحوا	اجْتَرَحُوا	vocalizations-json-map
اجتماع	اجْتِمَاعِ	vocalizations-paired-words
اجتماعات	اجْتِمَاعَاتٍ	vocalizations-paired-words
اجتماعيات	اِجْتِمَاعِيَاتٌ	vocalizations-paired-words
اجتماعية	اِجْتِمَاعِيَّةٍ	vocalizations-paired-words
اجتمعت	اجْتَمَعَتِ	vocalizations-json-map
اجتمعوا	اجْتَمَعُوا	vocalizations-json-map
اجتنبوا	اجْتَنَبُوا	vocalizations-json-map
اجد	أَجِدَ	vocalizations-json-map
اجر	أَجْرُ	vocalizations-json-map
اجرا	أَجْرًا	vocalizations-json-map
اجراء	إجْرَاءِ	vocalizations-paired-words
اجراءات	إِجْرَاءَاتٍ	vocalizations-paired-words
اجراءه	إِجْرَائِهِ	vocalizations-paired-words
اجرامي	إِجْرَامِي	vocalizations-json-map
اجرت	أَجْرَتْ	vocalizations-paired-words
اجرتها	أَجْرَتْهَا	vocalizations-paired-words
اجرمنا	أَجْرَمْنَا	vocalizations-json-map
اجرموا	أَجْرَمُوا	vocalizations-json-map
اجره	أَجْرَهُ	vocalizations-json-map
اجرها	أَجْرَهَا	vocalizations-json-map
اجرهم	أَجْرَهُمْ	vocalizations-json-map
اجري	أَجْرِيَ	vocalizations-json-map
اجريت	أُجْرِيَتْ	vocalizations-paired-words
اجزاء	أَجْزَاءٍ	vocalizations-paired-words
اجزعنا	أَجَزِعْنَا	vocalizations-json-map
اجسامنا	أَجْسامُنَا	vocalizations-paired-words
اجسامهم	أَجْسَامُهُمْ	vocalizations-json-map
اجعل	اجْعَلْ	vocalizations-json-map
اجعلتم	أَجَعَلْتُمْ	vocalizations-json-map
اجعلنا	أَجَعَلْنَا	vocalizations-json-map
اجعلني	اجْعَلْنِي	vocalizations-json-map
اجعلوا	اجْعَلُوا	vocalizations-json-map
اجل	أَجْلِ	vocalizations-json-map
اجلا	أَجَلًا	vocalizations-json-map
اجلت	أَجَّلْتَ	vocalizations-json-map
اجلنا	أَجَلَنَا	vocalizations-json-map
اجله	أَجَلَهُ	vocalizations-json-map
اجلها	أَجَلُهَا	vocalizations-json-map
اجلهم	أَجَلُهُمْ	vocalizations-json-map
اجلهن	أَجَلُهُنَّ	vocalizations-json-map
اجمالي	إجْمَالِيَّ	vocalizations-paired-words
اجمعوا	أَجْمَعُوا	vocalizations-json-map
اجمعون	أَجْمَعُونَ	vocalizations-json-map
اجمعين	أَجْمَعِينَ	vocalizations-json-map
اجنبي	أَجْنَبِيٍّ	vocalizations-paired-words
اجنبية	أجْنَبِيَّةٍ	vocalizations-paired-words
اجنة	أَجِنَّةٌ	vocalizations-json-map
اجنحة	أَجْنِحَةٍ	vocalizations-json-map
اجهروا	اجْهَرُوا	vocalizations-json-map
اجهزة	أَجْهِزَةُ	vocalizations-paired-words
اجواء	أَجْوَاءَ	vocalizations-paired-words
اجود	أَجْوَدِ	vocalizations-paired-words
اجوركم	أُجُورَكُمْ	vocalizations-json-map
اجورهم	أُجُورَهُمْ	vocalizations-json-map
اجورهن	أُجُورَهُنَّ	vocalizations-json-map
اجيب	أُجِيبُ	vocalizations-json-map
اجيبت	أُجِيبَتْ	vocalizations-json-map
اجيبوا	أَجِيبُوا	vocalizations-json-map
احاديث	أَحَادِيثَ	vocalizations-json-map
احاط	أَحَاطَ	vocalizations-json-map
احالته	إِحَالَتُهُ	vocalizations-paired-words
احب	أَحَبَّ	vocalizations-json-map
احبارهم	أَحْبَارَهُمْ	vocalizations-json-map
احببت	أَحْبَبْتَ	vocalizations-json-map
احبه	أَحَبَّهُ	vocalizations-paired-words
احتجاجا	احْتِجَاجًا	vocalizations-paired-words
احتجاجية	احْتِجَاجِيَّةٍ	vocalizations-paired-words
احترام	احْتِرَامُ	vocalizations-paired-words
احتضار	احْتِضَارُ	vocalizations-paired-words
احتضنت	احْتَضَنَتْ	vocalizations-paired-words
احتضنته	احْتَضَنَتْهُ	vocalizations-paired-words
احتفال	احْتِفَالِ	vocalizations-paired-words
احتفالات	احْتِفَالَاتِ	vocalizations-paired-words
احتفالية	احْتِفَالِيَّةٍ	vocalizations-paired-words
احتفت	احْتَفَتْ	vocalizations-paired-words
احتفل	اِحْتَفَلَ	vocalizations-paired-words
احتفلت	اِحْتَفَلَتْ	vocalizations-paired-words
احتكر	احْتَكَرَ	vocalizations-paired-words
احتلت	احْتَلَّتْ	vocalizations-paired-words
احتمال	احْتِمَالَ	vocalizations-paired-words
احتمالية	احْتِمَالِيَّةُ	vocalizations-paired-words
احتمل	احْتَمَلَ	vocalizations-json-map
احتملوا	احْتَمَلُوا	vocalizations-json-map
احتواء	احْتِوَاءِ	vocalizations-paired-words
احتياجات	احْتِيَاجَاتِ	vocalizations-paired-words
احد	أَحَدَ	vocalizations-json-map
احدا	إِحْدَى	vocalizations-json-map
احداث	أحْدَاثٍ	vocalizations-paired-words
احداها	إحْدَاهَا	vocalizations-paired-words
احداهما	إِحْدَاهُمَا	vocalizations-json-map
احداهن	إِحْدَاهُنَّ	vocalizations-json-map
احدث	أُحْدِثَ	vocalizations-json-map
احدكم	أَحَدَكُمْ	vocalizations-json-map
احدكما	أَحَدُكُمَا	vocalizations-json-map
احدنا	أَحَدَنَا	vocalizations-json-map
احدهم	أَحَدَهُمُ	vocalizations-json-map
احدهما	أَحَدِهِمَا	vocalizations-json-map
