singular	plural	source
اعجم	عجم	qalsadi-nouns
اعجم	اعاجم	qalsadi-nouns
اعجم	مءعجماءعجماو	qalsadi-nouns
اعجوبة	اعاجيب	qalsadi-nouns
اعراب	اعاريب	qalsadi-nouns
اعرج	عرجمءعرجاءعرجاوات	qalsadi-nouns
اعرف	عرفمءعرفاء	qalsadi-nouns
اعزب	عزبمءعزباءعزباوات	qalsadi-nouns
اعزل	عزلمءعزلاء	qalsadi-nouns
اعسر	عسرمءعسراءعسراوات	qalsadi-nouns
اعشا	عشومءعشواء	qalsadi-nouns
اعصار	اعاصير	qalsadi-nouns
اعصم	فهواعصم	qalsadi-nouns
اعصم	وهيعصماءجعصم	qalsadi-nouns
اعظم	اعاظم	qalsadi-nouns
اعفر	عفرمءعفراء	qalsadi-nouns
اعقاب	مفردعقب	qalsadi-nouns
اعقاب	عقب	qalsadi-nouns
اعقف	عقفمءعقفاءعقفاوات	qalsadi-nouns
اعلا	علا	qalsadi-nouns
اعلا	مءعلياجمعالعاقلالاع	qalsadi-nouns
اعلم	علممءعلماء	qalsadi-nouns
اعما	عمي	qalsadi-nouns
اعما	عميانمءعمياءعمياو	qalsadi-nouns
اعمش	عمش	qalsadi-nouns
اعمش	مءعمشاء	qalsadi-nouns
اعنة	مفردعنان	qalsadi-nouns
اعنق	عنقمءعنقاءعنقاوات	qalsadi-nouns
اعوج	عوجمءعوجاءعوجاوات	qalsadi-nouns
اعور	عورمءعوراءعوراوات	qalsadi-nouns
اعوز	عوزمءعوزاء	qalsadi-nouns
اعوص	عوصمءعوصاء	qalsadi-nouns
اعيان	مفردعين	qalsadi-nouns
اغبر	غبرمءغبراءغبراوات	qalsadi-nouns
اغر	مءغراء	qalsadi-nouns
اغرود	اغاريد	qalsadi-nouns
اغلب	جغلبمءغلباء	qalsadi-nouns
اغن	غنمءغناء	qalsadi-nouns
اغنية	اغان	qalsadi-nouns
اغنية	الاغاني	qalsadi-nouns
افانين	مفردافنون	qalsadi-nouns
افاويه	مفردفوه	qalsadi-nouns
افراد	مفردفرد	qalsadi-nouns
افرم	فرممءفرماء	qalsadi-nouns
افرند	افرندات	qalsadi-nouns
افريز	افاريز	qalsadi-nouns
افصح	افاصح	qalsadi-nouns
افصح	مءفصحا	qalsadi-nouns
افضل	افاضلمءفضلافضليات	qalsadi-nouns
افطح	فطحمءفطحاءفطحاوات	qalsadi-nouns
افطس	فطسمءفطساءفطساوات	qalsadi-nouns
افعا	افاع	qalsadi-nouns
افعا	الافاعي	qalsadi-nouns
افعوان	ذكرالافعا	qalsadi-nouns
افق	ءفاق	qalsadi-nouns
افقع	فقع	qalsadi-nouns
افقع	مءفقعاء	qalsadi-nouns
افكوهة	افاكيه	qalsadi-nouns
افنون	افانين	qalsadi-nouns
افواه	افاويه	qalsadi-nouns
افواه	مفردفوه	qalsadi-nouns
افواه	فم	qalsadi-nouns
افيكة	افاءك	qalsadi-nouns
اقتم	قتممءقتماء	qalsadi-nouns
اقحوان	اقاح	qalsadi-nouns
اقحوان	الاقاحي	qalsadi-nouns
اقدم	اقادم	qalsadi-nouns
اقدم	مءقدما	qalsadi-nouns
اقدمون	بصيغةالجمع	qalsadi-nouns
اقذع	مءقذعاء	qalsadi-nouns
اقرح	قرحمءقرحاء	qalsadi-nouns
اقرع	قرعمءقرعاءقرعاوات	qalsadi-nouns
اقصا	اقاصالاقاصيمءقصوا	qalsadi-nouns
اقصر	اقاصيرمءقصرا	qalsadi-nouns
اقصوصة	اقاصيص	qalsadi-nouns
اقطاعة	ات	qalsadi-nouns
اقليم	اقاليم	qalsadi-nouns
اقمر	قمرمءقمراء	qalsadi-nouns
اقنوم	اقانيم	qalsadi-nouns
اقوا	اقاوي	qalsadi-nouns
اقوا	مءقيا	qalsadi-nouns
اكار	اكرة	qalsadi-nouns
اكبر	اكابرمءكبراكبريات	qalsadi-nouns
اكحل	كحلمءكحلاءكحلاوات	qalsadi-nouns
اكذوبة	اكاذيب	qalsadi-nouns
اكرش	كرشمءكرشاءكرشاوات	qalsadi-nouns
اكرم	اكارم	qalsadi-nouns
اكرومة	اكاريم	qalsadi-nouns
اكل	ءكال	qalsadi-nouns
اكلة	لايجوزجمعمذكرسالم	qalsadi-nouns
اكليل	اكاليل	qalsadi-nouns
اكمة	اكمجءكام	qalsadi-nouns
اكمل	اكامل	qalsadi-nouns
اكمل	مءكملا	qalsadi-nouns
اكوع	كوع	qalsadi-nouns
اكوع	مءكوعاء	qalsadi-nouns
اكيس	مءكيسا	qalsadi-nouns
اكيس	كوسا	qalsadi-nouns
الا	ءلاء	qalsadi-nouns
الثغ	لثغمءلثغاءلثغاوات	qalsadi-nouns
الد	مءلداءلداد	qalsadi-nouns
الد	لد	qalsadi-nouns
السن	لسنمءلسناء	qalsadi-nouns
العوبة	الاعيب	qalsadi-nouns
الغاز	لغز	qalsadi-nouns
الف	الوف	qalsadi-nouns
الف	ءلاف	qalsadi-nouns
القية	الاقي	qalsadi-nouns
الكن	لكنمءلكناءلكناوات	qalsadi-nouns
الم	ءلام	qalsadi-nouns
المراة	امراةعندالتنكيروا	qalsadi-nouns
اله	ءلهةمءالهة	qalsadi-nouns
الوف	الف	qalsadi-nouns
الي	ءلاء	qalsadi-nouns
الية	الايامثنااليتان	qalsadi-nouns
ام	امهات	qalsadi-nouns
امام	اءمة	qalsadi-nouns
امام	ايمة	qalsadi-nouns
امبراطور	اباطرة	qalsadi-nouns
امة	امم	qalsadi-nouns
امة	اماء	qalsadi-nouns
امثل	اماثلمءمثلامثليات	qalsadi-nouns
امثولة	اماثيل	qalsadi-nouns
امجد	اماجد	qalsadi-nouns
امد	ءماد	qalsadi-nouns
امداح	مفردمدح	qalsadi-nouns
امر	مثناامرانامران	qalsadi-nouns
امر	امور	qalsadi-nouns
امر	اوامر	qalsadi-nouns
امر	مءمرا	qalsadi-nouns
امرء	عندالتذكيرمءامراة	qalsadi-nouns
امراة	نساء	qalsadi-nouns
امراة	نسوة	qalsadi-nouns
امراة	نسوانمنغ	qalsadi-nouns
امرد	مردمءمرداء	qalsadi-nouns
امس	ءمس	qalsadi-nouns
امس	اموس	qalsadi-nouns
امس	ءماس	qalsadi-nouns
امسية	اماسي	qalsadi-nouns
امعز	معز	qalsadi-nouns
امعز	اماعزمءمعزاء	qalsadi-nouns
امعز	معزا	qalsadi-nouns
امل	ءمال	qalsadi-nouns
املاء	امالي	qalsadi-nouns
املح	ملحمءملحاءملحاوات	qalsadi-nouns
املس	ملسمءملساءملساوات	qalsadi-nouns
املط	ملطمءملطاءملطاوات	qalsadi-nouns
املوحة	اماليح	qalsadi-nouns
امنية	امان	qalsadi-nouns
امنية	الاماني	qalsadi-nouns
امير	امراء	qalsadi-nouns
امير	اميرات	qalsadi-nouns
اميل	ميلمءميلاء	qalsadi-nouns
امين	امناء	qalsadi-nouns
اناء	ءنيةجاوان	qalsadi-nouns
اناء	الاواني	qalsadi-nouns
انباء	مفردنبا	qalsadi-nouns
انبل	انابل	qalsadi-nouns
انبل	مءهلكا	qalsadi-nouns
انبوب	انابيبواحدتهانبوبة	qalsadi-nouns
انبيق	انابيق	qalsadi-nouns
انثا	اناث	qalsadi-nouns
انجع	اناجع	qalsadi-nouns
انجع	مءنجعا	qalsadi-nouns
انجل	مءنثانجل	qalsadi-nouns
انجل	نجلاوات	qalsadi-nouns
انجيل	اناجيل	qalsadi-nouns
انس	اناس	qalsadi-nouns
انسا	نسيمءنسياء	qalsadi-nouns
انسان	اناسي	qalsadi-nouns
انسان	اناسية	qalsadi-nouns
انسي	اناس	qalsadi-nouns
انسي	اناسي	qalsadi-nouns
انشودة	اناشيد	qalsadi-nouns
انشوطة	اناشيط	qalsadi-nouns
انصار	مفردنصير	qalsadi-nouns
انصب	نصبمءنصباء	qalsadi-nouns
انظام	اناظيم	qalsadi-nouns
انظومة	اناظيم	qalsadi-nouns
انعام	مفردنعم	qalsadi-nouns
انف	انوف	qalsadi-nouns
انفال	مفردنفل	qalsadi-nouns
انقا	مءنقوا	qalsadi-nouns
انكد	نكد	qalsadi-nouns
انكد	مءنكداء	qalsadi-nouns
انمر	نمر	qalsadi-nouns
انمر	مءنثنمراء	qalsadi-nouns
انملة	انامل	qalsadi-nouns
انموذج	نماذج	qalsadi-nouns
انواء	مفردنوء	qalsadi-nouns
اني	ءناء	qalsadi-nouns
اهبة	اهب	qalsadi-nouns
اهبل	هبلمءهبلاءهبلاوات	qalsadi-nouns
اهتم	هتممءهتماء	qalsadi-nouns
اهجية	اهاج	qalsadi-nouns
اهجية	الاهاجي	qalsadi-nouns
اهداب	مفردهدب	qalsadi-nouns
اهدب	هدبمءهدباءهدباوات	qalsadi-nouns
اهدل	هدلمءهدلاءهدلاوات	qalsadi-nouns
اهرام	مفردهرم	qalsadi-nouns
اهزوجة	اهازيج	qalsadi-nouns
اهل	اهال	qalsadi-nouns
اهل	الاهالي	qalsadi-nouns
اهلك	اهالك	qalsadi-nouns
اهلك	مءهلكا	qalsadi-nouns
اهوج	هوجمءهوجاءهوجاوات	qalsadi-nouns
اهوس	هوسمءهوساءهوساوات	qalsadi-nouns
اهيف	هيفمءهيفاءهيفاوات	qalsadi-nouns
اهيق	هيقمءهيقاء	qalsadi-nouns
اهيم	هيممءهيماء	qalsadi-nouns
اوار	اور	qalsadi-nouns
اوان	ءونة	qalsadi-nouns
اوبر	وبرمءوبراء	qalsadi-nouns
اوتاد	مفردوتد	qalsadi-nouns
اوثق	مءوثقا	qalsadi-nouns
اوجه	اواجه	qalsadi-nouns
اوجه	مءوجها	qalsadi-nouns
اوحد	احدان	qalsadi-nouns
اوحد	ولايقالللانثاوحداء	qalsadi-nouns
اورق	ورقمءورقاء	qalsadi-nouns
اورك	وركمءوركاء	qalsadi-nouns
اوزار	مفردوزر	qalsadi-nouns
اوزة	اوز	qalsadi-nouns
اوسط	اواسطمءوسطا	qalsadi-nouns
اوسع	اواسع	qalsadi-nouns
اوسع	مءوسعا	qalsadi-nouns
اوعا	اواعي	qalsadi-nouns
اوعا	مءوعيا	qalsadi-nouns
اوعر	اواعر	qalsadi-nouns
اوعر	مءوعرا	qalsadi-nouns
اوفر	وفرمءوفراء	qalsadi-nouns
اوقية	اواق	qalsadi-nouns
اوقية	الاواقي	qalsadi-nouns
اول	اواءلمءاولا	qalsadi-nouns
اولا	اولون	qalsadi-nouns
اولا	اوالمءولياول	qalsadi-nouns
ايام	مفرديوم	qalsadi-nouns
ايراد	ايرادات	qalsadi-nouns
ايسر	اياسر	qalsadi-nouns
ايسر	مءيسرا	qalsadi-nouns
ايكة	ايك	qalsadi-nouns
ايل	اياءل	qalsadi-nouns
ايم	اياما	qalsadi-nouns
ايمن	يمنمءيمناء	qalsadi-nouns
ايمن	ايامنمءيمنايمنيات	qalsadi-nouns
ايهم	يهممءنثيهماء	qalsadi-nouns
ايوان	اواوين	qalsadi-nouns
بءر	ءبارمء	qalsadi-nouns
بءرة	بءر	qalsadi-nouns
باءر	بور	qalsadi-nouns
باءس	بءس	qalsadi-nouns
باءس	بءساء	qalsadi-nouns
باءع	باعة	qalsadi-nouns
باب	ابواب	qalsadi-nouns
باب	بيبان	qalsadi-nouns
بابا	بابوات	qalsadi-nouns
بابلي	ون	qalsadi-nouns
بابلي	ات	qalsadi-nouns
باتر	بواتر	qalsadi-nouns
باحة	بوح	qalsadi-nouns
باحث	بحاث	qalsadi-nouns
باخرة	بواخر	qalsadi-nouns
بادرة	بوادر	qalsadi-nouns
بادن	بدن	qalsadi-nouns
بادية	بواد	qalsadi-nouns
باذخ	بذخ	qalsadi-nouns
باذخ	بواذخ	qalsadi-nouns
بار	ابرار	qalsadi-nouns
بار	بررة	qalsadi-nouns
بارجة	بوارج	qalsadi-nouns
بارح	بوارح	qalsadi-nouns
بارق	بوارق	qalsadi-nouns
بارودة	بواريد	qalsadi-nouns
باريسي	ون	qalsadi-nouns
باريسي	ات	qalsadi-nouns
باز	بزاة	qalsadi-nouns
باز	بيزان	qalsadi-nouns
بازغ	بوازغ	qalsadi-nouns
باسكي	ون	qalsadi-nouns
باسكي	ات	qalsadi-nouns
باسل	بواسل	qalsadi-nouns
باسور	بواسير	qalsadi-nouns
باشا	باشوات	qalsadi-nouns
باشق	بواشق	qalsadi-nouns
باص	ات	qalsadi-nouns
باصر	بواصر	qalsadi-nouns
باطل	اباطيل	qalsadi-nouns
باطن	بواطن	qalsadi-nouns
باطية	بواط	qalsadi-nouns
باع	ابواع	qalsadi-nouns
باع	بيعان	qalsadi-nouns
باعث	بواعث	qalsadi-nouns
باغي	بغاة	qalsadi-nouns
باقول	بواقيل	qalsadi-nouns
باقية	بواق	qalsadi-nouns
باكر	بواكر	qalsadi-nouns
باكرة	بواكر	qalsadi-nouns
باكورة	بواكيرمءنثباكور	qalsadi-nouns
باكي	بكاة	qalsadi-nouns
باكي	باكيات	qalsadi-nouns
بالوعة	بواليع	qalsadi-nouns
بالون	ات	qalsadi-nouns
باني	بناة	qalsadi-nouns
باهظ	بواهظ	qalsadi-nouns
ببر	ببور	qalsadi-nouns
ببغاء	ببغاوات	qalsadi-nouns
بتات	بتوت	qalsadi-nouns
بتات	ابتة	qalsadi-nouns
بتراء	مءنثابتر	qalsadi-nouns
بجرة	بجر	qalsadi-nouns
بجعة	بجع	qalsadi-nouns
بحار	بحارة	qalsadi-nouns
بحبوحة	بحابيح	qalsadi-nouns
بحت	لمذكروالمءنثوالمثناوالجمع	qalsadi-nouns
بحث	ابحاث	qalsadi-nouns
بحث	بحوث	qalsadi-nouns
بحر	بحارجابحر	qalsadi-nouns
بحر	وبحور	qalsadi-nouns
بحر	وب	qalsadi-nouns
بخاخ	ات	qalsadi-nouns
بخار	ابخرة	qalsadi-nouns
بخت	بخوتجوابحاث	qalsadi-nouns
بخشيش	بخاشيش	qalsadi-nouns
بخنق	بخانق	qalsadi-nouns
بخيل	بخلاء	qalsadi-nouns
بدء	ابداءيجوزبدءا	qalsadi-nouns
بدر	بدور	qalsadi-nouns
بدع	ابداع	qalsadi-nouns
بدعة	بدع	qalsadi-nouns
بدل	ابدال	qalsadi-nouns
بدن	ابدان	qalsadi-nouns
بديع	بداءع	qalsadi-nouns
بديل	ابدال	qalsadi-nouns
بديل	بداءل	qalsadi-nouns
بديل	بدلاء	qalsadi-nouns
بدين	بدن	qalsadi-nouns
بديهة	بداءه	qalsadi-nouns
بذر	بذور	qalsadi-nouns
بذر	بذار	qalsadi-nouns
بذرة	بذرواحدةالحب	qalsadi-nouns
بذلة	بذل	qalsadi-nouns
بر	برور	qalsadi-nouns
بر	ابرار	qalsadi-nouns
براء	لايثنا	qalsadi-nouns
براء	لايجمعولايءنث	qalsadi-nouns
براء	يوصفبه	qalsadi-nouns
براء	لايثناولاي	qalsadi-nouns
براد	براريد	qalsadi-nouns
بربخ	برابخ	qalsadi-nouns
بربر	برابر	qalsadi-nouns
بربر	برابرة	qalsadi-nouns
برثن	براثن	qalsadi-nouns
برج	بروج	qalsadi-nouns
برج	ابراج	qalsadi-nouns
برجل	براجل	qalsadi-nouns
برد	برود	qalsadi-nouns
برد	ابراد	qalsadi-nouns
بردة	برد	qalsadi-nouns
بردعة	برادع	qalsadi-nouns
برذون	براذين	qalsadi-nouns
برزخ	برازخ	qalsadi-nouns
برشام	ات	qalsadi-nouns
برشام	براشيم	qalsadi-nouns
برشانة	برشان	qalsadi-nouns
برصاء	مءنثابرص	qalsadi-nouns
برطل	براطل	qalsadi-nouns
برطيل	براطيل	qalsadi-nouns
برعم	براعم	qalsadi-nouns
برعمة	براعم	qalsadi-nouns
برعوم	براعيم	qalsadi-nouns
برغشة	واحدةالبرغش	qalsadi-nouns
برغوث	براغيث	qalsadi-nouns
برغي	براغي	qalsadi-nouns
برق	بروق	qalsadi-nouns
برقع	براقع	qalsadi-nouns
بركان	براكين	qalsadi-nouns
بركة	برك	qalsadi-nouns
برمة	برم	qalsadi-nouns
برميل	براميل	qalsadi-nouns
برنامج	برامج	qalsadi-nouns
برنس	برانس	qalsadi-nouns
برنية	براني	qalsadi-nouns
برهان	براهين	qalsadi-nouns
برهة	بره	qalsadi-nouns
برواز	براويز	qalsadi-nouns
برية	برايا	qalsadi-nouns
برية	برار	qalsadi-nouns
برية	البراري	qalsadi-nouns
بريد	برد	qalsadi-nouns
